epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.828298,0.064093,2.812723,0.081850,val
2,0.01004000,2.292663,0.239879,2.006891,0.318586,val
3,0.02003000,1.849243,0.370925,1.712186,0.407522,val
4,0.03002000,1.696514,0.417688,1.738116,0.399255,val
5,0.04001000,1.612351,0.445946,1.632383,0.434411,val
6,0.05000000,1.554959,0.466850,1.526200,0.471112,val
7,0.04998633,1.470978,0.498009,1.475994,0.496730,val
8,0.04994535,1.407934,0.520844,1.403084,0.522892,val
9,0.04987710,1.354494,0.540053,1.372820,0.538336,val
10,0.04978165,1.308680,0.557772,1.330989,0.554597,val
11,0.04965910,1.269163,0.570966,1.302592,0.562591,val
12,0.04950960,1.232967,0.583681,1.315142,0.566588,val
13,0.04933330,1.203770,0.594781,1.275830,0.579215,val
14,0.04913040,1.176592,0.603646,1.279007,0.580487,val
15,0.04890111,1.149552,0.614583,1.299232,0.570585,val
16,0.04864570,1.124622,0.621620,1.234320,0.596384,val
17,0.04836444,1.101898,0.631526,1.260668,0.587845,val
18,0.04805763,1.080049,0.637275,1.160207,0.621185,val
19,0.04772562,1.059775,0.645629,1.171463,0.615461,val
20,0.04736876,1.041460,0.650991,1.169587,0.621639,val
21,0.04698745,1.031096,0.654473,1.150099,0.634357,val
22,0.04658210,1.011345,0.661428,1.172866,0.621185,val
23,0.04615315,0.991754,0.668546,1.181508,0.617006,val
24,0.04570108,0.973714,0.674877,1.161204,0.625182,val
25,0.04522638,0.958037,0.680392,1.259235,0.598837,val
26,0.04472957,0.947129,0.682792,1.148235,0.636355,val
27,0.04421119,0.927600,0.688205,1.195254,0.625182,val
28,0.04367180,0.915581,0.692851,1.110184,0.647711,val
29,0.04311201,0.894110,0.698989,1.217642,0.611828,val
30,0.04253241,0.883917,0.703115,1.108872,0.643441,val
31,0.04193365,0.866044,0.710631,1.127364,0.644077,val
32,0.04131638,0.850857,0.713542,1.147867,0.637445,val
33,0.04068127,0.839080,0.717300,1.115087,0.651435,val
34,0.04002902,0.824506,0.723458,1.134101,0.645985,val
35,0.03936034,0.805479,0.729647,1.146002,0.651799,val
36,0.03867597,0.792253,0.731658,1.124188,0.651435,val
37,0.03797664,0.776036,0.739512,1.113685,0.660883,val
38,0.03726314,0.768338,0.740104,1.113244,0.658158,val
39,0.03653622,0.750868,0.746283,1.095985,0.675781,val
40,0.03579670,0.736054,0.751603,1.089731,0.672057,val
41,0.03504538,0.721474,0.756424,1.095276,0.673238,val
42,0.03428308,0.703666,0.761846,1.107315,0.669695,val
43,0.03351063,0.693364,0.766054,1.067736,0.679869,val
44,0.03272888,0.673717,0.771681,1.117687,0.668605,val
45,0.03193869,0.663574,0.774980,1.088462,0.682322,val
46,0.03114091,0.646783,0.780137,1.103755,0.671602,val
47,0.03033642,0.632153,0.783742,1.088568,0.680505,val
48,0.02952611,0.616727,0.790206,1.154921,0.671512,val
49,0.02871085,0.600261,0.795721,1.106792,0.687409,val
50,0.02789154,0.585781,0.799500,1.116646,0.687046,val
51,0.02706907,0.578031,0.802012,1.084450,0.690316,val
52,0.02624435,0.557515,0.808864,1.117292,0.692769,val
53,0.02541827,0.539737,0.814512,1.111735,0.696857,val
54,0.02459173,0.523652,0.820537,1.119081,0.703398,val
55,0.02376565,0.510303,0.825071,1.136902,0.702852,val
56,0.02294093,0.498468,0.829534,1.117218,0.705941,val
57,0.02211846,0.477859,0.836550,1.153592,0.692678,val
58,0.02129915,0.466467,0.839900,1.185616,0.689589,val
59,0.02048389,0.454360,0.843903,1.156936,0.709575,val
60,0.01967358,0.430453,0.851236,1.169209,0.709847,val
61,0.01886909,0.421679,0.854310,1.158197,0.712391,val
62,0.01807131,0.403248,0.860539,1.189972,0.709757,val
63,0.01728112,0.392276,0.863429,1.190726,0.714026,val
64,0.01649937,0.373824,0.870935,1.179414,0.718841,val
65,0.01572692,0.358325,0.874040,1.221279,0.714390,val
66,0.01496462,0.340642,0.881720,1.246336,0.720658,val
67,0.01421330,0.328208,0.885570,1.233001,0.721657,val
68,0.01347378,0.312616,0.890942,1.242153,0.725927,val
69,0.01274686,0.298506,0.895813,1.232764,0.723656,val
70,0.01203336,0.283742,0.900368,1.242730,0.727471,val
71,0.01133403,0.264674,0.906179,1.252487,0.729288,val
72,0.01064966,0.253981,0.911080,1.285467,0.730469,val
73,0.00998098,0.239622,0.915799,1.272444,0.738463,val
74,0.00932873,0.229677,0.918985,1.268657,0.736010,val
75,0.00869362,0.214803,0.923672,1.298937,0.739462,val
76,0.00807635,0.204351,0.926634,1.306281,0.740371,val
77,0.00747759,0.191520,0.931291,1.310290,0.741824,val
78,0.00689799,0.178937,0.935733,1.349681,0.742188,val
79,0.00633820,0.170265,0.938644,1.347064,0.740552,val
80,0.00579881,0.159352,0.941799,1.372364,0.743278,val
81,0.00528043,0.153065,0.944118,1.392648,0.743459,val
82,0.00478362,0.145152,0.946385,1.373295,0.741370,val
83,0.00430892,0.135453,0.949612,1.367513,0.746275,val
84,0.00385685,0.129869,0.951603,1.361402,0.746275,val
85,0.00342790,0.123827,0.953391,1.406500,0.746275,val
86,0.00302255,0.117555,0.955596,1.412409,0.746911,val
87,0.00264124,0.112653,0.956005,1.406716,0.747366,val
88,0.00228438,0.105774,0.959865,1.392488,0.748728,val
89,0.00195237,0.102524,0.960846,1.395638,0.748456,val
90,0.00164556,0.099756,0.961897,1.418588,0.747366,val
91,0.00136430,0.095726,0.963297,1.409865,0.749818,val
92,0.00110889,0.091723,0.964992,1.416519,0.750545,val
93,0.00087960,0.090289,0.965431,1.435288,0.749637,val
94,0.00067670,0.086968,0.967055,1.416156,0.751726,val
95,0.00050040,0.085435,0.967279,1.418462,0.750727,val
96,0.00035090,0.083358,0.968086,1.424694,0.750545,val
97,0.00022835,0.082765,0.968239,1.426342,0.752634,val
98,0.00013290,0.082253,0.968076,1.406209,0.751090,val
99,0.00006465,0.081081,0.969046,1.430057,0.751453,val
100,0.00002367,0.081555,0.968852,1.426960,0.750545,val
