epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.729087,0.119862,2.679345,0.137804,val
2,0.02008000,2.435853,0.205956,2.580385,0.225043,val
3,0.04006000,2.211244,0.266471,2.316106,0.261357,val
4,0.06004000,2.122433,0.292004,2.152518,0.285735,val
5,0.08002000,2.084346,0.303364,2.440385,0.273365,val
6,0.10000000,2.083487,0.304936,2.240893,0.265046,val
7,0.09997267,2.047986,0.314540,2.125778,0.297454,val
8,0.09989069,2.033976,0.318915,2.065515,0.306496,val
9,0.09975417,2.019035,0.322105,2.365347,0.245226,val
10,0.09956325,2.000747,0.328621,2.029419,0.341001,val
11,0.09931813,1.995657,0.328805,1.986686,0.331525,val
12,0.09901910,1.979775,0.333244,2.415102,0.279225,val
13,0.09866646,1.974960,0.337417,1.877756,0.371889,val
14,0.09826062,1.970873,0.335221,2.087327,0.308811,val
15,0.09780201,1.967696,0.338603,2.073772,0.305483,val
16,0.09729113,1.958284,0.340809,2.137719,0.297743,val
17,0.09672855,1.961082,0.338585,1.956681,0.335142,val
18,0.09611488,1.952047,0.342151,1.882080,0.361111,val
19,0.09545078,1.950062,0.343897,2.335540,0.295935,val
20,0.09473699,1.947113,0.341443,1.937385,0.356481,val
21,0.09397429,1.942608,0.342344,3.136526,0.227141,val
22,0.09316351,1.939351,0.344963,3.266219,0.206814,val
23,0.09230553,1.936744,0.345855,2.008719,0.318504,val
24,0.09140130,1.936707,0.346581,2.447348,0.244358,val
25,0.09045180,1.929334,0.346728,1.915954,0.354818,val
26,0.08945808,1.919952,0.351535,2.259588,0.283420,val
27,0.08842121,1.928075,0.348695,1.875772,0.357639,val
28,0.08734234,1.923804,0.349623,2.462794,0.246600,val
29,0.08622264,1.919343,0.351287,2.262245,0.295718,val
30,0.08506333,1.914982,0.351746,2.176703,0.298466,val
31,0.08386569,1.911900,0.353456,2.105842,0.313151,val
32,0.08263103,1.904054,0.356572,2.940023,0.208695,val
33,0.08136068,1.902845,0.355496,1.794396,0.392433,val
34,0.08005605,1.899251,0.356471,1.977378,0.329716,val
35,0.07871856,1.891354,0.358722,2.062341,0.335214,val
36,0.07734967,1.890837,0.360836,1.768081,0.394893,val
37,0.07595088,1.886641,0.361627,2.578017,0.262731,val
38,0.07452372,1.882781,0.362335,1.944970,0.344401,val
39,0.07306975,1.873205,0.364090,2.256776,0.278501,val
40,0.07159056,1.874373,0.364568,2.601411,0.271629,val
41,0.07008776,1.867852,0.367969,2.385921,0.246455,val
42,0.06856301,1.861754,0.368171,1.942079,0.351635,val
43,0.06701796,1.856744,0.369770,2.373303,0.307364,val
44,0.06545430,1.851400,0.371057,3.055132,0.286169,val
45,0.06387376,1.844768,0.373419,1.982116,0.358362,val
46,0.06227805,1.839989,0.374614,2.307181,0.302373,val
47,0.06066892,1.837475,0.374697,2.242648,0.299334,val
48,0.05904812,1.832648,0.377748,2.231660,0.305194,val
49,0.05741744,1.822373,0.380349,2.331205,0.290509,val
50,0.05577865,1.811436,0.383006,1.805391,0.388310,val
51,0.05413355,1.811837,0.382289,1.742929,0.404659,val
52,0.05248394,1.803488,0.385855,1.767679,0.397642,val
53,0.05083161,1.797491,0.388097,1.803212,0.390408,val
54,0.04917839,1.789616,0.389430,1.899816,0.367405,val
55,0.04752606,1.781295,0.393768,2.090032,0.338397,val
56,0.04587645,1.771867,0.396893,2.801313,0.297960,val
57,0.04423135,1.761678,0.400938,1.776106,0.396991,val
58,0.04259256,1.759935,0.400496,1.919405,0.358362,val
59,0.04096188,1.750425,0.403575,1.884742,0.371745,val
60,0.03934108,1.741238,0.406498,2.284769,0.313513,val
61,0.03773195,1.732240,0.411801,1.783353,0.402054,val
62,0.03613624,1.725292,0.412316,1.646760,0.436126,val
63,0.03455570,1.713027,0.419035,1.945580,0.364873,val
64,0.03299204,1.701148,0.420763,2.384224,0.306713,val
65,0.03144699,1.691509,0.424090,1.659825,0.444661,val
66,0.02992224,1.680483,0.428658,1.566761,0.464120,val
67,0.02841944,1.672711,0.431829,2.288100,0.321470,val
68,0.02694025,1.656431,0.439108,1.610268,0.456814,val
69,0.02548628,1.647835,0.440064,1.704038,0.443938,val
70,0.02405912,1.634812,0.445248,1.577489,0.473452,val
71,0.02266033,1.625822,0.448226,1.693169,0.438006,val
72,0.02129144,1.606975,0.454963,1.637581,0.457538,val
73,0.01995395,1.594832,0.458915,2.225188,0.334057,val
74,0.01864932,1.583262,0.463281,1.765878,0.430411,val
75,0.01737897,1.565013,0.469210,1.540847,0.486039,val
76,0.01614431,1.548391,0.475276,1.736147,0.420718,val
77,0.01494667,1.531174,0.480055,1.817244,0.430917,val
78,0.01378736,1.519467,0.485248,1.415657,0.516782,val
79,0.01266766,1.503392,0.490211,1.809974,0.427662,val
80,0.01158879,1.486208,0.495910,1.753315,0.439815,val
81,0.01055192,1.466400,0.503373,1.735169,0.457465,val
82,0.00955820,1.449644,0.508915,1.379706,0.539062,val
83,0.00860870,1.427571,0.516958,2.565481,0.348886,val
84,0.00770447,1.410366,0.522987,1.490912,0.504630,val
85,0.00684649,1.385026,0.527702,1.359148,0.545356,val
86,0.00603571,1.364842,0.536949,1.659065,0.464410,val
87,0.00527301,1.337810,0.546967,1.732529,0.457682,val
88,0.00455922,1.315801,0.554743,1.240557,0.584563,val
89,0.00389512,1.285958,0.564688,1.283801,0.570095,val
90,0.00328145,1.258447,0.574118,1.237623,0.590205,val
91,0.00271887,1.229791,0.583006,1.278515,0.575955,val
92,0.00220799,1.203109,0.593153,1.264419,0.588614,val
93,0.00174938,1.166859,0.604467,1.218540,0.596499,val
94,0.00134354,1.135973,0.613732,1.238710,0.597873,val
95,0.00099090,1.105149,0.624853,1.119746,0.634693,val
96,0.00069187,1.082560,0.632812,1.123509,0.631510,val
97,0.00044675,1.054800,0.642362,1.132939,0.634621,val
98,0.00025583,1.038175,0.649724,1.099089,0.642867,val
99,0.00011931,1.023229,0.654485,1.126155,0.635272,val
100,0.00003733,1.015708,0.656425,1.114718,0.638961,val
