epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.722792,0.137663,2.583135,0.184956,val
2,0.02008000,2.144638,0.289481,1.954229,0.330850,val
3,0.04006000,1.742327,0.405341,1.681982,0.427598,val
4,0.06004000,1.628219,0.444475,1.782276,0.399528,val
5,0.08002000,1.573686,0.466677,1.746284,0.424964,val
6,0.10000000,1.557551,0.473826,1.912658,0.381268,val
7,0.09997267,1.519673,0.486857,1.637913,0.456759,val
8,0.09989069,1.478719,0.501072,1.562977,0.485828,val
9,0.09975417,1.450338,0.511356,1.577187,0.465661,val
10,0.09956325,1.427591,0.520558,1.512766,0.500999,val
11,0.09931813,1.406738,0.526848,1.630819,0.464935,val
12,0.09901910,1.393661,0.533323,1.542186,0.497729,val
13,0.09866646,1.381903,0.537817,2.007464,0.379633,val
14,0.09826062,1.366097,0.542555,1.426913,0.524800,val
15,0.09780201,1.358940,0.545690,1.425294,0.522166,val
16,0.09729113,1.348463,0.551062,1.443065,0.521802,val
17,0.09672855,1.340380,0.552931,1.692106,0.463118,val
18,0.09611488,1.331850,0.557935,1.422595,0.529887,val
19,0.09545078,1.324028,0.559079,1.478688,0.517351,val
20,0.09473699,1.312964,0.561846,1.435658,0.527071,val
21,0.09397429,1.310306,0.563317,1.421162,0.533158,val
22,0.09316351,1.302237,0.567913,1.438081,0.528888,val
23,0.09230553,1.294002,0.571957,1.785794,0.436410,val
24,0.09140130,1.289427,0.572437,1.565072,0.489553,val
25,0.09045180,1.281958,0.573744,1.457902,0.532158,val
26,0.08945808,1.277726,0.576185,2.156031,0.405796,val
27,0.08842121,1.268736,0.579146,1.562413,0.492369,val
28,0.08734234,1.261929,0.580964,1.429000,0.523074,val
29,0.08622264,1.257514,0.585774,1.432710,0.521711,val
30,0.08506333,1.248048,0.587919,1.343908,0.554778,val
31,0.08386569,1.240292,0.589154,1.398360,0.541152,val
32,0.08263103,1.230672,0.593423,1.608829,0.500908,val
33,0.08136068,1.222623,0.596793,1.341939,0.558866,val
34,0.08005605,1.212912,0.598427,1.373723,0.557685,val
35,0.07871856,1.209365,0.601379,1.415375,0.546784,val
36,0.07734967,1.200409,0.603196,1.478260,0.518441,val
37,0.07595088,1.189949,0.605362,1.331356,0.564226,val
38,0.07452372,1.181175,0.609028,1.397668,0.541606,val
39,0.07306975,1.172194,0.613583,1.334940,0.574310,val
40,0.07159056,1.162526,0.616462,1.310963,0.568950,val
41,0.07008776,1.155254,0.619261,1.308549,0.576944,val
42,0.06856301,1.142637,0.622692,1.499217,0.537700,val
43,0.06701796,1.128774,0.625909,1.310585,0.576036,val
44,0.06545430,1.122760,0.630004,1.279502,0.581940,val
45,0.06387376,1.107136,0.634334,1.335306,0.560411,val
46,0.06227805,1.094533,0.639645,1.226900,0.597020,val
47,0.06066892,1.079190,0.645404,1.321645,0.575309,val
48,0.05904812,1.069114,0.648274,1.247436,0.590480,val
49,0.05741744,1.055290,0.651787,1.471975,0.531159,val
50,0.05577865,1.042758,0.655995,1.303449,0.572493,val
51,0.05413355,1.027535,0.662265,1.231715,0.599473,val
52,0.05248394,1.012591,0.666667,1.347787,0.584393,val
53,0.05083161,1.000894,0.670507,1.261443,0.600563,val
54,0.04917839,0.980719,0.678227,1.201001,0.613100,val
55,0.04752606,0.967332,0.681975,1.227035,0.610283,val
56,0.04587645,0.948926,0.687541,1.218242,0.609375,val
57,0.04423135,0.930839,0.693444,1.205998,0.625545,val
58,0.04259256,0.909970,0.699551,1.227098,0.619004,val
59,0.04096188,0.892507,0.705270,1.264518,0.598565,val
60,0.03934108,0.871233,0.713103,1.168862,0.637082,val
61,0.03773195,0.850898,0.719781,1.181823,0.629270,val
62,0.03613624,0.830563,0.725817,1.206400,0.628725,val
63,0.03455570,0.808377,0.734130,1.166736,0.629724,val
64,0.03299204,0.784588,0.740584,1.148877,0.647802,val
65,0.03144699,0.758261,0.747549,1.188138,0.646984,val
66,0.02992224,0.734517,0.756689,1.205566,0.636355,val
67,0.02841944,0.707060,0.766626,1.186214,0.645621,val
68,0.02694025,0.686377,0.772958,1.160539,0.651163,val
69,0.02548628,0.655234,0.783139,1.166949,0.649528,val
70,0.02405912,0.632084,0.790972,1.112544,0.666606,val
71,0.02266033,0.595600,0.802737,1.132401,0.666697,val
72,0.02129144,0.569982,0.810927,1.124753,0.675327,val
73,0.01995395,0.540534,0.819751,1.174714,0.673874,val
74,0.01864932,0.514172,0.828871,1.157192,0.677053,val
75,0.01737897,0.481480,0.839971,1.196049,0.677144,val
76,0.01614431,0.446877,0.852053,1.189412,0.678779,val
77,0.01494667,0.417279,0.860805,1.151928,0.692951,val
78,0.01378736,0.384588,0.873090,1.168170,0.690861,val
79,0.01266766,0.352633,0.883129,1.159869,0.694858,val
80,0.01158879,0.324269,0.892382,1.137129,0.711392,val
81,0.01055192,0.287704,0.903564,1.170797,0.709575,val
82,0.00955820,0.256760,0.913337,1.180931,0.716388,val
83,0.00860870,0.227361,0.921998,1.131302,0.716388,val
84,0.00770447,0.199104,0.931975,1.108440,0.727562,val
85,0.00684649,0.175067,0.938021,1.119107,0.726835,val
86,0.00603571,0.154514,0.944986,1.082681,0.734466,val
87,0.00527301,0.136784,0.950511,1.074246,0.741007,val
88,0.00455922,0.118546,0.956556,1.074214,0.740371,val
89,0.00389512,0.106344,0.960202,1.070592,0.742642,val
90,0.00328145,0.095711,0.963623,1.056064,0.746820,val
91,0.00271887,0.085740,0.967473,1.055179,0.747911,val
92,0.00220799,0.077529,0.970292,1.048077,0.750999,val
93,0.00174938,0.070901,0.972743,1.057267,0.748001,val
94,0.00134354,0.066826,0.974551,1.061701,0.750091,val
95,0.00099090,0.063106,0.975572,1.050866,0.749001,val
96,0.00069187,0.060121,0.977002,1.058909,0.750363,val
97,0.00044675,0.058010,0.977737,1.056918,0.750182,val
98,0.00025583,0.056398,0.978707,1.048886,0.750908,val
99,0.00011931,0.055190,0.978830,1.054797,0.751090,val
100,0.00003733,0.054529,0.979361,1.057943,0.750818,val
