epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.832515,0.062362,2.970453,0.071036,val
2,0.01004000,2.517282,0.180239,2.267233,0.259187,val
3,0.02003000,2.223777,0.263474,2.237475,0.253400,val
4,0.03002000,2.080775,0.303392,2.008814,0.333116,val
5,0.04001000,1.991493,0.330175,1.825505,0.380136,val
6,0.05000000,1.937776,0.347151,2.150508,0.323857,val
7,0.04998633,1.881875,0.360064,1.926462,0.354818,val
8,0.04994535,1.837642,0.374945,1.976940,0.334852,val
9,0.04987710,1.811190,0.384145,1.759067,0.398438,val
10,0.04978165,1.790187,0.388915,2.102745,0.306496,val
11,0.04965910,1.773086,0.394338,2.000917,0.334201,val
12,0.04950960,1.755481,0.402518,1.670454,0.423973,val
13,0.04933330,1.749186,0.403438,1.803635,0.391276,val
14,0.04913040,1.736588,0.408539,1.758988,0.404152,val
15,0.04890111,1.728678,0.411443,1.835553,0.381076,val
16,0.04864570,1.716715,0.414099,1.817200,0.400680,val
17,0.04836444,1.711305,0.416305,1.996014,0.359520,val
18,0.04805763,1.700140,0.419596,1.605558,0.452908,val
19,0.04772562,1.694295,0.421967,1.684961,0.429760,val
20,0.04736876,1.687718,0.424586,2.613185,0.300854,val
21,0.04698745,1.677177,0.426333,1.726934,0.431062,val
22,0.04658210,1.669168,0.429991,1.838317,0.409361,val
23,0.04615315,1.659743,0.435542,1.578269,0.454355,val
24,0.04570108,1.655384,0.436618,1.637237,0.454933,val
25,0.04522638,1.645092,0.439320,1.725650,0.421586,val
26,0.04472957,1.640938,0.440156,1.973251,0.365451,val
27,0.04421119,1.635417,0.443750,1.545589,0.476924,val
28,0.04367180,1.626837,0.444752,1.623034,0.450159,val
29,0.04311201,1.622038,0.447675,1.565336,0.477214,val
30,0.04253241,1.617486,0.450699,1.475524,0.496889,val
31,0.04193365,1.606990,0.452252,1.482940,0.497541,val
32,0.04131638,1.601741,0.455303,1.525992,0.485098,val
33,0.04068127,1.593554,0.457445,1.810376,0.399523,val
34,0.04002902,1.592372,0.458281,1.634389,0.454933,val
35,0.03936034,1.586413,0.460404,1.651144,0.443649,val
36,0.03867597,1.576973,0.462482,1.418401,0.519170,val
37,0.03797664,1.573571,0.466654,1.590914,0.466652,val
38,0.03726314,1.567512,0.466461,1.583772,0.458912,val
39,0.03653622,1.562315,0.469292,1.498352,0.488932,val
40,0.03579670,1.554495,0.470809,1.418734,0.520761,val
41,0.03504538,1.547210,0.473051,1.660936,0.443721,val
42,0.03428308,1.538785,0.477886,1.446300,0.513672,val
43,0.03351063,1.537323,0.478548,1.386273,0.526259,val
44,0.03272888,1.532210,0.479329,1.507402,0.496745,val
45,0.03193869,1.523684,0.480781,1.426037,0.517072,val
46,0.03114091,1.514589,0.485432,1.594936,0.467448,val
47,0.03033642,1.508976,0.485671,1.617463,0.460865,val
48,0.02952611,1.503596,0.487721,1.554641,0.473090,val
49,0.02871085,1.499543,0.490763,1.410566,0.528139,val
50,0.02789154,1.493254,0.491434,1.468213,0.510417,val
51,0.02706907,1.479581,0.496636,1.574552,0.475911,val
52,0.02624435,1.475710,0.498097,1.392768,0.531829,val
53,0.02541827,1.468456,0.500018,1.468900,0.505136,val
54,0.02459173,1.459648,0.503116,1.384560,0.540148,val
55,0.02376565,1.456936,0.506985,1.360942,0.543547,val
56,0.02294093,1.444833,0.509283,1.355906,0.541739,val
57,0.02211846,1.441829,0.510763,1.440548,0.514902,val
58,0.02129915,1.433676,0.511507,1.390114,0.535446,val
59,0.02048389,1.424280,0.516149,1.383446,0.539352,val
60,0.01967358,1.416614,0.517307,1.440007,0.514829,val
61,0.01886909,1.411500,0.520193,1.333612,0.550998,val
62,0.01807131,1.400461,0.524687,1.354675,0.543547,val
63,0.01728112,1.390795,0.526333,1.439887,0.520182,val
