epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.734435,0.126900,2.600007,0.174146,val
2,0.02008000,2.029568,0.331791,1.829333,0.406704,val
3,0.04006000,1.697968,0.428860,1.636190,0.449037,val
4,0.06004000,1.586189,0.468454,1.686590,0.441043,val
5,0.08002000,1.535406,0.483752,1.664494,0.456305,val
6,0.10000000,1.527465,0.489410,1.719307,0.427326,val
7,0.09997267,1.491732,0.501757,1.519510,0.498728,val
8,0.09989069,1.465999,0.509692,1.681321,0.452852,val
9,0.09975417,1.441886,0.520956,1.621897,0.468477,val
10,0.09956325,1.425950,0.525766,2.517627,0.356741,val
11,0.09931813,1.410882,0.530699,1.628190,0.466933,val
12,0.09901910,1.398221,0.535223,1.535793,0.484284,val
13,0.09866646,1.382985,0.540870,2.078634,0.369640,val
14,0.09826062,1.372105,0.544414,1.596532,0.471748,val
15,0.09780201,1.361996,0.550051,1.506135,0.496366,val
16,0.09729113,1.355197,0.552277,1.435909,0.528252,val
17,0.09672855,1.348475,0.553687,1.605716,0.472929,val
18,0.09611488,1.341601,0.555647,1.463259,0.519713,val
19,0.09545078,1.331152,0.560039,1.672784,0.454851,val
20,0.09473699,1.323779,0.562980,1.610316,0.483467,val
21,0.09397429,1.321874,0.564022,1.604170,0.489735,val
22,0.09316351,1.313580,0.568433,1.529770,0.504996,val
23,0.09230553,1.306833,0.570588,1.545455,0.494368,val
24,0.09140130,1.298818,0.573458,1.564366,0.504451,val
25,0.09045180,1.295092,0.573887,1.456426,0.521893,val
26,0.08945808,1.286458,0.576900,1.576380,0.495549,val
27,0.08842121,1.277198,0.581669,1.524788,0.511083,val
28,0.08734234,1.270093,0.582700,2.005976,0.419967,val
29,0.08622264,1.263339,0.585458,1.540820,0.502544,val
30,0.08506333,1.256277,0.588327,1.473526,0.522347,val
31,0.08386569,1.249291,0.590788,2.294269,0.403161,val
32,0.08263103,1.245345,0.590196,1.388783,0.552235,val
33,0.08136068,1.232478,0.596987,1.511113,0.508812,val
34,0.08005605,1.229360,0.596650,1.422907,0.527798,val
35,0.07871856,1.220271,0.599163,1.515248,0.516079,val
36,0.07734967,1.212829,0.603942,1.452188,0.528616,val
37,0.07595088,1.202107,0.605617,1.404387,0.550418,val
38,0.07452372,1.192372,0.609753,1.389515,0.550872,val
39,0.07306975,1.184944,0.612030,1.405386,0.550872,val
40,0.07159056,1.174205,0.616197,2.192608,0.457122,val
41,0.07008776,1.166474,0.617780,1.353112,0.563408,val
42,0.06856301,1.157244,0.620098,1.366278,0.559230,val
43,0.06701796,1.147503,0.624152,1.310754,0.573310,val
44,0.06545430,1.134730,0.628748,1.361977,0.566497,val
45,0.06387376,1.123039,0.632465,1.307875,0.570948,val
46,0.06227805,1.110789,0.637806,1.323365,0.573855,val
47,0.06066892,1.097672,0.641319,1.327079,0.568586,val
48,0.05904812,1.084769,0.644679,1.276307,0.583939,val
49,0.05741744,1.071426,0.650031,1.670058,0.490098,val
50,0.05577865,1.059144,0.652829,1.561638,0.511355,val
51,0.05413355,1.043378,0.658915,1.243402,0.595476,val
52,0.05248394,1.024733,0.665605,1.304898,0.586119,val
53,0.05083161,1.011299,0.670241,1.265822,0.587028,val
54,0.04917839,0.990728,0.676685,1.260428,0.591206,val
55,0.04752606,0.974249,0.681750,1.227454,0.598746,val
56,0.04587645,0.961157,0.686632,1.285613,0.594658,val
57,0.04423135,0.942728,0.691912,1.290262,0.604924,val
58,0.04259256,0.920322,0.698386,1.249053,0.608194,val
59,0.04096188,0.900624,0.705893,1.526729,0.550418,val
60,0.03934108,0.880831,0.712582,1.238383,0.614553,val
61,0.03773195,0.857256,0.719526,1.194689,0.624001,val
62,0.03613624,0.837641,0.725633,1.640950,0.540698,val
63,0.03455570,0.810910,0.734130,1.248027,0.615280,val
64,0.03299204,0.785071,0.741677,1.258133,0.617278,val
65,0.03144699,0.762156,0.750194,1.208692,0.641079,val
66,0.02992224,0.732460,0.758926,1.196257,0.637627,val
67,0.02841944,0.706677,0.766850,1.277609,0.627634,val
68,0.02694025,0.680254,0.776164,1.254701,0.642351,val
69,0.02548628,0.650562,0.786407,1.290562,0.636083,val
70,0.02405912,0.614938,0.798141,1.190129,0.648528,val
71,0.02266033,0.591347,0.804892,1.195308,0.651708,val
72,0.02129144,0.552383,0.818576,1.248907,0.652889,val
73,0.01995395,0.526140,0.827145,1.180708,0.658612,val
74,0.01864932,0.495021,0.837163,1.221273,0.668241,val
75,0.01737897,0.458766,0.849152,1.250742,0.655705,val
76,0.01614431,0.417561,0.862500,1.287650,0.663427,val
77,0.01494667,0.392305,0.872089,1.260560,0.658884,val
78,0.01378736,0.355767,0.883772,1.286623,0.670694,val
79,0.01266766,0.315719,0.897345,1.284697,0.677689,val
