epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.728245,0.136326,2.606517,0.175276,val
2,0.02008000,2.175563,0.284855,2.123790,0.306985,val
3,0.04006000,1.839229,0.377002,1.826803,0.387684,val
4,0.06004000,1.686889,0.422600,1.859347,0.381342,val
5,0.08002000,1.591904,0.453350,1.762078,0.410478,val
6,0.10000000,1.532846,0.475868,1.572002,0.466268,val
7,0.09991846,1.449077,0.506158,1.543959,0.483548,val
8,0.09967412,1.382617,0.531117,1.602456,0.479963,val
9,0.09926777,1.328971,0.550368,1.847236,0.410478,val
10,0.09870073,1.285078,0.565257,1.395384,0.532904,val
11,0.09797485,1.243433,0.579871,1.352348,0.549632,val
12,0.09709251,1.208408,0.593270,1.397019,0.539982,val
13,0.09605658,1.180237,0.603176,1.394551,0.536029,val
14,0.09487043,1.148540,0.613797,1.727818,0.466268,val
15,0.09353795,1.127971,0.622692,1.395794,0.548713,val
16,0.09206347,1.101452,0.629177,1.253042,0.590533,val
17,0.09045180,1.075785,0.638358,1.292329,0.572059,val
18,0.08870821,1.051590,0.645752,1.268733,0.585478,val
19,0.08683837,1.035736,0.650827,1.342648,0.558915,val
20,0.08484839,1.014786,0.657394,1.304834,0.576746,val
21,0.08274476,0.988565,0.666524,1.305486,0.580515,val
22,0.08053434,0.964640,0.675664,1.264420,0.594669,val
23,0.07822434,0.947804,0.678227,1.264714,0.595404,val
24,0.07582229,0.922340,0.689348,1.313806,0.586213,val
25,0.07333603,0.900470,0.695752,1.288203,0.587408,val
26,0.07077367,0.874598,0.703789,1.381648,0.568382,val
27,0.06814357,0.854965,0.710366,1.382502,0.571140,val
28,0.06545430,0.825572,0.720374,1.138336,0.637132,val
29,0.06271465,0.804467,0.728074,1.215991,0.626011,val
30,0.05993353,0.781649,0.734947,1.933330,0.507996,val
31,0.05712003,0.747174,0.746855,1.215375,0.618934,val
32,0.05428332,0.722068,0.754483,1.139058,0.647243,val
33,0.05143266,0.697040,0.761458,1.158580,0.642463,val
34,0.04857734,0.670787,0.772120,1.181328,0.650276,val
35,0.04572668,0.632438,0.783895,1.131422,0.664706,val
36,0.04288997,0.604959,0.791626,1.223753,0.657537,val
37,0.04007647,0.574994,0.803084,1.173920,0.665349,val
38,0.03729535,0.545092,0.812102,1.123865,0.685294,val
39,0.03455570,0.508673,0.824479,1.158191,0.678309,val
40,0.03186643,0.468546,0.837500,1.430277,0.641268,val
41,0.02923633,0.439803,0.847600,1.146881,0.685294,val
42,0.02667397,0.400629,0.860509,1.299974,0.680331,val
43,0.02418771,0.362133,0.873642,1.207140,0.694026,val
44,0.02178566,0.328851,0.885090,1.202539,0.707812,val
45,0.01947566,0.297137,0.895670,1.239425,0.719118,val
46,0.01726524,0.259621,0.908292,1.240824,0.718842,val
47,0.01516161,0.223502,0.920609,1.303191,0.722059,val
48,0.01317163,0.194729,0.929534,1.285654,0.728585,val
49,0.01130179,0.164850,0.939665,1.320432,0.731158,val
50,0.00955820,0.141268,0.947661,1.352448,0.735662,val
51,0.00794653,0.122574,0.954146,1.344151,0.738235,val
52,0.00647205,0.106710,0.959201,1.381978,0.741636,val
53,0.00513957,0.095080,0.963123,1.415013,0.742463,val
54,0.00395342,0.085025,0.966881,1.412622,0.746140,val
55,0.00291749,0.076840,0.969720,1.439662,0.743750,val
56,0.00203515,0.071661,0.971763,1.426459,0.746875,val
57,0.00130927,0.066945,0.973642,1.451144,0.745956,val
58,0.00074223,0.063581,0.975245,1.445435,0.748346,val
59,0.00033588,0.062084,0.975643,1.452572,0.747978,val
60,0.00009154,0.061580,0.976123,1.448229,0.749265,val
