epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,1.885162,0.526110,1.230358,0.694525,val
2,0.01004000,0.154786,0.955212,0.070289,0.976310,val
3,0.02003000,0.079005,0.974723,0.079862,0.970495,val
4,0.03002000,0.068121,0.978824,0.062258,0.983443,val
5,0.04001000,0.064471,0.980087,0.081096,0.983102,val
6,0.05000000,0.052155,0.983969,0.133827,0.957548,val
7,0.04998633,0.049730,0.984857,0.071529,0.979877,val
8,0.04994535,0.040822,0.987454,0.084877,0.976355,val
9,0.04987710,0.041783,0.987082,0.139234,0.976014,val
10,0.04978165,0.040270,0.987618,0.084242,0.981489,val
11,0.04965910,0.036529,0.988717,0.068500,0.981149,val
12,0.04950960,0.036382,0.988744,0.067703,0.984079,val
13,0.04933330,0.038290,0.988284,0.083085,0.980853,val
14,0.04913040,0.044950,0.986519,0.117816,0.973085,val
15,0.04890111,0.037174,0.988583,0.064741,0.984079,val
16,0.04864570,0.040143,0.987802,0.169058,0.965701,val
17,0.04836444,0.042481,0.987162,0.032802,0.990278,val
18,0.04805763,0.035535,0.989440,0.029320,0.992868,val
19,0.04772562,0.010937,0.997504,0.068611,0.982466,val
20,0.04736876,0.042395,0.987484,0.069271,0.983739,val
21,0.04698745,0.042462,0.987216,0.075763,0.980853,val
22,0.04658210,0.037221,0.988499,0.068771,0.984079,val
23,0.04615315,0.036205,0.988663,0.074098,0.982466,val
24,0.04570108,0.035922,0.988717,0.074659,0.980513,val
25,0.04522638,0.037207,0.988579,0.072439,0.983102,val
26,0.04472957,0.045490,0.986626,0.070529,0.980513,val
27,0.04421119,0.043578,0.986971,0.098727,0.978264,val
28,0.04367180,0.037237,0.988476,0.074991,0.983102,val
29,0.04311201,0.036836,0.988636,0.058285,0.982126,val
30,0.04253241,0.019574,0.994265,0.038270,0.992232,val
31,0.04193365,0.011269,0.997132,0.048664,0.989642,val
32,0.04131638,0.000693,0.999973,0.039749,0.989642,val
33,0.04068127,0.022005,0.993487,0.140430,0.860270,val
34,0.04002902,0.035843,0.989306,0.057441,0.989006,val
35,0.03936034,0.005271,0.998901,0.038345,0.991891,val
36,0.03867597,0.003291,0.999410,0.064037,0.979877,val
37,0.03797664,0.020183,0.994157,0.070617,0.982466,val
38,0.03726314,0.007794,0.997829,0.043732,0.991891,val
39,0.03653622,0.001142,0.999920,0.053018,0.991891,val
40,0.03579670,0.000597,1.000000,0.047424,0.990278,val
41,0.03504538,0.000565,1.000000,0.043475,0.991891,val
42,0.03428308,0.000587,1.000000,0.045106,0.992868,val
43,0.03351063,0.000787,1.000000,0.043892,0.991891,val
44,0.03272888,0.000622,1.000000,0.043504,0.991891,val
45,0.03193869,0.000655,0.999973,0.043073,0.991891,val
46,0.03114091,0.000608,1.000000,0.043005,0.991891,val
47,0.03033642,0.000577,1.000000,0.041783,0.990278,val
48,0.02952611,0.000607,1.000000,0.041974,0.991891,val
49,0.02871085,0.000664,1.000000,0.043537,0.991891,val
50,0.02789154,0.000573,1.000000,0.040540,0.991891,val
51,0.02706907,0.000603,1.000000,0.041853,0.991891,val
52,0.02624435,0.016913,0.995980,0.077680,0.989938,val
53,0.02541827,0.045850,0.986435,0.090756,0.978560,val
54,0.02459173,0.015861,0.996007,0.039479,0.989006,val
55,0.02376565,0.018577,0.995229,0.041547,0.989982,val
56,0.02294093,0.004109,0.999169,0.029309,0.990619,val
57,0.02211846,0.000640,0.999973,0.027859,0.993845,val
58,0.02129915,0.000478,1.000000,0.033981,0.990619,val
59,0.02048389,0.000503,0.999973,0.031294,0.990619,val
60,0.01967358,0.000505,1.000000,0.032018,0.992232,val
61,0.01886909,0.000457,1.000000,0.030673,0.993845,val
62,0.01807131,0.000465,1.000000,0.033800,0.993845,val
63,0.01728112,0.000512,1.000000,0.032789,0.993845,val
64,0.01649937,0.000536,1.000000,0.034655,0.993845,val
65,0.01572692,0.000549,1.000000,0.035106,0.993845,val
66,0.01496462,0.000556,1.000000,0.037502,0.995457,val
67,0.01421330,0.000618,1.000000,0.032974,0.995457,val
68,0.01347378,0.000549,1.000000,0.034404,0.992232,val
69,0.01274686,0.000515,1.000000,0.035564,0.993845,val
70,0.01203336,0.000555,1.000000,0.039041,0.993845,val
71,0.01133403,0.000543,1.000000,0.039873,0.992232,val
72,0.01064966,0.000576,1.000000,0.038181,0.994481,val
73,0.00998098,0.000569,1.000000,0.038444,0.991891,val
74,0.00932873,0.000535,1.000000,0.042568,0.992232,val
75,0.00869362,0.000528,1.000000,0.043811,0.992868,val
76,0.00807635,0.000560,1.000000,0.043982,0.993845,val
77,0.00747759,0.000514,1.000000,0.044942,0.993845,val
78,0.00689799,0.000560,1.000000,0.043340,0.992868,val
79,0.00633820,0.000553,1.000000,0.040089,0.993845,val
80,0.00579881,0.000568,1.000000,0.040573,0.995457,val
81,0.00528043,0.000581,1.000000,0.038253,0.993845,val
82,0.00478362,0.000543,1.000000,0.041163,0.993845,val
83,0.00430892,0.000544,1.000000,0.039842,0.994481,val
84,0.00385685,0.000546,1.000000,0.040380,0.992868,val
85,0.00342790,0.000567,1.000000,0.041051,0.992868,val
86,0.00302255,0.000546,1.000000,0.039788,0.994481,val
87,0.00264124,0.000574,1.000000,0.040814,0.993504,val
88,0.00228438,0.000605,1.000000,0.038683,0.995457,val
89,0.00195237,0.000586,1.000000,0.041066,0.994481,val
90,0.00164556,0.000556,1.000000,0.043035,0.992868,val
91,0.00136430,0.000540,1.000000,0.039507,0.993845,val
92,0.00110889,0.000564,1.000000,0.037666,0.995457,val
93,0.00087960,0.000579,1.000000,0.038227,0.995457,val
94,0.00067670,0.000560,1.000000,0.044361,0.993504,val
95,0.00050040,0.000536,1.000000,0.043444,0.993845,val
96,0.00035090,0.000550,1.000000,0.039603,0.992868,val
97,0.00022835,0.000558,1.000000,0.039948,0.993845,val
98,0.00013290,0.000545,1.000000,0.042405,0.993504,val
99,0.00006465,0.000554,1.000000,0.039687,0.993504,val
100,0.00002367,0.000542,1.000000,0.040318,0.994481,val
