epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,1.885162,0.526110,1.230358,0.694525,val
2,0.01004000,0.154786,0.955212,0.070289,0.976310,val
3,0.02003000,0.079005,0.974723,0.079862,0.970495,val
4,0.03002000,0.068121,0.978824,0.062258,0.983443,val
5,0.04001000,0.064471,0.980087,0.081096,0.983102,val
6,0.05000000,0.052155,0.983969,0.133827,0.957548,val
7,0.04945380,0.044613,0.986224,0.084444,0.980853,val
8,0.04783907,0.039622,0.987752,0.069854,0.981489,val
9,0.04522638,0.036900,0.988744,0.065872,0.981489,val
10,0.04172992,0.036213,0.988717,0.093596,0.979536,val
11,0.03750250,0.036478,0.988636,0.064370,0.981489,val
12,0.03272888,0.035988,0.988744,0.064904,0.982466,val
13,0.02761769,0.035762,0.988713,0.070700,0.982466,val
14,0.02239231,0.035850,0.988690,0.066409,0.984079,val
15,0.01728112,0.035678,0.988744,0.062290,0.984079,val
16,0.01250750,0.033422,0.988797,0.047788,0.991595,val
17,0.00828008,0.005162,0.998874,0.028459,0.992232,val
18,0.00478362,0.000901,1.000000,0.027298,0.992232,val
19,0.00217093,0.000778,1.000000,0.028332,0.992232,val
20,0.00055620,0.000702,1.000000,0.027618,0.992232,val
