epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,1.611409,0.595744,0.937546,0.755072,val
2,0.01004000,0.113393,0.966188,0.121634,0.966973,val
3,0.02003000,0.061395,0.981262,0.065554,0.981489,val
4,0.03002000,0.053174,0.984226,0.076165,0.983739,val
5,0.04001000,0.047851,0.985489,0.068553,0.981149,val
6,0.05000000,0.050868,0.984613,0.073847,0.978264,val
7,0.04998633,0.040353,0.987786,0.070693,0.983102,val
8,0.04994535,0.038550,0.988173,0.066373,0.982466,val
9,0.04987710,0.037781,0.988129,0.049611,0.987689,val
10,0.04978165,0.044583,0.986520,0.068285,0.983102,val
11,0.04965910,0.035505,0.988620,0.085460,0.979877,val
12,0.04950960,0.039886,0.988084,0.077405,0.983443,val
13,0.04933330,0.023418,0.992895,0.032226,0.991595,val
14,0.04913040,0.015992,0.995531,0.032765,0.992232,val
15,0.04890111,0.004931,0.998793,0.048471,0.988666,val
16,0.04864570,0.000738,0.999970,0.035314,0.990278,val
17,0.04836444,0.001252,0.999821,0.035030,0.991255,val
18,0.04805763,0.005867,0.998749,0.036567,0.991255,val
19,0.04772562,0.039342,0.988516,0.093561,0.978604,val
20,0.04736876,0.040911,0.987369,0.076351,0.977287,val
21,0.04698745,0.040128,0.987801,0.126820,0.975038,val
22,0.04658210,0.041230,0.987518,0.068686,0.981489,val
23,0.04615315,0.036198,0.988856,0.070856,0.980853,val
24,0.04570108,0.037311,0.988573,0.075777,0.981489,val
25,0.04522638,0.040466,0.987649,0.079034,0.979240,val
