epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.900156,0.340233,2.976800,0.391602,val
2,0.01004000,0.936211,0.736868,2.684260,0.826096,val
3,0.02003000,0.387928,0.887375,0.962768,0.915556,val
4,0.03002000,0.234158,0.929176,10.643771,0.835654,val
5,0.04001000,0.215329,0.939592,1.013883,0.785553,val
6,0.05000000,0.252019,0.926549,0.097532,0.964724,val
7,0.04993911,0.102525,0.969151,0.066837,0.980513,val
8,0.04975675,0.076499,0.977297,0.110467,0.971768,val
9,0.04945380,0.076133,0.974938,0.075239,0.976607,val
10,0.04903174,0.095606,0.976674,0.185158,0.957371,val
11,0.04849262,0.103287,0.971020,0.060561,0.983739,val
12,0.04783907,0.073946,0.977297,0.092440,0.977627,val
13,0.04707428,0.084334,0.974715,0.058969,0.984715,val
14,0.04620196,0.070227,0.978098,0.063313,0.983443,val
15,0.04522638,0.131637,0.965856,0.107559,0.971768,val
16,0.04415228,0.069891,0.977831,0.051844,0.983443,val
17,0.04298490,0.058663,0.983707,0.067136,0.983102,val
18,0.04172992,0.056612,0.980992,0.098186,0.966797,val
19,0.04039346,0.084726,0.974493,0.086702,0.973677,val
20,0.03898203,0.065231,0.980502,0.063252,0.983739,val
21,0.03750250,0.055199,0.982550,0.079820,0.981149,val
22,0.03596209,0.069762,0.978722,0.057455,0.984715,val
23,0.03436829,0.058737,0.981615,0.071574,0.984079,val
24,0.03272888,0.054153,0.984375,0.064217,0.984079,val
25,0.03105184,0.050941,0.984776,0.067600,0.983102,val
26,0.02934534,0.045648,0.986111,0.067111,0.982466,val
27,0.02761769,0.056742,0.982639,0.064960,0.979240,val
28,0.02587731,0.050259,0.983618,0.058074,0.981489,val
29,0.02413269,0.061994,0.983663,0.066731,0.982126,val
30,0.02239231,0.048808,0.984553,0.078759,0.979240,val
31,0.02066466,0.052051,0.985488,0.054509,0.983102,val
32,0.01895816,0.043513,0.986779,0.054000,0.985692,val
33,0.01728112,0.058259,0.983040,0.077791,0.984715,val
34,0.01564171,0.060814,0.984019,0.063306,0.984715,val
35,0.01404791,0.080167,0.983440,0.077772,0.981149,val
36,0.01250750,0.051240,0.986423,0.060026,0.985692,val
37,0.01102797,0.052146,0.986423,0.067837,0.984715,val
38,0.00961654,0.043489,0.985889,0.072145,0.984079,val
39,0.00828008,0.039976,0.987714,0.063869,0.984079,val
40,0.00702510,0.042035,0.986957,0.065526,0.984715,val
41,0.00585772,0.045952,0.986823,0.059913,0.985692,val
42,0.00478362,0.039752,0.988381,0.059146,0.985692,val
43,0.00380804,0.039005,0.988248,0.064938,0.984715,val
44,0.00293572,0.039114,0.987090,0.061797,0.986668,val
45,0.00217093,0.037351,0.988515,0.062549,0.985692,val
46,0.00151738,0.037470,0.988381,0.059805,0.985692,val
47,0.00097826,0.039929,0.986957,0.061193,0.985692,val
48,0.00055620,0.044122,0.987090,0.061463,0.984715,val
49,0.00025325,0.037272,0.988381,0.061100,0.985692,val
50,0.00007089,0.039372,0.987224,0.062090,0.985692,val
