epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,2.432299,0.394673,2.088399,0.421096,val
2,0.00005095,1.073059,0.872173,0.781228,0.970130,val
3,0.00010090,0.776876,0.962756,0.715727,0.978310,val
4,0.00015085,0.736254,0.972429,0.711094,0.975706,val
5,0.00020080,0.709007,0.978976,0.668551,0.990641,val
6,0.00025075,0.679870,0.984524,0.660821,0.994669,val
7,0.00030070,0.687867,0.984673,0.670274,0.985310,val
8,0.00035065,0.679277,0.986714,0.674975,0.984008,val
9,0.00040060,0.669507,0.989435,0.653183,0.994669,val
10,0.00045055,0.664479,0.991179,0.697166,0.982706,val
11,0.00050050,0.687317,0.987054,0.652896,0.994424,val
12,0.00055045,0.703034,0.981845,0.666830,0.995971,val
13,0.00060040,0.692376,0.983548,0.769424,0.958656,val
14,0.00065035,1.621772,0.679542,1.852116,0.518719,val
15,0.00070030,1.910769,0.559339,1.943792,0.517294,val
16,0.00075025,2.155525,0.462696,1.823758,0.536058,val
17,0.00080020,2.397732,0.404601,1.875435,0.588019,val
18,0.00085015,1.561551,0.686655,1.498807,0.700009,val
19,0.00090010,2.481185,0.402411,2.674274,0.316106,val
20,0.00095005,2.487818,0.377095,2.809430,0.337551,val
21,0.00100000,2.628068,0.321744,2.673665,0.316106,val
22,0.00099726,2.472482,0.368506,2.112086,0.515057,val
23,0.00098908,2.378907,0.380286,2.041564,0.461260,val
24,0.00097555,2.287123,0.402524,2.683438,0.316106,val
25,0.00095682,2.630169,0.316446,2.610944,0.316106,val
26,0.00093308,2.488110,0.368399,2.381559,0.441807,val
27,0.00090460,2.414279,0.410667,2.681292,0.316106,val
28,0.00087170,2.609387,0.324696,2.386225,0.393830,val
29,0.00083473,2.346893,0.406476,2.095049,0.460448,val
30,0.00079410,2.181874,0.448310,2.373130,0.404981,val
31,0.00075025,2.194726,0.471786,2.497071,0.306746,val
32,0.00070366,2.181787,0.401054,2.042626,0.446080,val
33,0.00065485,1.979626,0.466744,1.764136,0.544071,val
34,0.00060435,1.917061,0.493208,1.786491,0.519409,val
35,0.00055271,1.817581,0.521970,1.812097,0.510906,val
36,0.00050050,1.808397,0.522452,1.655637,0.562545,val
37,0.00044829,1.716920,0.549881,1.589740,0.581508,val
38,0.00039665,1.723716,0.541696,1.662035,0.580084,val
39,0.00034615,1.737136,0.544506,1.596867,0.601529,val
40,0.00029734,1.716804,0.552435,1.543401,0.619068,val
41,0.00025075,1.649076,0.576857,1.531046,0.627126,val
42,0.00020690,1.647206,0.608685,1.468745,0.684951,val
43,0.00016627,1.562524,0.643500,1.537296,0.651910,val
44,0.00012930,1.641547,0.629048,1.411041,0.683527,val
45,0.00009640,1.452920,0.698476,1.270050,0.770488,val
46,0.00006792,1.391785,0.720732,1.240894,0.770856,val
47,0.00004418,1.385335,0.722411,1.243335,0.761496,val
48,0.00002545,1.338431,0.737762,1.238310,0.769554,val
49,0.00001192,1.335346,0.738167,1.215937,0.778791,val
50,0.00000374,1.335195,0.738929,1.218898,0.781395,val
