epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000050,1.981869,0.511548,1.485970,0.703548,val
2,0.00005045,0.853439,0.931399,0.759020,0.964922,val
3,0.00010040,0.748654,0.961458,0.723825,0.968828,val
4,0.00015035,0.757481,0.959333,0.719622,0.967771,val
5,0.00020030,0.719962,0.967923,0.741308,0.962318,val
6,0.00025025,0.745622,0.961012,0.768564,0.946080,val
7,0.00030020,0.809048,0.939732,0.746312,0.959836,val
8,0.00035015,0.772156,0.949470,0.731560,0.965289,val
9,0.00040010,0.752564,0.955060,0.798521,0.946693,val
10,0.00045005,0.877816,0.913756,0.790459,0.937088,val
11,0.00050000,0.898516,0.909512,1.195255,0.798811,val
12,0.00049923,1.118901,0.832827,1.215001,0.813869,val
13,0.00049693,1.176793,0.813696,1.214060,0.793848,val
14,0.00049311,1.201780,0.797536,1.134940,0.827825,val
15,0.00048779,1.347856,0.757387,1.716870,0.651542,val
16,0.00048101,1.659152,0.649923,1.605653,0.700621,val
17,0.00047281,1.389462,0.729280,1.621011,0.634003,val
18,0.00046323,1.215055,0.791351,1.189908,0.801416,val
19,0.00045235,1.248426,0.781107,1.265432,0.784611,val
20,0.00044022,1.165434,0.808042,1.156654,0.800970,val
21,0.00042692,1.185104,0.795518,1.161704,0.801660,val
22,0.00041254,1.046434,0.850810,1.056940,0.855580,val
23,0.00039715,1.034299,0.852619,1.201051,0.780337,val
24,0.00038086,1.225188,0.780446,1.249651,0.777244,val
25,0.00036377,1.312412,0.747327,1.406641,0.730569,val
26,0.00034598,1.155298,0.801089,1.192678,0.767762,val
27,0.00032760,1.067441,0.842054,1.082705,0.836616,val
28,0.00030874,1.116578,0.818732,1.195375,0.786970,val
29,0.00028953,1.131168,0.815440,1.381131,0.718605,val
30,0.00027008,1.134050,0.812911,1.138401,0.812322,val
31,0.00025050,1.032380,0.851000,1.012042,0.858184,val
32,0.00023092,0.998982,0.863185,0.955786,0.887075,val
33,0.00021147,1.022760,0.850726,0.943227,0.884593,val
34,0.00019226,0.971120,0.869476,1.092223,0.831608,val
35,0.00017340,1.105985,0.823369,1.035436,0.845241,val
36,0.00015502,1.019589,0.853065,0.997691,0.876291,val
37,0.00013723,0.974260,0.872982,0.980706,0.875111,val
38,0.00012014,0.953568,0.879827,1.078099,0.824775,val
39,0.00010385,0.998136,0.861357,1.003122,0.879140,val
40,0.00008846,0.930194,0.888500,0.923430,0.904736,val
41,0.00007408,0.891025,0.902405,0.900454,0.899895,val
42,0.00006078,0.874905,0.909804,0.888866,0.906283,val
43,0.00004865,0.853355,0.922792,0.855300,0.915520,val
44,0.00003777,0.842246,0.924173,0.838149,0.923578,val
45,0.00002819,0.828706,0.928786,0.837173,0.925002,val
46,0.00001999,0.827428,0.929530,0.835247,0.928908,val
47,0.00001321,0.819842,0.930911,0.832447,0.925002,val
48,0.00000789,0.812698,0.937268,0.833608,0.928786,val
49,0.00000407,0.813062,0.936673,0.823992,0.930211,val
50,0.00000177,0.806595,0.940435,0.824950,0.931635,val
