epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.355802,0.377583,1.803829,0.566696,val
2,0.02008000,0.343749,0.912458,0.128638,0.961138,val
3,0.04006000,0.153752,0.956208,0.121039,0.968828,val
4,0.06004000,0.121414,0.961970,0.133975,0.965044,val
5,0.08002000,0.113122,0.969345,0.080823,0.970620,val
6,0.10000000,0.091679,0.969560,0.066619,0.974281,val
7,0.09987821,0.081188,0.975595,0.095015,0.971677,val
8,0.09951345,0.060263,0.981548,0.065091,0.975706,val
9,0.09890749,0.060404,0.981250,0.074674,0.970375,val
10,0.09806328,0.052228,0.984077,0.093265,0.977130,val
11,0.09698493,0.044608,0.986905,0.059984,0.979734,val
12,0.09567771,0.044567,0.986607,0.064684,0.978432,val
13,0.09414796,0.047706,0.985970,0.066457,0.974281,val
14,0.09240316,0.049097,0.985077,0.059213,0.979612,val
15,0.09045180,0.039216,0.988500,0.065926,0.977130,val
16,0.08830339,0.040627,0.988542,0.061393,0.978187,val
17,0.08596839,0.039336,0.988690,0.067107,0.979734,val
18,0.08345818,0.045413,0.986756,0.064093,0.975706,val
19,0.08078500,0.044998,0.985565,0.059911,0.978310,val
20,0.07796185,0.037373,0.989137,0.050500,0.979734,val
21,0.07500250,0.036772,0.989137,0.052387,0.979857,val
22,0.07192137,0.036291,0.989393,0.051515,0.982461,val
23,0.06873346,0.036224,0.989286,0.047938,0.982461,val
24,0.06545430,0.035602,0.989393,0.054643,0.982461,val
25,0.06209989,0.035415,0.989435,0.047791,0.981036,val
26,0.05868654,0.035435,0.989393,0.047677,0.982461,val
27,0.05523090,0.036007,0.989435,0.050251,0.982461,val
28,0.05174980,0.034765,0.989435,0.050042,0.982461,val
29,0.04826020,0.034777,0.989435,0.049476,0.982461,val
30,0.04477910,0.035309,0.989435,0.058603,0.979734,val
31,0.04132346,0.034946,0.989435,0.052221,0.982461,val
32,0.03791011,0.034481,0.989435,0.047672,0.982461,val
33,0.03455570,0.034948,0.989435,0.048610,0.982461,val
34,0.03127654,0.034380,0.989435,0.054276,0.981036,val
35,0.02808863,0.034319,0.989435,0.052995,0.981036,val
36,0.02500750,0.034378,0.989435,0.049878,0.982461,val
37,0.02204815,0.034522,0.989435,0.049095,0.981036,val
38,0.01922500,0.034267,0.989435,0.052622,0.981036,val
39,0.01655182,0.034507,0.989351,0.051252,0.982461,val
40,0.01404161,0.034199,0.989393,0.050066,0.981036,val
41,0.01170661,0.033966,0.989435,0.053369,0.981036,val
42,0.00955820,0.034129,0.989393,0.049897,0.982461,val
43,0.00760684,0.034065,0.989435,0.049202,0.981036,val
44,0.00586204,0.033540,0.989435,0.048525,0.981036,val
45,0.00433229,0.033822,0.989435,0.049708,0.981159,val
46,0.00302507,0.033581,0.989435,0.049287,0.982461,val
47,0.00194672,0.033230,0.989435,0.049558,0.979734,val
48,0.00110251,0.033278,0.989435,0.050587,0.979734,val
49,0.00049655,0.033378,0.989435,0.050337,0.981036,val
50,0.00013179,0.033362,0.989435,0.050319,0.979734,val
