epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.873940,0.333768,2.831987,0.424268,val
2,0.01004000,0.842400,0.773577,1.342035,0.922153,val
3,0.02003000,0.333648,0.904018,0.454893,0.857572,val
4,0.03002000,0.278717,0.920089,0.191426,0.958289,val
5,0.04001000,0.153888,0.955613,0.103671,0.971554,val
6,0.05000000,0.121345,0.965327,0.120222,0.963497,val
7,0.04993911,0.118140,0.965774,0.075929,0.977008,val
8,0.04975675,0.083431,0.972280,0.057827,0.977008,val
9,0.04945380,0.066671,0.978679,0.085697,0.975583,val
10,0.04903174,0.060856,0.982292,0.056798,0.979612,val
11,0.04849262,0.056553,0.981655,0.056927,0.978310,val
12,0.04783907,0.053797,0.983887,0.100704,0.977008,val
13,0.04707428,0.046241,0.987012,0.061827,0.978310,val
14,0.04620196,0.065968,0.979571,0.072516,0.977008,val
15,0.04522638,0.063755,0.981101,0.059849,0.978187,val
16,0.04415228,0.055179,0.983631,0.068952,0.978310,val
17,0.04298490,0.042441,0.987500,0.079890,0.974159,val
18,0.04172992,0.052544,0.984185,0.087861,0.974404,val
19,0.04039346,0.045994,0.986161,0.067946,0.979734,val
20,0.03898203,0.044236,0.986565,0.063952,0.981036,val
21,0.03750250,0.039429,0.988393,0.063374,0.979612,val
22,0.03596209,0.036791,0.989095,0.070431,0.979612,val
23,0.03436829,0.038832,0.988500,0.093062,0.975706,val
24,0.03272888,0.036702,0.989095,0.063594,0.979612,val
25,0.03105184,0.037780,0.988500,0.062822,0.979734,val
26,0.02934534,0.037064,0.988690,0.077124,0.979734,val
27,0.02761769,0.036215,0.989137,0.064535,0.978310,val
28,0.02587731,0.035249,0.989435,0.061947,0.978310,val
29,0.02413269,0.035749,0.989286,0.060451,0.979734,val
30,0.02239231,0.035456,0.989393,0.057234,0.979612,val
31,0.02066466,0.035161,0.989393,0.066296,0.978310,val
32,0.01895816,0.036701,0.988690,0.070648,0.978310,val
33,0.01728112,0.034371,0.989435,0.071796,0.978310,val
34,0.01564171,0.035450,0.989393,0.067624,0.978310,val
35,0.01404791,0.034398,0.989435,0.063375,0.978310,val
36,0.01250750,0.034470,0.989393,0.064949,0.978310,val
37,0.01102797,0.034237,0.989435,0.067731,0.978310,val
38,0.00961654,0.034565,0.989435,0.064506,0.978310,val
39,0.00828008,0.034111,0.989435,0.064512,0.978310,val
40,0.00702510,0.035059,0.989137,0.062583,0.978310,val
41,0.00585772,0.034317,0.989393,0.061341,0.978310,val
42,0.00478362,0.034177,0.989435,0.063083,0.978310,val
43,0.00380804,0.034891,0.989286,0.063225,0.978310,val
44,0.00293572,0.034486,0.989286,0.060682,0.978310,val
45,0.00217093,0.034351,0.989435,0.062168,0.978310,val
46,0.00151738,0.034441,0.989393,0.062055,0.978310,val
47,0.00097826,0.034617,0.989286,0.060732,0.978310,val
48,0.00055620,0.034117,0.989435,0.062234,0.978310,val
49,0.00025325,0.034305,0.989286,0.062376,0.978310,val
50,0.00007089,0.034129,0.989286,0.062516,0.978310,val
