epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,3.207149,0.054929,3.218234,0.014568,val
2,0.00200800,2.110034,0.480095,3.384944,0.157808,val
3,0.00400600,1.279953,0.619542,1.232460,0.673923,val
4,0.00600400,0.601091,0.815655,143.151240,0.316106,val
5,0.00800200,0.322646,0.904911,12.012171,0.136118,val
6,0.01000000,0.175926,0.947173,2.849133,0.658053,val
7,0.00998783,0.138041,0.961631,0.624832,0.848213,val
8,0.00995139,0.098368,0.969494,0.100899,0.967771,val
9,0.00989085,0.084102,0.974768,0.105991,0.966346,val
10,0.00980650,0.064070,0.980952,0.083371,0.975461,val
11,0.00969876,0.073652,0.979679,0.116310,0.967648,val
12,0.00956816,0.069313,0.978488,0.108045,0.975706,val
13,0.00941532,0.051710,0.981060,0.063534,0.971554,val
14,0.00924100,0.023432,0.993899,0.052430,0.990518,val
15,0.00904604,0.016798,0.996131,0.039482,0.993122,val
16,0.00883139,0.027921,0.990137,0.161768,0.961950,val
17,0.00859810,0.015078,0.994940,0.017924,0.995971,val
18,0.00834731,0.015126,0.995685,0.055407,0.989339,val
19,0.00808023,0.017304,0.994494,0.027223,0.995971,val
20,0.00779817,0.011522,0.996726,0.012992,0.994424,val
21,0.00750250,0.003881,0.999405,0.008378,0.998576,val
22,0.00719466,0.003945,0.998958,0.007848,0.998576,val
23,0.00687616,0.002556,0.999256,0.017247,0.998576,val
24,0.00654854,0.006684,0.997917,0.011281,0.998576,val
25,0.00621340,0.002438,0.999702,0.013198,0.995971,val
26,0.00587237,0.001769,0.999702,0.016585,0.998576,val
27,0.00552712,0.000910,1.000000,0.019883,0.994424,val
28,0.00517932,0.001137,0.999851,0.014494,0.995727,val
29,0.00483068,0.001059,0.999851,0.008824,0.997151,val
30,0.00448288,0.000717,1.000000,0.011386,0.997273,val
31,0.00413763,0.000739,1.000000,0.009581,0.998576,val
32,0.00379660,0.000482,1.000000,0.009779,0.998576,val
33,0.00346146,0.000605,1.000000,0.009992,0.998576,val
34,0.00313384,0.000814,0.999851,0.013914,0.997151,val
35,0.00281534,0.000766,1.000000,0.009182,0.998576,val
36,0.00250750,0.000565,1.000000,0.009955,0.998576,val
37,0.00221183,0.000611,0.999851,0.012913,0.995849,val
38,0.00192977,0.000509,1.000000,0.012146,0.995849,val
39,0.00166269,0.000645,0.999851,0.012482,0.995849,val
40,0.00141190,0.001077,0.999851,0.012914,0.997273,val
41,0.00117861,0.000557,1.000000,0.012372,0.997273,val
42,0.00096396,0.000490,1.000000,0.012242,0.997273,val
43,0.00076900,0.000549,1.000000,0.011802,0.997273,val
44,0.00059468,0.000759,0.999851,0.011374,0.998576,val
45,0.00044184,0.000547,1.000000,0.010810,0.998576,val
46,0.00031124,0.000485,1.000000,0.010823,0.998576,val
47,0.00020350,0.000489,1.000000,0.011212,0.998576,val
48,0.00011915,0.000450,1.000000,0.011187,0.998576,val
49,0.00005861,0.000360,1.000000,0.011386,0.998576,val
50,0.00002217,0.000452,1.000000,0.011327,0.998576,val
