epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.197143,0.447732,1.854814,0.550459,val
2,0.02008000,0.662472,0.838351,0.161336,0.958534,val
3,0.04006000,0.488932,0.882274,0.351668,0.906651,val
4,0.06004000,0.235021,0.934929,0.170390,0.954138,val
5,0.08002000,0.350518,0.918815,0.185100,0.945023,val
6,0.10000000,0.186558,0.947470,0.432539,0.860176,val
7,0.09987821,0.121932,0.965625,0.097806,0.967526,val
8,0.09951345,0.081815,0.975363,0.078950,0.977008,val
9,0.09890749,0.075867,0.976190,0.084132,0.977008,val
10,0.09806328,0.066401,0.981018,0.171993,0.950231,val
11,0.09698493,0.075930,0.978423,0.067259,0.975461,val
12,0.09567771,0.069461,0.979274,0.069398,0.977008,val
13,0.09414796,0.059337,0.983185,0.073897,0.972857,val
14,0.09240316,0.058597,0.982887,0.085677,0.970252,val
15,0.09045180,0.061227,0.982589,0.119730,0.968950,val
16,0.08830339,0.073707,0.979613,0.093181,0.973101,val
17,0.08596839,0.066245,0.980315,0.071539,0.974526,val
18,0.08345818,0.059279,0.984226,0.072866,0.976885,val
19,0.08078500,0.059532,0.982887,0.075294,0.974281,val
20,0.07796185,0.065299,0.980655,0.085604,0.975706,val
21,0.07500250,0.053863,0.985375,0.078278,0.975706,val
22,0.07192137,0.048788,0.986905,0.065171,0.978432,val
23,0.06873346,0.051531,0.984804,0.073484,0.974404,val
24,0.06545430,0.080198,0.976786,0.063904,0.976885,val
25,0.06209989,0.058378,0.982738,0.101802,0.977008,val
26,0.05868654,0.052877,0.983738,0.080305,0.975583,val
27,0.05523090,0.047052,0.986756,0.063377,0.975706,val
28,0.05174980,0.043057,0.987649,0.073724,0.977008,val
29,0.04826020,0.041931,0.988012,0.060237,0.978310,val
30,0.04477910,0.051311,0.985565,0.080041,0.974404,val
31,0.04132346,0.047136,0.986310,0.068941,0.975706,val
32,0.03791011,0.040574,0.988542,0.069550,0.978310,val
33,0.03455570,0.042718,0.987946,0.062341,0.978432,val
34,0.03127654,0.037413,0.989286,0.068569,0.975706,val
35,0.02808863,0.037525,0.989393,0.061609,0.978310,val
36,0.02500750,0.038492,0.988542,0.063492,0.981036,val
37,0.02204815,0.037909,0.989137,0.055834,0.981036,val
38,0.01922500,0.036744,0.989435,0.054871,0.979612,val
39,0.01655182,0.035899,0.989435,0.070242,0.978310,val
40,0.01404161,0.035859,0.989435,0.058068,0.979734,val
41,0.01170661,0.035912,0.989435,0.058817,0.978310,val
42,0.00955820,0.036272,0.989286,0.059381,0.978310,val
43,0.00760684,0.036551,0.989286,0.057633,0.978310,val
44,0.00586204,0.035830,0.989435,0.061725,0.978310,val
45,0.00433229,0.035409,0.989435,0.058678,0.978310,val
46,0.00302507,0.035533,0.989435,0.056514,0.981036,val
47,0.00194672,0.035592,0.989435,0.055896,0.978310,val
48,0.00110251,0.035437,0.989435,0.057256,0.978310,val
49,0.00049655,0.035375,0.989435,0.058000,0.978310,val
50,0.00013179,0.035799,0.989435,0.057326,0.979734,val
