epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.328217,0.423946,1.688635,0.645844,val
2,0.02008000,0.326059,0.913161,0.151671,0.947382,val
3,0.04006000,0.168801,0.947768,0.173412,0.962318,val
4,0.06004000,0.141419,0.958696,0.213305,0.946080,val
5,0.08002000,0.134774,0.958738,0.321886,0.909700,val
6,0.10000000,0.304417,0.928339,0.136931,0.958289,val
7,0.09987821,0.127427,0.960417,0.158430,0.962073,val
8,0.09951345,0.098831,0.969345,0.087104,0.966224,val
9,0.09890749,0.080625,0.975298,0.078824,0.970252,val
10,0.09806328,0.067091,0.978571,0.126228,0.970375,val
11,0.09698493,0.062021,0.981208,0.077127,0.974281,val
12,0.09567771,0.072703,0.976488,0.069416,0.972979,val
13,0.09414796,0.061955,0.981994,0.078982,0.975583,val
14,0.09240316,0.057390,0.982250,0.083491,0.971677,val
15,0.09045180,0.050799,0.984292,0.084306,0.972979,val
16,0.08830339,0.049915,0.984524,0.069951,0.975706,val
17,0.08596839,0.051414,0.983440,0.078813,0.976885,val
18,0.08345818,0.049423,0.984077,0.067434,0.976885,val
19,0.08078500,0.044578,0.986161,0.082342,0.971677,val
20,0.07796185,0.049112,0.985268,0.063352,0.976885,val
21,0.07500250,0.042442,0.987351,0.082482,0.972979,val
22,0.07192137,0.044164,0.986565,0.075475,0.975583,val
23,0.06873346,0.039784,0.987798,0.083255,0.970252,val
24,0.06545430,0.039901,0.987905,0.091621,0.970252,val
25,0.06209989,0.041158,0.988244,0.065895,0.978310,val
26,0.05868654,0.038405,0.988798,0.069719,0.975583,val
27,0.05523090,0.037943,0.989137,0.075385,0.978310,val
28,0.05174980,0.036582,0.988988,0.073959,0.977008,val
29,0.04826020,0.036418,0.989137,0.071866,0.977008,val
30,0.04477910,0.036780,0.988839,0.067247,0.977008,val
31,0.04132346,0.035773,0.989286,0.069285,0.977008,val
32,0.03791011,0.035083,0.989435,0.069687,0.977008,val
33,0.03455570,0.035505,0.989435,0.068614,0.977008,val
34,0.03127654,0.034854,0.989435,0.075813,0.977008,val
35,0.02808863,0.034653,0.989435,0.075472,0.977008,val
36,0.02500750,0.035039,0.989435,0.070426,0.977008,val
37,0.02204815,0.034693,0.989435,0.067084,0.977008,val
38,0.01922500,0.034664,0.989435,0.075587,0.977008,val
39,0.01655182,0.034896,0.989351,0.074205,0.977008,val
40,0.01404161,0.034517,0.989393,0.079296,0.977008,val
41,0.01170661,0.034365,0.989435,0.075338,0.977008,val
42,0.00955820,0.034492,0.989393,0.071569,0.977008,val
43,0.00760684,0.034642,0.989435,0.071172,0.977008,val
44,0.00586204,0.034333,0.989435,0.069978,0.977008,val
45,0.00433229,0.034415,0.989286,0.067697,0.977008,val
46,0.00302507,0.034215,0.989435,0.072436,0.977008,val
47,0.00194672,0.034065,0.989435,0.072840,0.977008,val
48,0.00110251,0.034173,0.989286,0.072662,0.977008,val
49,0.00049655,0.034182,0.989435,0.072520,0.977008,val
50,0.00013179,0.034165,0.989435,0.073567,0.977008,val
