epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.215211,0.417226,1.793735,0.549156,val
2,0.02008000,0.608492,0.836012,0.193542,0.934606,val
3,0.04006000,0.367816,0.916476,69.905111,0.397614,val
4,0.06004000,0.334437,0.911077,0.157178,0.947382,val
5,0.08002000,0.131372,0.960821,0.126975,0.958534,val
6,0.10000000,0.147826,0.956548,2.955534,0.919671,val
7,0.09987821,1.273526,0.782464,0.271559,0.902945,val
8,0.09951345,0.186829,0.946345,0.092676,0.974281,val
9,0.09890749,0.122365,0.962202,0.095146,0.972979,val
10,0.09806328,0.098954,0.970452,0.126682,0.957232,val
11,0.09698493,0.105994,0.966923,0.093010,0.969073,val
12,0.09567771,0.092274,0.972280,0.080328,0.977008,val
13,0.09414796,0.083283,0.977232,0.117999,0.970252,val
14,0.09240316,0.076014,0.978571,0.094181,0.966346,val
15,0.09045180,0.078562,0.977381,0.092364,0.970252,val
16,0.08830339,0.084032,0.975554,0.089528,0.967526,val
17,0.08596839,0.080321,0.977042,0.113174,0.961138,val
18,0.08345818,0.075468,0.977232,0.100998,0.971677,val
19,0.08078500,0.074719,0.979018,0.077077,0.971554,val
20,0.07796185,0.072077,0.980655,0.090463,0.970252,val
21,0.07500250,0.068089,0.980720,0.076389,0.975461,val
22,0.07192137,0.065748,0.981101,0.091377,0.970375,val
23,0.06873346,0.064709,0.980679,0.094835,0.970130,val
24,0.06545430,0.064793,0.981250,0.091817,0.973101,val
25,0.06209989,0.060672,0.981845,0.105787,0.972979,val
26,0.05868654,0.058126,0.982399,0.078435,0.976885,val
27,0.05523090,0.055063,0.984036,0.087152,0.972979,val
28,0.05174980,0.052066,0.985268,0.095492,0.970130,val
29,0.04826020,0.052968,0.985226,0.078939,0.972857,val
30,0.04477910,0.046637,0.987500,0.071372,0.973101,val
31,0.04132346,0.055181,0.983929,0.077418,0.974526,val
32,0.03791011,0.051833,0.986012,0.087506,0.975461,val
33,0.03455570,0.048599,0.986756,0.085540,0.972979,val
34,0.03127654,0.045778,0.986607,0.091745,0.970130,val
35,0.02808863,0.047360,0.986714,0.085629,0.975706,val
36,0.02500750,0.043509,0.987054,0.079045,0.975583,val
37,0.02204815,0.040260,0.988839,0.073438,0.977130,val
38,0.01922500,0.039661,0.988690,0.075295,0.977008,val
39,0.01655182,0.038873,0.988690,0.093089,0.977008,val
40,0.01404161,0.037172,0.989137,0.076370,0.977008,val
41,0.01170661,0.036885,0.989286,0.080594,0.978432,val
42,0.00955820,0.036570,0.989435,0.075844,0.978432,val
43,0.00760684,0.036704,0.989286,0.074867,0.978432,val
44,0.00586204,0.036259,0.989286,0.078133,0.978432,val
45,0.00433229,0.035776,0.989435,0.077188,0.978432,val
46,0.00302507,0.036122,0.989435,0.076557,0.978432,val
47,0.00194672,0.036220,0.989286,0.077165,0.978432,val
48,0.00110251,0.035968,0.989435,0.075428,0.978432,val
49,0.00049655,0.035665,0.989435,0.076968,0.978432,val
50,0.00013179,0.036301,0.989286,0.073777,0.978432,val
