epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,2.445120,0.367143,2.092094,0.448929,val
2,0.00005095,1.097822,0.852786,0.782470,0.960771,val
3,0.00010090,0.794245,0.954720,0.727324,0.972857,val
4,0.00015085,0.748007,0.965774,0.714558,0.971432,val
5,0.00020080,0.714894,0.974214,0.677297,0.979734,val
6,0.00025075,0.712850,0.975149,0.725620,0.976318,val
7,0.00030070,0.708247,0.976595,0.669277,0.984008,val
8,0.00035065,0.689765,0.981548,0.722352,0.975950,val
9,0.00040060,0.692255,0.982887,0.660870,0.989216,val
10,0.00045055,0.676669,0.986524,0.671077,0.987914,val
11,0.00050050,0.699590,0.979167,0.695403,0.982461,val
12,0.00055045,0.743081,0.968262,0.700226,0.979979,val
13,0.00060040,0.691021,0.981762,0.703608,0.972857,val
14,0.00065035,0.720967,0.972024,0.742084,0.973224,val
15,0.00070030,1.454188,0.692542,1.479232,0.739561,val
16,0.00075025,2.497037,0.387256,2.651526,0.316106,val
17,0.00080020,2.337800,0.368464,1.973941,0.459224,val
18,0.00085015,2.013169,0.475411,1.730716,0.585904,val
19,0.00090010,2.081890,0.479917,1.958362,0.510784,val
20,0.00095005,2.427018,0.368744,2.293064,0.492188,val
21,0.00100000,2.179768,0.419911,1.935431,0.425247,val
22,0.00099726,2.059995,0.482619,2.026286,0.499065,val
23,0.00098908,1.978637,0.518994,1.853840,0.545050,val
24,0.00097555,1.939529,0.534000,1.777013,0.619680,val
25,0.00095682,1.850215,0.569292,1.664357,0.624889,val
26,0.00093308,2.133068,0.465101,1.749466,0.567675,val
27,0.00090460,1.966445,0.511679,1.661514,0.613292,val
28,0.00087170,1.736840,0.597286,1.485189,0.683694,val
29,0.00083473,1.686165,0.615399,1.536858,0.677384,val
30,0.00079410,1.665062,0.620988,1.529515,0.656550,val
31,0.00075025,1.740446,0.588298,1.576702,0.643852,val
32,0.00070366,1.705102,0.594952,1.555239,0.639334,val
33,0.00065485,1.694041,0.599351,1.519610,0.663751,val
34,0.00060435,1.679418,0.607345,1.725242,0.569344,val
35,0.00055271,1.738507,0.576458,1.634210,0.604055,val
36,0.00050050,1.652181,0.618542,1.534419,0.633558,val
37,0.00044829,1.629369,0.616042,1.535586,0.657608,val
38,0.00039665,1.616411,0.622649,1.522433,0.645154,val
39,0.00034615,1.581322,0.638530,1.484296,0.679053,val
40,0.00029734,1.572793,0.645887,1.465553,0.649183,val
41,0.00025075,1.544739,0.647732,1.445471,0.669449,val
42,0.00020690,1.532027,0.659875,1.451093,0.663873,val
43,0.00016627,1.527365,0.659339,1.436596,0.680355,val
44,0.00012930,1.506431,0.658149,1.429148,0.669204,val
45,0.00009640,1.496544,0.674542,1.420055,0.688045,val
46,0.00006792,1.495858,0.673756,1.411552,0.678686,val
47,0.00004418,1.487361,0.674470,1.405250,0.683082,val
48,0.00002545,1.474306,0.678518,1.400045,0.687111,val
49,0.00001192,1.474720,0.673244,1.410738,0.685808,val
50,0.00000374,1.489053,0.673304,1.408217,0.687233,val
