epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000050,1.955117,0.507530,1.442865,0.737691,val
2,0.00005045,0.843851,0.929762,0.755686,0.962195,val
3,0.00010040,0.799218,0.945345,0.715976,0.962073,val
4,0.00015035,0.743401,0.961565,0.719548,0.968705,val
5,0.00020030,0.761702,0.955167,0.718762,0.963497,val
6,0.00025025,0.710105,0.969048,0.889964,0.916210,val
7,0.00030020,0.736914,0.959524,0.781199,0.949987,val
8,0.00035015,0.751448,0.958482,0.754572,0.952591,val
9,0.00040010,0.802364,0.939583,0.787174,0.938023,val
10,0.00045005,0.784944,0.943774,0.798824,0.947505,val
11,0.00050000,0.908397,0.903089,0.882071,0.902822,val
12,0.00049923,0.958119,0.884250,0.944650,0.889801,val
13,0.00049693,1.166226,0.816798,1.069016,0.867176,val
14,0.00049311,1.222302,0.798577,1.010262,0.859931,val
15,0.00048779,1.018265,0.860440,0.952284,0.871572,val
16,0.00048101,0.976999,0.875851,0.932432,0.890169,val
17,0.00047281,0.931157,0.895006,0.892993,0.899161,val
18,0.00046323,0.893495,0.904381,0.882898,0.911124,val
19,0.00045235,0.827396,0.932506,0.885617,0.903679,val
20,0.00044022,0.950176,0.890375,1.131838,0.810775,val
21,0.00042692,1.055117,0.841649,0.996974,0.863960,val
22,0.00041254,1.031753,0.851089,0.954796,0.876213,val
23,0.00039715,0.931758,0.889524,0.890396,0.903557,val
24,0.00038086,0.838088,0.924917,0.871192,0.906528,val
25,0.00036377,0.858152,0.914458,0.893963,0.899038,val
26,0.00034598,0.873040,0.909845,0.858569,0.906528,val
27,0.00032760,0.912802,0.898214,0.860498,0.914096,val
28,0.00030874,0.858752,0.915137,0.883931,0.903190,val
29,0.00028953,0.809036,0.935631,0.826317,0.919671,val
30,0.00027008,0.855045,0.915690,0.870995,0.906528,val
31,0.00025050,0.903907,0.895494,0.919969,0.904859,val
32,0.00023092,0.842332,0.922833,0.797214,0.947505,val
33,0.00021147,0.781512,0.942137,0.793338,0.943844,val
34,0.00019226,0.773476,0.947131,0.801465,0.930333,val
35,0.00017340,0.763218,0.951298,0.797941,0.925247,val
36,0.00015502,0.746519,0.955530,0.747383,0.955685,val
37,0.00013723,0.741099,0.958482,0.763561,0.940995,val
38,0.00012014,0.734648,0.957101,0.739056,0.951778,val
39,0.00010385,0.727301,0.962268,0.753303,0.946203,val
40,0.00008846,0.709699,0.971280,0.717500,0.973101,val
41,0.00007408,0.691041,0.974851,0.701025,0.970375,val
42,0.00006078,0.683521,0.978869,0.687237,0.979979,val
43,0.00004865,0.678653,0.980315,0.696093,0.977375,val
44,0.00003777,0.674856,0.982589,0.691274,0.978677,val
45,0.00002819,0.670434,0.983631,0.690890,0.978799,val
46,0.00001999,0.665768,0.986417,0.690436,0.974771,val
47,0.00001321,0.663447,0.987946,0.689163,0.976195,val
48,0.00000789,0.661969,0.988542,0.689036,0.976195,val
49,0.00000407,0.659936,0.989583,0.688597,0.977497,val
50,0.00000177,0.659050,0.990030,0.687529,0.977497,val
