epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.412341,0.314042,1.965467,0.467771,val
2,0.02008000,0.444755,0.875744,0.142454,0.960893,val
3,0.04006000,0.222632,0.932143,0.179120,0.959469,val
4,0.06004000,0.204464,0.945518,0.151685,0.959713,val
5,0.08002000,0.187576,0.948512,0.168714,0.955317,val
6,0.10000000,0.196819,0.947089,0.099686,0.970252,val
7,0.09987821,0.116513,0.966518,0.091441,0.968950,val
8,0.09951345,0.080937,0.976339,0.094275,0.972857,val
9,0.09890749,0.113298,0.968006,0.094232,0.970375,val
10,0.09806328,0.067332,0.978720,0.105560,0.977008,val
11,0.09698493,0.062697,0.980952,0.079429,0.972979,val
12,0.09567771,0.063139,0.979911,0.081114,0.970252,val
13,0.09414796,0.055456,0.982143,0.114823,0.970130,val
14,0.09240316,0.048200,0.984036,0.071771,0.978310,val
15,0.09045180,0.047934,0.985226,0.103706,0.964799,val
16,0.08830339,0.054729,0.982845,0.084718,0.972857,val
17,0.08596839,0.045435,0.986310,0.072749,0.975583,val
18,0.08345818,0.044039,0.986310,0.068670,0.975583,val
19,0.08078500,0.040744,0.987351,0.061470,0.978310,val
20,0.07796185,0.038395,0.988393,0.065635,0.976885,val
21,0.07500250,0.038828,0.988393,0.069517,0.974281,val
22,0.07192137,0.038095,0.988946,0.075510,0.974159,val
23,0.06873346,0.040049,0.987946,0.080062,0.970375,val
24,0.06545430,0.039040,0.988054,0.074687,0.978310,val
25,0.06209989,0.040388,0.988095,0.103248,0.971432,val
26,0.05868654,0.036991,0.989244,0.057918,0.978310,val
27,0.05523090,0.037065,0.989137,0.069203,0.976885,val
28,0.05174980,0.035056,0.989435,0.065157,0.976885,val
29,0.04826020,0.034923,0.989435,0.065939,0.976885,val
30,0.04477910,0.035115,0.989435,0.065295,0.976885,val
31,0.04132346,0.034572,0.989435,0.069323,0.975583,val
32,0.03791011,0.034190,0.989435,0.065112,0.976885,val
33,0.03455570,0.034586,0.989435,0.064487,0.976885,val
34,0.03127654,0.033584,0.989435,0.067819,0.975583,val
35,0.02808863,0.032680,0.989435,0.069240,0.975583,val
36,0.02500750,0.032671,0.989435,0.064823,0.975583,val
37,0.02204815,0.031992,0.989435,0.064454,0.975583,val
38,0.01922500,0.030912,0.989435,0.067379,0.975583,val
39,0.01655182,0.030710,0.989500,0.062328,0.975583,val
40,0.01404161,0.027546,0.989988,0.065147,0.975583,val
41,0.01170661,0.027440,0.990327,0.067476,0.976885,val
42,0.00955820,0.024622,0.990435,0.061276,0.971554,val
43,0.00760684,0.021536,0.991964,0.067968,0.974159,val
44,0.00586204,0.020562,0.991964,0.067313,0.972979,val
45,0.00433229,0.019372,0.993304,0.086519,0.978432,val
46,0.00302507,0.016847,0.993899,0.069418,0.974404,val
47,0.00194672,0.015935,0.995238,0.072902,0.972857,val
48,0.00110251,0.012604,0.996536,0.088772,0.972857,val
49,0.00049655,0.013197,0.994494,0.076177,0.972857,val
50,0.00013179,0.013975,0.995387,0.079534,0.970252,val
