epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.395010,0.322952,2.113322,0.378773,val
2,0.02008000,0.917989,0.780792,0.310131,0.922398,val
3,0.04006000,0.379711,0.900214,0.198327,0.939448,val
4,0.06004000,0.273023,0.930869,0.173340,0.951656,val
5,0.08002000,0.427683,0.903554,0.226020,0.945146,val
6,0.10000000,0.266482,0.924702,0.154524,0.965044,val
7,0.09987821,0.128955,0.964542,0.173551,0.951534,val
8,0.09951345,0.105215,0.968071,0.085086,0.975461,val
9,0.09890749,0.090299,0.973363,0.090841,0.974159,val
10,0.09806328,0.084830,0.975107,0.076606,0.975583,val
11,0.09698493,0.083509,0.973958,0.098921,0.970252,val
12,0.09567771,0.080721,0.975256,0.092617,0.974281,val
13,0.09414796,0.073791,0.977976,0.091325,0.974281,val
14,0.09240316,0.118756,0.965774,0.082885,0.977008,val
15,0.09045180,0.075874,0.977232,0.127115,0.965044,val
16,0.08830339,0.065914,0.980315,0.082403,0.972979,val
17,0.08596839,0.063821,0.982399,0.124637,0.967893,val
18,0.08345818,0.070479,0.978125,0.086000,0.977008,val
19,0.08078500,0.085447,0.974405,0.066457,0.974159,val
20,0.07796185,0.067622,0.980506,0.088142,0.970375,val
21,0.07500250,0.083878,0.975256,0.084880,0.972979,val
22,0.07192137,0.059486,0.982994,0.078439,0.972857,val
23,0.06873346,0.062428,0.981125,0.070422,0.972857,val
24,0.06545430,0.056582,0.983036,0.065533,0.978310,val
25,0.06209989,0.053194,0.984673,0.092426,0.976885,val
26,0.05868654,0.049920,0.985631,0.088552,0.974281,val
27,0.05523090,0.063540,0.981548,0.076059,0.976885,val
28,0.05174980,0.056327,0.983482,0.076785,0.975706,val
29,0.04826020,0.047759,0.985821,0.078829,0.970130,val
30,0.04477910,0.055582,0.983929,0.069590,0.974404,val
31,0.04132346,0.046703,0.986458,0.085774,0.972979,val
32,0.03791011,0.051848,0.985714,0.075574,0.978310,val
33,0.03455570,0.045575,0.987946,0.076285,0.974404,val
34,0.03127654,0.045766,0.986607,0.066541,0.978310,val
35,0.02808863,0.043203,0.987607,0.071042,0.978187,val
36,0.02500750,0.041139,0.988095,0.066650,0.979612,val
37,0.02204815,0.037914,0.989286,0.059147,0.978310,val
38,0.01922500,0.037028,0.989435,0.058531,0.978310,val
39,0.01655182,0.035947,0.989435,0.072278,0.979734,val
40,0.01404161,0.035855,0.989435,0.060701,0.978432,val
41,0.01170661,0.035581,0.989435,0.061734,0.979734,val
42,0.00955820,0.036013,0.989435,0.059812,0.981036,val
43,0.00760684,0.036009,0.989435,0.059397,0.978310,val
44,0.00586204,0.035802,0.989435,0.063024,0.979612,val
45,0.00433229,0.035412,0.989435,0.061000,0.979734,val
46,0.00302507,0.035916,0.989286,0.058759,0.979734,val
47,0.00194672,0.035487,0.989435,0.058413,0.979734,val
48,0.00110251,0.035319,0.989435,0.059844,0.978432,val
49,0.00049655,0.035191,0.989435,0.059926,0.979734,val
50,0.00013179,0.035645,0.989435,0.060009,0.979734,val
