epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.870922,0.336107,2.829200,0.429354,val
2,0.01004000,0.919711,0.742881,0.423047,0.907463,val
3,0.02003000,0.366812,0.891071,0.118447,0.959713,val
4,0.03002000,0.240304,0.926042,0.191310,0.941684,val
5,0.04001000,0.195006,0.940179,0.166621,0.950231,val
6,0.05000000,0.145669,0.955315,0.095376,0.966469,val
7,0.04993911,0.107096,0.967667,0.085524,0.970130,val
8,0.04975675,0.095137,0.970196,0.086493,0.968950,val
9,0.04945380,0.083064,0.974363,0.113794,0.968583,val
10,0.04903174,0.079444,0.976190,0.101037,0.968950,val
11,0.04849262,0.067551,0.980167,0.094581,0.971310,val
12,0.04783907,0.070605,0.977935,0.096328,0.974281,val
13,0.04707428,0.070540,0.979125,0.104856,0.960893,val
14,0.04620196,0.062329,0.980911,0.116040,0.962073,val
15,0.04522638,0.057924,0.983036,0.059831,0.978432,val
16,0.04415228,0.045705,0.986161,0.087851,0.971432,val
17,0.04298490,0.043285,0.987458,0.079645,0.971554,val
18,0.04172992,0.046599,0.985565,0.236950,0.936966,val
19,0.04039346,0.052390,0.984482,0.078341,0.975583,val
20,0.03898203,0.053071,0.983440,0.064359,0.975706,val
21,0.03750250,0.043600,0.986607,0.089217,0.974281,val
22,0.03596209,0.045797,0.986012,0.094351,0.973101,val
23,0.03436829,0.040035,0.987310,0.089980,0.972857,val
24,0.03272888,0.038848,0.988905,0.074174,0.977008,val
25,0.03105184,0.038469,0.988351,0.086701,0.975583,val
26,0.02934534,0.036986,0.988542,0.079139,0.977008,val
27,0.02761769,0.036925,0.988988,0.082849,0.977008,val
28,0.02587731,0.036970,0.988988,0.076053,0.978310,val
29,0.02413269,0.035488,0.989286,0.077926,0.977008,val
30,0.02239231,0.036181,0.989095,0.082305,0.976885,val
31,0.02066466,0.036142,0.988798,0.087361,0.975706,val
32,0.01895816,0.037279,0.989286,0.081981,0.975583,val
33,0.01728112,0.034619,0.989435,0.088159,0.975583,val
34,0.01564171,0.035547,0.989393,0.084364,0.977008,val
35,0.01404791,0.034466,0.989286,0.078103,0.978310,val
36,0.01250750,0.034685,0.989393,0.081867,0.977008,val
37,0.01102797,0.034698,0.989286,0.089703,0.977008,val
38,0.00961654,0.034646,0.989435,0.079125,0.977008,val
39,0.00828008,0.034205,0.989286,0.081009,0.977008,val
40,0.00702510,0.034557,0.989435,0.080863,0.977008,val
41,0.00585772,0.034579,0.989393,0.079505,0.977008,val
42,0.00478362,0.034469,0.989435,0.075311,0.978310,val
43,0.00380804,0.034265,0.989583,0.077691,0.977008,val
44,0.00293572,0.034209,0.989435,0.074095,0.978310,val
45,0.00217093,0.034017,0.989435,0.079441,0.978310,val
46,0.00151738,0.034385,0.989244,0.077971,0.977008,val
47,0.00097826,0.034316,0.989286,0.077440,0.977008,val
48,0.00055620,0.033949,0.989583,0.078452,0.977008,val
49,0.00025325,0.033673,0.989435,0.077859,0.977008,val
50,0.00007089,0.033627,0.989435,0.076176,0.977008,val
