epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,3.207371,0.053399,3.218227,0.014568,val
2,0.00200800,2.126797,0.479054,3.374835,0.157808,val
3,0.00400600,1.297502,0.594988,1.591275,0.602831,val
4,0.00600400,0.661820,0.796286,1.756203,0.716446,val
5,0.00800200,0.286088,0.913863,27.053515,0.292869,val
6,0.01000000,0.154096,0.955506,2.569136,0.578459,val
7,0.00998783,0.109724,0.964798,2.539701,0.670139,val
8,0.00995139,0.084312,0.972917,0.179653,0.944901,val
9,0.00989085,0.061261,0.982589,0.063693,0.985187,val
10,0.00980650,0.050540,0.985417,0.029272,0.991820,val
11,0.00969876,0.045432,0.987202,0.045945,0.987914,val
12,0.00956816,0.037110,0.987161,0.034603,0.988036,val
13,0.00941532,0.026662,0.991220,0.027827,0.990396,val
14,0.00924100,0.018780,0.995089,0.040785,0.986612,val
15,0.00904604,0.019514,0.993857,0.033203,0.991820,val
16,0.00883139,0.018914,0.994643,0.050502,0.989094,val
17,0.00859810,0.016502,0.994940,0.047135,0.985310,val
18,0.00834731,0.010153,0.997768,0.044051,0.988036,val
19,0.00808023,0.013509,0.995387,0.039141,0.987792,val
20,0.00779817,0.008054,0.997470,0.040883,0.983763,val
21,0.00750250,0.009067,0.996875,0.029935,0.993122,val
22,0.00719466,0.015883,0.995685,0.034153,0.991820,val
23,0.00687616,0.007496,0.997917,0.043482,0.991698,val
24,0.00654854,0.002680,0.999554,0.055241,0.993000,val
25,0.00621340,0.004190,0.998512,0.060171,0.988971,val
26,0.00587237,0.003475,0.999405,0.046896,0.993000,val
27,0.00552712,0.003663,0.999107,0.058117,0.987547,val
28,0.00517932,0.004479,0.998958,0.041163,0.990518,val
29,0.00483068,0.003804,0.999107,0.041363,0.991698,val
30,0.00448288,0.002228,0.999256,0.050353,0.991698,val
31,0.00413763,0.001886,0.999851,0.048949,0.990273,val
32,0.00379660,0.000773,1.000000,0.045914,0.990273,val
33,0.00346146,0.001093,1.000000,0.049277,0.991698,val
34,0.00313384,0.000987,0.999851,0.053413,0.991698,val
35,0.00281534,0.000771,0.999851,0.045263,0.993000,val
36,0.00250750,0.000779,1.000000,0.045364,0.991698,val
37,0.00221183,0.000659,0.999851,0.044729,0.991698,val
38,0.00192977,0.000707,1.000000,0.042727,0.991698,val
39,0.00166269,0.000703,1.000000,0.042944,0.991698,val
40,0.00141190,0.000657,1.000000,0.043665,0.991698,val
41,0.00117861,0.000489,1.000000,0.042446,0.991698,val
42,0.00096396,0.000712,0.999851,0.042633,0.993000,val
43,0.00076900,0.001170,0.999810,0.041083,0.993000,val
44,0.00059468,0.000789,0.999851,0.042317,0.991698,val
45,0.00044184,0.000959,0.999851,0.040839,0.993000,val
46,0.00031124,0.001103,0.999851,0.040991,0.991698,val
47,0.00020350,0.000648,0.999851,0.041266,0.991698,val
48,0.00011915,0.000690,1.000000,0.041462,0.991698,val
49,0.00005861,0.000590,1.000000,0.041467,0.991698,val
50,0.00002217,0.000612,1.000000,0.041072,0.991698,val
