epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.184603,0.452196,1.847680,0.545128,val
2,0.02008000,0.649248,0.832399,0.190395,0.939448,val
3,0.04006000,0.281050,0.919411,0.130241,0.959836,val
4,0.06004000,0.190424,0.946244,1.623248,0.671441,val
5,0.08002000,0.546033,0.887417,0.193781,0.941117,val
6,0.10000000,0.130133,0.962054,0.103492,0.971677,val
7,0.09987821,0.116222,0.963839,0.143394,0.950354,val
8,0.09951345,0.113268,0.965393,0.086352,0.972857,val
9,0.09890749,0.089349,0.972024,0.107165,0.964799,val
10,0.09806328,0.086642,0.972685,0.095422,0.968828,val
11,0.09698493,0.086399,0.972321,0.082181,0.971432,val
12,0.09567771,0.080153,0.975214,0.087070,0.972857,val
13,0.09414796,0.075479,0.976893,0.139818,0.952958,val
14,0.09240316,0.092183,0.972321,0.093922,0.971554,val
15,0.09045180,0.074698,0.978274,0.093186,0.972979,val
16,0.08830339,0.069236,0.979464,0.080381,0.971554,val
17,0.08596839,0.060522,0.983482,0.085475,0.966346,val
18,0.08345818,0.073848,0.977530,0.099267,0.968705,val
19,0.08078500,0.065243,0.980506,0.086617,0.967526,val
20,0.07796185,0.062023,0.981399,0.078591,0.975583,val
21,0.07500250,0.058832,0.982548,0.074393,0.972734,val
22,0.07192137,0.066396,0.979274,0.085322,0.971554,val
23,0.06873346,0.069894,0.979893,0.108974,0.956987,val
24,0.06545430,0.061888,0.981845,0.076159,0.972734,val
25,0.06209989,0.055399,0.984226,0.093700,0.974159,val
26,0.05868654,0.051967,0.985673,0.081207,0.976885,val
27,0.05523090,0.050550,0.984673,0.082895,0.972857,val
28,0.05174980,0.048548,0.985268,0.097744,0.975583,val
29,0.04826020,0.050194,0.985821,0.073094,0.977008,val
30,0.04477910,0.045399,0.987798,0.114767,0.970008,val
31,0.04132346,0.045555,0.986458,0.063766,0.978310,val
32,0.03791011,0.043772,0.987946,0.078928,0.974281,val
33,0.03455570,0.042030,0.988244,0.079191,0.975583,val
34,0.03127654,0.040073,0.988393,0.082033,0.971677,val
35,0.02808863,0.040901,0.988351,0.081088,0.975583,val
36,0.02500750,0.041611,0.988393,0.081850,0.974281,val
37,0.02204815,0.044619,0.986905,0.084467,0.971432,val
38,0.01922500,0.037674,0.989137,0.072818,0.974281,val
39,0.01655182,0.036074,0.989435,0.087847,0.974281,val
40,0.01404161,0.035906,0.989435,0.073349,0.975706,val
41,0.01170661,0.035619,0.989435,0.074555,0.975706,val
42,0.00955820,0.035740,0.989435,0.072866,0.974281,val
43,0.00760684,0.035609,0.989435,0.069658,0.975706,val
44,0.00586204,0.035575,0.989435,0.075131,0.975706,val
45,0.00433229,0.035355,0.989435,0.071676,0.975706,val
46,0.00302507,0.035408,0.989435,0.069389,0.975706,val
47,0.00194672,0.035288,0.989435,0.068345,0.975706,val
48,0.00110251,0.035255,0.989435,0.071673,0.975706,val
49,0.00049655,0.035160,0.989435,0.071082,0.975706,val
50,0.00013179,0.035680,0.989435,0.070986,0.975706,val
