epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,1.494692,0.622120,0.777569,0.773627,val
2,0.02008000,0.096042,0.969880,0.079922,0.976991,val
3,0.04006000,0.061085,0.981530,0.064426,0.979240,val
4,0.06004000,0.061472,0.981737,0.066772,0.977627,val
5,0.08002000,0.051086,0.984910,0.094159,0.974401,val
6,0.10000000,0.056382,0.983480,0.064108,0.980853,val
7,0.09890749,0.052901,0.984672,0.080073,0.979877,val
8,0.09567771,0.052027,0.984971,0.302666,0.835389,val
9,0.09045180,0.051240,0.985089,0.072671,0.977287,val
10,0.08345818,0.051530,0.985150,0.120068,0.971087,val
11,0.07500250,0.046981,0.986340,0.138773,0.972789,val
12,0.06545430,0.043888,0.987323,0.104109,0.980513,val
13,0.05523090,0.045408,0.986594,0.090248,0.976651,val
14,0.04477910,0.038365,0.988604,0.082138,0.978264,val
15,0.03455570,0.041506,0.987829,0.086839,0.976947,val
16,0.02500750,0.037884,0.988559,0.093254,0.978264,val
17,0.01655182,0.032333,0.990244,0.090938,0.984123,val
18,0.00955820,0.003444,0.999732,0.048004,0.988029,val
19,0.00433229,0.001675,1.000000,0.046971,0.987393,val
20,0.00110251,0.001682,1.000000,0.048418,0.988029,val
