epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,1.610127,0.595742,0.935946,0.746283,val
2,0.01004000,0.112142,0.966158,0.066140,0.979240,val
3,0.02003000,0.059559,0.981456,0.059412,0.985055,val
4,0.03002000,0.055833,0.983344,0.075089,0.985692,val
5,0.04001000,0.046637,0.985772,0.084798,0.980853,val
6,0.05000000,0.047061,0.985817,0.097367,0.975970,val
7,0.04945380,0.040924,0.987560,0.087656,0.983102,val
8,0.04783907,0.036284,0.988737,0.077744,0.983102,val
9,0.04522638,0.035743,0.988829,0.074148,0.983102,val
10,0.04172992,0.036333,0.988737,0.086495,0.982126,val
11,0.03750250,0.043888,0.986550,0.073349,0.985692,val
12,0.03272888,0.036042,0.988811,0.074467,0.981489,val
13,0.02761769,0.030026,0.990482,0.039052,0.992868,val
14,0.02239231,0.001468,0.999777,0.043226,0.990278,val
15,0.01728112,0.001002,0.999866,0.054793,0.989642,val
16,0.01250750,0.000750,0.999926,0.053600,0.991255,val
17,0.00828008,0.000602,0.999955,0.047372,0.991255,val
18,0.00478362,0.000594,0.999985,0.046565,0.991255,val
19,0.00217093,0.000576,0.999985,0.045986,0.991255,val
20,0.00055620,0.000583,0.999985,0.046180,0.991255,val
