epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.618655,0.354834,2.069262,0.489667,val
2,0.01004000,0.406077,0.896590,0.131405,0.967566,val
3,0.02003000,0.161708,0.952724,0.193082,0.955507,val
4,0.03002000,0.134455,0.958778,0.148868,0.949691,val
5,0.04001000,0.215985,0.939370,0.102100,0.965020,val
6,0.05000000,0.146050,0.958645,0.149528,0.964384,val
7,0.04998633,0.122305,0.964922,0.083938,0.973425,val
8,0.04994535,0.097704,0.969240,0.240119,0.941923,val
9,0.04987710,0.154981,0.956775,0.082556,0.976947,val
10,0.04978165,0.097164,0.969462,0.081783,0.969859,val
11,0.04965910,0.109043,0.969774,0.091178,0.963703,val
12,0.04950960,0.069179,0.976941,0.065646,0.982806,val
13,0.04933330,0.088850,0.974136,0.065775,0.977287,val
14,0.04913040,0.070246,0.977564,0.075192,0.971812,val
15,0.04890111,0.060553,0.980101,0.075526,0.971812,val
16,0.04864570,0.054460,0.982505,0.061569,0.976947,val
17,0.04836444,0.081343,0.978365,0.074147,0.982466,val
18,0.04805763,0.104765,0.970753,0.069259,0.976651,val
19,0.04772562,0.068287,0.978276,0.062864,0.980853,val
20,0.04736876,0.055389,0.981214,0.063457,0.981489,val
21,0.04698745,0.070261,0.978944,0.103486,0.967950,val
22,0.04658210,0.071734,0.976407,0.061972,0.983443,val
23,0.04615315,0.059824,0.980146,0.089196,0.984419,val
24,0.04570108,0.052109,0.984108,0.073626,0.980853,val
25,0.04522638,0.045609,0.985844,0.071732,0.984079,val
26,0.04472957,0.050598,0.982060,0.058306,0.981489,val
27,0.04421119,0.058148,0.981838,0.074083,0.980513,val
28,0.04367180,0.048522,0.984642,0.073962,0.981830,val
29,0.04311201,0.045624,0.985443,0.058934,0.984079,val
30,0.04253241,0.043650,0.986245,0.054619,0.984079,val
31,0.04193365,0.042261,0.986556,0.061093,0.984079,val
32,0.04131638,0.044188,0.986512,0.065815,0.981489,val
33,0.04068127,0.037851,0.988248,0.064962,0.983102,val
34,0.04002902,0.039228,0.987981,0.061649,0.982126,val
35,0.03936034,0.042228,0.986823,0.064705,0.980513,val
36,0.03867597,0.065845,0.982416,0.081966,0.976651,val
37,0.03797664,0.063252,0.980992,0.085125,0.980217,val
38,0.03726314,0.040729,0.987981,0.063736,0.979240,val
39,0.03653622,0.042469,0.986690,0.064130,0.982466,val
40,0.03579670,0.045658,0.985978,0.055416,0.984079,val
41,0.03504538,0.043733,0.986645,0.061518,0.981489,val
42,0.03428308,0.040713,0.987847,0.058409,0.981489,val
43,0.03351063,0.047977,0.986556,0.064901,0.981489,val
44,0.03272888,0.045773,0.987313,0.093139,0.983102,val
45,0.03193869,0.044329,0.985621,0.099120,0.972789,val
46,0.03114091,0.044989,0.986512,0.064788,0.984079,val
47,0.03033642,0.037631,0.988782,0.068393,0.981489,val
48,0.02952611,0.037499,0.988649,0.073217,0.983102,val
49,0.02871085,0.037905,0.988381,0.064672,0.983102,val
50,0.02789154,0.041456,0.986957,0.059300,0.982126,val
51,0.02706907,0.042520,0.986245,0.062566,0.982466,val
52,0.02624435,0.039238,0.987358,0.065637,0.983102,val
53,0.02541827,0.042347,0.988381,0.064062,0.983102,val
54,0.02459173,0.038899,0.988515,0.064083,0.982126,val
55,0.02376565,0.037236,0.988782,0.066558,0.982126,val
56,0.02294093,0.036787,0.988782,0.068458,0.983102,val
57,0.02211846,0.036154,0.988782,0.067074,0.982126,val
58,0.02129915,0.037183,0.988649,0.064917,0.982126,val
