epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,1.611593,0.595893,0.938833,0.755072,val
2,0.01004000,0.113230,0.965950,0.103973,0.978264,val
3,0.02003000,0.064498,0.980026,0.071880,0.979877,val
4,0.03002000,0.056223,0.983020,0.075937,0.980513,val
5,0.04001000,0.048256,0.985147,0.078370,0.983102,val
6,0.05000000,0.044353,0.986654,0.068564,0.984079,val
7,0.04945380,0.040527,0.987771,0.078702,0.981786,val
8,0.04783907,0.042576,0.986982,0.066660,0.982126,val
9,0.04522638,0.042290,0.987131,0.070596,0.980853,val
10,0.04172992,0.036483,0.988680,0.067689,0.983102,val
11,0.03750250,0.036011,0.988739,0.068015,0.983102,val
12,0.03272888,0.034961,0.989261,0.078230,0.981489,val
13,0.02761769,0.033682,0.989186,0.080571,0.983102,val
14,0.02239231,0.003178,0.999196,0.038181,0.992868,val
15,0.01728112,0.001747,0.999717,0.043230,0.991255,val
16,0.01250750,0.000631,1.000000,0.038668,0.992868,val
17,0.00828008,0.000567,1.000000,0.042533,0.991255,val
18,0.00478362,0.000553,0.999985,0.041904,0.991255,val
19,0.00217093,0.000528,0.999985,0.043182,0.991255,val
20,0.00055620,0.000528,1.000000,0.043509,0.991255,val
