epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,1.807298,0.550967,1.194213,0.729681,val
2,0.02008000,0.100454,0.969792,0.066920,0.980853,val
3,0.04006000,0.057726,0.982716,0.070965,0.978900,val
4,0.06004000,0.045528,0.986280,0.093391,0.976651,val
5,0.08002000,0.066063,0.981185,0.081474,0.978900,val
6,0.10000000,0.042228,0.987232,0.084437,0.982466,val
7,0.09997267,0.042854,0.987319,0.091920,0.972448,val
8,0.09989069,0.043503,0.986979,0.089977,0.981489,val
9,0.09975417,0.045691,0.986277,0.191781,0.861586,val
10,0.09956325,0.042887,0.987946,0.842278,0.737393,val
11,0.09931813,0.046045,0.986739,0.077716,0.979877,val
12,0.09901910,0.039898,0.988006,0.088643,0.970199,val
13,0.09866646,0.046578,0.986414,0.246132,0.858953,val
14,0.09826062,0.032921,0.991161,0.221658,0.855431,val
15,0.09780201,0.003800,0.999479,0.939349,0.856067,val
16,0.09729113,0.008713,0.998199,0.566931,0.861246,val
17,0.09672855,0.001759,1.000000,0.071150,0.991255,val
18,0.09611488,0.034293,0.991109,0.122038,0.954618,val
19,0.09545078,0.052900,0.984479,0.070903,0.980853,val
20,0.09473699,0.036654,0.989152,0.071284,0.981149,val
21,0.09397429,0.042446,0.987411,0.074619,0.980217,val
22,0.09316351,0.043947,0.987128,0.090763,0.976014,val
23,0.09230553,0.041443,0.987708,0.300635,0.858657,val
24,0.09140130,0.021070,0.994281,0.531497,0.852161,val
25,0.09045180,0.005814,0.998869,0.047348,0.988029,val
26,0.08945808,0.001859,0.999985,0.034282,0.988029,val
27,0.08842121,0.002353,0.999896,3.290133,0.284381,val
28,0.08734234,0.058948,0.983388,0.104121,0.973425,val
29,0.08622264,0.041135,0.987664,0.115898,0.976947,val
30,0.08506333,0.045077,0.986798,0.088601,0.977583,val
31,0.08386569,0.032850,0.990432,0.505281,0.849956,val
32,0.08263103,0.019949,0.995191,0.085680,0.975334,val
33,0.08136068,0.024559,0.993065,0.047990,0.989302,val
34,0.08005605,0.002395,0.999807,0.062498,0.986076,val
35,0.07871856,0.034202,0.990727,0.100485,0.977923,val
36,0.07734967,0.040687,0.988006,0.088400,0.975334,val
37,0.07595088,0.040118,0.987971,0.554767,0.854454,val
38,0.07452372,0.042085,0.987768,0.095192,0.977923,val
39,0.07306975,0.043674,0.986947,0.114288,0.968838,val
40,0.07159056,0.053751,0.985399,0.168763,0.955166,val
41,0.07008776,0.039004,0.988289,0.099836,0.977287,val
42,0.06856301,0.017684,0.995283,0.067888,0.984167,val
43,0.06701796,0.003671,0.999330,0.058226,0.986416,val
44,0.06545430,0.001690,1.000000,0.054129,0.987053,val
45,0.06387376,0.001971,1.000000,0.059064,0.988029,val
46,0.06227805,0.002145,1.000000,0.052672,0.988029,val
47,0.06066892,0.010513,0.998046,0.568720,0.805626,val
48,0.05904812,0.009241,0.998065,0.043200,0.993845,val
49,0.05741744,0.003570,0.999435,0.075223,0.985100,val
50,0.05577865,0.003981,0.999509,0.081941,0.984167,val
51,0.05413355,0.001800,1.000000,0.045757,0.986712,val
52,0.05248394,0.001835,1.000000,0.048332,0.984463,val
53,0.05083161,0.001855,1.000000,0.047279,0.989642,val
54,0.04917839,0.001828,1.000000,0.049289,0.989006,val
55,0.04752606,0.100514,0.970387,0.094079,0.973085,val
56,0.04587645,0.044389,0.986756,0.074828,0.981489,val
57,0.04423135,0.040516,0.987989,0.091983,0.979536,val
58,0.04259256,0.040186,0.988006,0.098661,0.976310,val
59,0.04096188,0.040201,0.988051,0.100939,0.978264,val
60,0.03934108,0.037136,0.988750,0.091002,0.978264,val
61,0.03773195,0.042217,0.987604,0.101769,0.972744,val
