epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.442850,0.333764,2.043253,0.462040,val
2,0.02008000,0.472438,0.879342,0.214623,0.932082,val
3,0.04006000,0.216953,0.942220,0.337419,0.902180,val
4,0.06004000,0.169997,0.954327,7.470844,0.523072,val
5,0.08002000,0.222837,0.941930,0.142940,0.955299,val
6,0.10000000,0.128970,0.961027,0.162124,0.960433,val
7,0.09997267,0.086499,0.973424,0.093854,0.965316,val
8,0.09989069,0.069665,0.977297,0.080884,0.977287,val
9,0.09975417,0.068114,0.978655,0.076629,0.974401,val
10,0.09956325,0.063970,0.979300,0.088648,0.978900,val
11,0.09931813,0.060810,0.981059,0.065478,0.979877,val
12,0.09901910,0.058156,0.983196,0.074669,0.979240,val
13,0.09866646,0.055608,0.982639,0.072134,0.976651,val
14,0.09826062,0.053663,0.983440,0.094960,0.969563,val
15,0.09780201,0.059030,0.981838,0.087999,0.980513,val
16,0.09729113,0.053374,0.983997,0.063611,0.982466,val
17,0.09672855,0.052145,0.983841,0.190295,0.954870,val
18,0.09611488,0.054037,0.983463,0.120729,0.960137,val
19,0.09545078,0.055654,0.983974,0.079387,0.980853,val
20,0.09473699,0.050382,0.984909,0.077844,0.980217,val
21,0.09397429,0.046898,0.985844,0.085869,0.977923,val
22,0.09316351,0.052115,0.984642,0.074114,0.980513,val
23,0.09230553,0.054728,0.983997,0.065215,0.977923,val
24,0.09140130,0.064906,0.981994,0.087899,0.977287,val
25,0.09045180,0.060908,0.981750,0.108406,0.969563,val
26,0.08945808,0.057489,0.982795,0.067851,0.980513,val
27,0.08842121,0.047521,0.985710,0.060614,0.982466,val
28,0.08734234,0.051596,0.985310,0.057978,0.982126,val
29,0.08622264,0.052381,0.984509,0.082164,0.980853,val
30,0.08506333,0.048245,0.985756,0.074027,0.976947,val
31,0.08386569,0.050853,0.985844,0.067941,0.978900,val
32,0.08263103,0.045589,0.986691,0.073234,0.980217,val
33,0.08136068,0.046827,0.985844,0.082510,0.979240,val
34,0.08005605,0.041130,0.987580,0.076393,0.975038,val
