epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,1.475269,0.626399,0.756298,0.783392,val
2,0.02008000,0.097765,0.969805,0.069779,0.981830,val
3,0.04006000,0.059285,0.982126,0.069533,0.975970,val
4,0.06004000,0.064062,0.981470,0.090575,0.970835,val
5,0.08002000,0.050723,0.984879,0.096887,0.971428,val
6,0.10000000,0.056394,0.983377,0.085452,0.971812,val
7,0.09997267,0.052104,0.984986,0.083206,0.981149,val
8,0.09989069,0.052822,0.984613,0.100767,0.967906,val
9,0.09975417,0.055635,0.983866,0.084866,0.975334,val
10,0.09956325,0.052398,0.984703,0.087692,0.973721,val
11,0.09931813,0.053849,0.984435,0.091616,0.979240,val
12,0.09901910,0.050620,0.985015,0.381171,0.858487,val
13,0.09866646,0.053054,0.984582,0.121193,0.968838,val
14,0.09826062,0.052147,0.984850,0.102169,0.970495,val
15,0.09780201,0.052809,0.984880,0.083097,0.977287,val
16,0.09729113,0.050998,0.985475,0.101747,0.976651,val
17,0.09672855,0.052322,0.984971,0.090752,0.977923,val
18,0.09611488,0.048269,0.985924,0.079276,0.980217,val
19,0.09545078,0.053658,0.984852,0.083853,0.980217,val
20,0.09473699,0.049954,0.985471,0.078542,0.981830,val
21,0.09397429,0.051491,0.984925,0.097404,0.975674,val
22,0.09316351,0.048204,0.986177,0.094993,0.972108,val
23,0.09230553,0.051551,0.985001,0.138336,0.969815,val
24,0.09140130,0.048599,0.986072,0.128073,0.976651,val
25,0.09045180,0.049403,0.985536,0.134466,0.963703,val
26,0.08945808,0.051805,0.984822,0.075763,0.976947,val
27,0.08842121,0.049372,0.985727,0.127008,0.968542,val
28,0.08734234,0.049232,0.985804,0.108822,0.968246,val
29,0.08622264,0.048835,0.985730,0.086008,0.979877,val
30,0.08506333,0.051359,0.985254,0.105915,0.976014,val
31,0.08386569,0.045471,0.986860,0.113326,0.971472,val
32,0.08263103,0.050071,0.985430,0.077536,0.980513,val
33,0.08136068,0.049598,0.985624,0.085216,0.977287,val
34,0.08005605,0.045538,0.986922,0.131196,0.970495,val
35,0.07871856,0.054664,0.983970,0.081345,0.976310,val
36,0.07734967,0.047490,0.986116,0.137225,0.972108,val
37,0.07595088,0.047063,0.986341,0.084030,0.975674,val
38,0.07452372,0.044696,0.987201,0.138839,0.970451,val
39,0.07306975,0.051830,0.984837,0.112499,0.976014,val
40,0.07159056,0.044009,0.987294,0.118018,0.972108,val
41,0.07008776,0.046318,0.986504,0.105480,0.973765,val
42,0.06856301,0.045613,0.986609,0.088262,0.979240,val
43,0.06701796,0.046360,0.986814,0.134211,0.951777,val
44,0.06545430,0.050317,0.985208,0.095016,0.979877,val
45,0.06387376,0.042070,0.987816,0.077587,0.980853,val
46,0.06227805,0.048815,0.985536,0.074006,0.978604,val
47,0.06066892,0.047825,0.985908,0.087461,0.979536,val
48,0.05904812,0.030131,0.991389,0.083351,0.976991,val
49,0.05741744,0.012615,0.996961,0.052436,0.988666,val
50,0.05577865,0.006759,0.998600,0.065909,0.990619,val
51,0.05413355,0.015247,0.996649,0.092674,0.975762,val
52,0.05248394,0.005039,0.999091,0.061239,0.989982,val
53,0.05083161,0.005964,0.999151,0.065586,0.986416,val
54,0.04917839,0.011042,0.997542,0.047223,0.986712,val
55,0.04752606,0.002314,0.999836,0.049898,0.987053,val
56,0.04587645,0.010996,0.997676,0.061624,0.978988,val
57,0.04423135,0.008577,0.998093,0.046520,0.989006,val
58,0.04259256,0.001814,0.999985,0.054809,0.988029,val
59,0.04096188,0.002135,1.000000,0.285201,0.934495,val
60,0.03934108,0.014348,0.996649,0.051673,0.989006,val
61,0.03773195,0.008069,0.998317,0.052858,0.990619,val
62,0.03613624,0.002064,0.999911,0.063805,0.987053,val
63,0.03455570,0.001914,1.000000,0.060054,0.985440,val
64,0.03299204,0.013192,0.997393,0.067785,0.984167,val
65,0.03144699,0.004652,0.999345,0.074098,0.987053,val
66,0.02992224,0.001656,1.000000,0.061443,0.988029,val
67,0.02841944,0.001893,0.999985,0.056552,0.988029,val
68,0.02694025,0.010032,0.997915,0.052757,0.991595,val
69,0.02548628,0.004903,0.999285,0.038547,0.992232,val
70,0.02405912,0.004199,0.999374,0.056961,0.988029,val
71,0.02266033,0.002145,0.999896,0.048895,0.988029,val
72,0.02129144,0.001821,1.000000,0.054365,0.992232,val
73,0.01995395,0.002095,0.999985,0.057857,0.990619,val
74,0.01864932,0.001804,1.000000,0.048650,0.990619,val
75,0.01737897,0.001872,1.000000,0.048576,0.991255,val
76,0.01614431,0.009984,0.998332,0.061018,0.982850,val
77,0.01494667,0.004670,0.999255,0.055854,0.988666,val
