epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.765676,0.281893,2.299811,0.416142,val,0.1
2,0.02008000,0.932009,0.783108,0.198915,0.946465,val,0.1
3,0.04006000,0.169894,0.951362,0.208978,0.943492,val,0.1
4,0.06004000,0.135393,0.958115,0.144001,0.948078,val,0.1
5,0.08002000,0.110453,0.967868,0.097973,0.968202,val,0.1
6,0.10000000,0.112046,0.968001,0.094319,0.962090,val,0.1
7,0.09997267,0.101031,0.968890,0.163312,0.959161,val,0.1
8,0.09989069,0.093934,0.970120,0.113209,0.972404,val,0.1
9,0.09975417,0.073359,0.977138,0.082241,0.976947,val,0.1
10,0.09956325,0.061585,0.979037,0.083174,0.981830,val,0.1
11,0.09931813,0.055111,0.982612,0.090056,0.980513,val,0.1
12,0.09901910,0.052922,0.983316,0.066492,0.980853,val,0.1
13,0.09866646,0.049945,0.984507,0.058976,0.982466,val,0.1
14,0.09826062,0.046123,0.986009,0.068477,0.981149,val,0.1
15,0.09780201,0.044532,0.986407,0.074898,0.980853,val,0.1
16,0.09729113,0.054727,0.982964,0.070303,0.982466,val,0.1
17,0.09672855,0.053112,0.982654,0.067763,0.982466,val,0.1
18,0.09611488,0.054053,0.984201,0.074285,0.980217,val,0.1
19,0.09545078,0.045406,0.986891,0.070229,0.981489,val,0.1
20,0.09473699,0.040820,0.987334,0.069140,0.983443,val,0.1
21,0.09397429,0.039807,0.987553,0.076461,0.980513,val,0.1
22,0.09316351,0.040370,0.988480,0.068768,0.982466,val,0.1
23,0.09230553,0.038413,0.988745,0.067940,0.982466,val,0.1
24,0.09140130,0.036271,0.988877,0.074840,0.981489,val,0.1
25,0.09045180,0.036720,0.988877,0.072770,0.982466,val,0.1
26,0.08945808,0.038898,0.988612,0.077553,0.981489,val,0.1
27,0.08842121,0.050637,0.985082,0.162876,0.961618,val,0.1
28,0.08734234,0.074826,0.977141,0.316600,0.912834,val,0.1
29,0.08622264,0.069426,0.980270,0.092388,0.977287,val,0.1
30,0.08506333,0.055347,0.983978,0.075680,0.982126,val,0.1
31,0.08386569,0.050748,0.983804,0.078403,0.979877,val,0.1
32,0.08263103,0.051873,0.985567,0.074636,0.981489,val,0.1
33,0.08136068,0.040376,0.988083,0.068499,0.983443,val,0.1
34,0.08005605,0.038465,0.988612,0.081264,0.981489,val,0.1
35,0.07871856,0.036876,0.988612,0.068774,0.980853,val,0.1
36,0.07734967,0.037933,0.988215,0.065041,0.978264,val,0.1
37,0.07595088,0.036867,0.988877,0.076254,0.981489,val,0.1
38,0.07452372,0.037941,0.988877,0.073603,0.981489,val,0.1
39,0.07306975,0.036555,0.988745,0.069618,0.981830,val,0.1
40,0.07159056,0.037746,0.988393,0.076580,0.981489,val,0.1
41,0.07008776,0.037384,0.988877,0.068593,0.982466,val,0.1
42,0.06856301,0.038423,0.988525,0.079491,0.982466,val,0.1
43,0.06701796,0.037228,0.988745,0.082247,0.981489,val,0.1
44,0.06545430,0.037228,0.988877,0.080661,0.983443,val,0.1
45,0.06387376,0.036209,0.988877,0.070915,0.982466,val,0.1
46,0.06227805,0.037712,0.988877,0.072782,0.981489,val,0.1
47,0.06066892,0.036538,0.988877,0.073349,0.981489,val,0.1
48,0.05904812,0.036554,0.988525,0.077945,0.981489,val,0.1
49,0.05741744,0.036616,0.988877,0.078713,0.982466,val,0.1
50,0.05577865,0.036621,0.988877,0.074313,0.982466,val,0.1
51,0.05413355,0.037346,0.988525,0.074361,0.981489,val,0.1
52,0.05248394,0.036789,0.988877,0.074787,0.982466,val,0.1
53,0.05083161,0.037453,0.988877,0.073260,0.983443,val,0.1
54,0.04917839,0.037465,0.988173,0.071753,0.982466,val,0.1
55,0.04752606,0.036976,0.988525,0.077855,0.982466,val,0.1
