epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.442550,0.334188,2.043423,0.470829,val
2,0.02008000,0.444773,0.885241,0.137192,0.948891,val
3,0.04006000,0.219276,0.939816,0.189212,0.936404,val
4,0.06004000,0.125320,0.962096,0.140658,0.954618,val
5,0.08002000,0.092686,0.969441,0.158041,0.945785,val
6,0.10000000,0.095756,0.969975,0.128621,0.958865,val
7,0.09997267,0.075303,0.976362,0.126045,0.958436,val
8,0.09989069,0.066260,0.979300,0.077046,0.979240,val
9,0.09975417,0.074922,0.976896,0.073109,0.981830,val
10,0.09956325,0.059695,0.982505,0.083047,0.979536,val
11,0.09931813,0.062609,0.980792,0.071962,0.981489,val
12,0.09901910,0.055722,0.983730,0.074962,0.980217,val
13,0.09866646,0.054619,0.983307,0.073836,0.978264,val
14,0.09826062,0.052091,0.984375,0.082834,0.973425,val
15,0.09780201,0.076431,0.977163,0.103067,0.973677,val
16,0.09729113,0.053992,0.983330,0.072830,0.979877,val
17,0.09672855,0.045101,0.985978,0.075838,0.979877,val
18,0.09611488,0.051660,0.983196,0.107708,0.965612,val
19,0.09545078,0.052621,0.985043,0.084427,0.979877,val
20,0.09473699,0.048647,0.985577,0.078289,0.977923,val
21,0.09397429,0.043585,0.986802,0.079111,0.976991,val
22,0.09316351,0.063147,0.982105,0.069571,0.981489,val
23,0.09230553,0.051802,0.984287,0.066621,0.980513,val
24,0.09140130,0.058044,0.982772,0.069639,0.979877,val
25,0.09045180,0.047651,0.985756,0.145540,0.949691,val
26,0.08945808,0.057693,0.982528,0.069295,0.978900,val
27,0.08842121,0.049251,0.985443,0.074171,0.974698,val
28,0.08734234,0.051216,0.985443,0.066322,0.975674,val
29,0.08622264,0.041346,0.987981,0.068308,0.981489,val
30,0.08506333,0.039889,0.988404,0.064508,0.981489,val
31,0.08386569,0.038715,0.988649,0.064763,0.981489,val
32,0.08263103,0.044598,0.986958,0.075722,0.981149,val
33,0.08136068,0.049258,0.986245,0.079256,0.978900,val
34,0.08005605,0.054066,0.984375,0.072959,0.979580,val
35,0.07871856,0.050117,0.984909,0.065023,0.977287,val
36,0.07734967,0.044608,0.986779,0.074548,0.978604,val
37,0.07595088,0.047951,0.985844,0.069795,0.981489,val
38,0.07452372,0.046555,0.986779,0.068441,0.978560,val
39,0.07306975,0.047133,0.986645,0.069035,0.979536,val
40,0.07159056,0.041643,0.987447,0.077792,0.976651,val
41,0.07008776,0.046402,0.986668,0.078084,0.977627,val
42,0.06856301,0.054982,0.985310,0.065764,0.980853,val
43,0.06701796,0.041914,0.987603,0.096769,0.976651,val
44,0.06545430,0.049473,0.985600,0.076349,0.978900,val
45,0.06387376,0.048740,0.985600,0.069216,0.981489,val
46,0.06227805,0.038936,0.988649,0.071697,0.979877,val
47,0.06066892,0.040724,0.987714,0.075585,0.978604,val
48,0.05904812,0.040853,0.988137,0.075221,0.979240,val
49,0.05741744,0.041472,0.987870,0.066086,0.982466,val
50,0.05577865,0.038372,0.988782,0.065223,0.981489,val
51,0.05413355,0.037680,0.988782,0.063197,0.980853,val
52,0.05248394,0.038237,0.988782,0.065037,0.982466,val
53,0.05083161,0.040120,0.988671,0.066233,0.981489,val
54,0.04917839,0.036889,0.988782,0.063419,0.984079,val
55,0.04752606,0.037443,0.988782,0.061288,0.984079,val
56,0.04587645,0.038200,0.988782,0.075228,0.981489,val
57,0.04423135,0.037956,0.988782,0.062652,0.981489,val
58,0.04259256,0.037522,0.988782,0.067052,0.979877,val
59,0.04096188,0.037262,0.988782,0.064074,0.981489,val
60,0.03934108,0.037656,0.988671,0.062891,0.981489,val
61,0.03773195,0.037500,0.988782,0.063373,0.981489,val
62,0.03613624,0.037346,0.988782,0.065454,0.981489,val
63,0.03455570,0.037598,0.988782,0.065104,0.982466,val
64,0.03299204,0.037591,0.988782,0.067887,0.981489,val
65,0.03144699,0.037463,0.988782,0.066572,0.982466,val
66,0.02992224,0.037324,0.988782,0.069236,0.981489,val
67,0.02841944,0.037937,0.988782,0.068118,0.981489,val
68,0.02694025,0.037618,0.988782,0.069872,0.984079,val
69,0.02548628,0.037608,0.988782,0.068849,0.983102,val
70,0.02405912,0.037273,0.988649,0.067338,0.979877,val
71,0.02266033,0.037725,0.988782,0.070348,0.979877,val
72,0.02129144,0.037612,0.988671,0.069760,0.979877,val
73,0.01995395,0.036995,0.988671,0.067634,0.981489,val
74,0.01864932,0.036764,0.988782,0.070548,0.981489,val
75,0.01737897,0.036797,0.988782,0.067791,0.983102,val
76,0.01614431,0.036973,0.988782,0.069005,0.979877,val
77,0.01494667,0.037511,0.988671,0.067102,0.983102,val
78,0.01378736,0.037114,0.988561,0.067554,0.981489,val
79,0.01266766,0.036952,0.988671,0.066803,0.981489,val
80,0.01158879,0.036977,0.988782,0.068731,0.981489,val
81,0.01055192,0.036832,0.988782,0.065520,0.981489,val
82,0.00955820,0.036531,0.988782,0.069940,0.983102,val
83,0.00860870,0.037096,0.988782,0.069122,0.983102,val
84,0.00770447,0.036538,0.988782,0.070812,0.979877,val
85,0.00684649,0.036965,0.988782,0.067375,0.981489,val
86,0.00603571,0.036585,0.988782,0.068431,0.983102,val
87,0.00527301,0.036554,0.988782,0.067548,0.981489,val
88,0.00455922,0.036738,0.988782,0.068399,0.983102,val
89,0.00389512,0.036642,0.988782,0.069058,0.983102,val
90,0.00328145,0.036562,0.988782,0.068566,0.981489,val
91,0.00271887,0.036575,0.988671,0.067922,0.981489,val
92,0.00220799,0.036613,0.988671,0.067814,0.983102,val
93,0.00174938,0.036533,0.988671,0.069705,0.981489,val
94,0.00134354,0.036540,0.988671,0.069270,0.981489,val
95,0.00099090,0.036594,0.988671,0.069284,0.981489,val
96,0.00069187,0.036287,0.988782,0.068785,0.982466,val
97,0.00044675,0.036142,0.988782,0.069169,0.981489,val
98,0.00025583,0.036185,0.988782,0.067495,0.981489,val
99,0.00011931,0.036416,0.988671,0.067856,0.981489,val
100,0.00003733,0.035999,0.988782,0.068145,0.981489,val
