epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,1.474292,0.626041,0.753831,0.784369,val
2,0.02008000,0.094760,0.971026,0.074754,0.979877,val
3,0.04006000,0.059624,0.981753,0.075056,0.980513,val
4,0.06004000,0.059371,0.982796,0.080210,0.980513,val
5,0.08002000,0.054252,0.983702,0.085861,0.977287,val
6,0.10000000,0.055243,0.983973,0.184064,0.935931,val
7,0.09890749,0.052564,0.985135,0.084612,0.976014,val
8,0.09567771,0.051862,0.984938,0.224593,0.952533,val
9,0.09045180,0.050692,0.985296,0.209989,0.949011,val
10,0.08345818,0.048514,0.985924,0.115470,0.971812,val
11,0.07500250,0.051098,0.985357,0.120468,0.968586,val
12,0.06545430,0.043509,0.987250,0.293094,0.873771,val
13,0.05523090,0.046217,0.986891,0.223494,0.941583,val
14,0.04477910,0.038576,0.988559,0.083709,0.979877,val
15,0.03455570,0.037765,0.988738,0.078482,0.979877,val
16,0.02500750,0.040024,0.988274,0.094469,0.978264,val
17,0.01655182,0.037947,0.988531,0.086332,0.978264,val
18,0.00955820,0.036629,0.988739,0.081063,0.977287,val
19,0.00433229,0.031129,0.989990,0.050683,0.985440,val
20,0.00110251,0.004720,0.999985,0.044250,0.987053,val
