epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.105047,0.463104,1.621615,0.569462,val,0.1
2,0.02008000,0.167671,0.950885,0.085296,0.966973,val,0.1
3,0.04006000,0.067933,0.979211,0.097004,0.968586,val,0.1
4,0.06004000,0.070885,0.978771,0.126190,0.963659,val,0.1
5,0.08002000,0.068054,0.980281,0.090478,0.972448,val,0.1
6,0.10000000,0.058707,0.982582,0.072307,0.977627,val,0.1
7,0.09997267,0.043346,0.986649,0.093869,0.978264,val,0.1
8,0.09989069,0.042089,0.987345,0.085299,0.980853,val,0.1
9,0.09975417,0.041190,0.987700,0.400800,0.813609,val,0.1
10,0.09956325,0.043563,0.987184,0.075739,0.980513,val,0.1
11,0.09931813,0.040735,0.987773,0.067434,0.982466,val,0.1
12,0.09901910,0.038252,0.988709,0.089072,0.975038,val,0.1
13,0.09866646,0.053387,0.984536,0.198706,0.922303,val,0.1
14,0.09826062,0.043925,0.987051,0.095577,0.976651,val,0.1
15,0.09780201,0.043360,0.987104,0.085960,0.979240,val,0.1
16,0.09729113,0.040844,0.987868,0.096894,0.976651,val,0.1
17,0.09672855,0.039854,0.988147,0.092233,0.977287,val,0.1
18,0.09611488,0.049891,0.985613,0.089180,0.980853,val,0.1
19,0.09545078,0.038635,0.988656,0.073228,0.980853,val,0.1
20,0.09473699,0.038874,0.988625,0.072202,0.981489,val,0.1
21,0.09397429,0.046547,0.986683,0.930071,0.883474,val,0.1
22,0.09316351,0.051944,0.984348,0.102209,0.976651,val,0.1
23,0.09230553,0.046580,0.985861,0.090096,0.975038,val,0.1
24,0.09140130,0.038855,0.988403,0.081623,0.976651,val,0.1
25,0.09045180,0.041903,0.987379,0.121008,0.974357,val,0.1
26,0.08945808,0.052880,0.984256,0.070333,0.978900,val,0.1
27,0.08842121,0.042333,0.987165,0.107839,0.976014,val,0.1
28,0.08734234,0.039772,0.988028,0.079421,0.979240,val,0.1
29,0.08622264,0.034592,0.989259,0.718659,0.868133,val,0.1
30,0.08506333,0.046134,0.986917,0.197799,0.837216,val,0.1
31,0.08386569,0.041505,0.987754,0.109556,0.974401,val,0.1
32,0.08263103,0.033762,0.990101,0.281625,0.974357,val,0.1
33,0.08136068,0.019292,0.995157,0.044553,0.987053,val,0.1
34,0.08005605,0.001961,0.999893,0.036713,0.990619,val,0.1
35,0.07871856,0.003490,0.999572,0.044887,0.988029,val,0.1
36,0.07734967,0.001722,1.000000,0.029019,0.990619,val,0.1
37,0.07595088,0.001687,1.000000,0.035786,0.990619,val,0.1
38,0.07452372,0.001889,1.000000,0.037552,0.990619,val,0.1
39,0.07306975,0.037520,0.989573,0.104634,0.972404,val,0.1
40,0.07159056,0.048146,0.986175,0.086841,0.978900,val,0.1
41,0.07008776,0.040534,0.987880,0.083857,0.975038,val,0.1
42,0.06856301,0.040055,0.988315,0.175368,0.964384,val,0.1
43,0.06701796,0.044029,0.986958,0.101411,0.970495,val,0.1
44,0.06545430,0.045290,0.987104,0.131576,0.969134,val,0.1
45,0.06387376,0.041285,0.987907,0.073386,0.978264,val,0.1
46,0.06227805,0.036819,0.988636,0.084716,0.978264,val,0.1
47,0.06066892,0.037794,0.988736,0.074681,0.979877,val,0.1
48,0.05904812,0.037418,0.988717,0.083136,0.978264,val,0.1
49,0.05741744,0.037200,0.988763,0.071943,0.978900,val,0.1
50,0.05577865,0.037336,0.988763,0.074767,0.978900,val,0.1
51,0.05413355,0.040513,0.987994,0.241815,0.941375,val,0.1
52,0.05248394,0.049480,0.985499,0.098377,0.973129,val,0.1
53,0.05083161,0.039578,0.987853,0.096334,0.978264,val,0.1
54,0.04917839,0.033086,0.990154,0.057041,0.984803,val,0.1
55,0.04752606,0.032919,0.990777,0.198595,0.973721,val,0.1
56,0.04587645,0.036192,0.988743,2.789464,0.370174,val,0.1
57,0.04423135,0.039178,0.988469,0.484553,0.841847,val,0.1
58,0.04259256,0.005957,0.998850,0.049290,0.989642,val,0.1
59,0.04096188,0.001987,0.999866,0.048153,0.989642,val,0.1
60,0.03934108,0.001271,1.000000,0.046306,0.989642,val,0.1
61,0.03773195,0.001382,1.000000,0.042976,0.989642,val,0.1
62,0.03613624,0.001549,1.000000,0.044887,0.989642,val,0.1
63,0.03455570,0.001648,1.000000,0.045536,0.989642,val,0.1
64,0.03299204,0.001736,1.000000,0.042771,0.988666,val,0.1
65,0.03144699,0.001877,0.999893,0.042721,0.990619,val,0.1
66,0.02992224,0.001695,1.000000,0.042664,0.989642,val,0.1
67,0.02841944,0.001715,1.000000,0.042081,0.988666,val,0.1
68,0.02694025,0.001675,1.000000,0.046061,0.989642,val,0.1
69,0.02548628,0.001718,1.000000,0.047279,0.989642,val,0.1
70,0.02405912,0.001689,1.000000,0.043408,0.989642,val,0.1
71,0.02266033,0.001654,1.000000,0.046870,0.988666,val,0.1
72,0.02129144,0.001638,1.000000,0.044727,0.989642,val,0.1
73,0.01995395,0.001699,1.000000,0.044736,0.988029,val,0.1
74,0.01864932,0.007697,0.998796,0.048182,0.989006,val,0.1
75,0.01737897,0.002059,0.999946,0.043114,0.990619,val,0.1
76,0.01614431,0.001590,1.000000,0.049326,0.988029,val,0.1
77,0.01494667,0.001528,1.000000,0.045576,0.989642,val,0.1
78,0.01378736,0.001492,1.000000,0.045651,0.988029,val,0.1
79,0.01266766,0.001459,1.000000,0.047548,0.988029,val,0.1
