epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,1.846328,0.534362,1.263912,0.709173,val
2,0.02008000,0.101972,0.969658,0.082096,0.977287,val
3,0.04006000,0.057374,0.982329,0.081631,0.977923,val
4,0.06004000,0.051752,0.984077,0.072022,0.980513,val
5,0.08002000,0.045043,0.986632,0.077621,0.981830,val
6,0.10000000,0.043949,0.986622,0.075879,0.979240,val
7,0.09997267,0.038334,0.988557,0.074676,0.978264,val
8,0.09989069,0.053458,0.984107,0.083235,0.978264,val
9,0.09975417,0.041219,0.987629,0.099975,0.971176,val
10,0.09956325,0.043693,0.987153,0.103882,0.970835,val
11,0.09931813,0.046229,0.986471,0.534127,0.870634,val
12,0.09901910,0.049045,0.985551,0.188242,0.960818,val
13,0.09866646,0.042042,0.987857,0.082923,0.977287,val
14,0.09826062,0.043609,0.987155,1.863710,0.574395,val
15,0.09780201,0.046971,0.985980,0.082102,0.979877,val
16,0.09729113,0.044422,0.987066,0.139549,0.965360,val
17,0.09672855,0.038674,0.988539,1.534045,0.832932,val
18,0.09611488,0.039181,0.988375,0.297603,0.938313,val
19,0.09545078,0.046828,0.986233,0.078415,0.983443,val
20,0.09473699,0.042002,0.987515,0.071496,0.980853,val
21,0.09397429,0.045741,0.986622,0.081758,0.981489,val
22,0.09316351,0.044946,0.986696,0.089124,0.979240,val
23,0.09230553,0.037520,0.988688,0.078136,0.979877,val
24,0.09140130,0.046816,0.986426,0.084628,0.978264,val
25,0.09045180,0.042460,0.987527,0.080461,0.982466,val
26,0.08945808,0.042178,0.987470,0.248891,0.947014,val
27,0.08842121,0.042415,0.987381,0.097674,0.969859,val
28,0.08734234,0.043821,0.987108,0.088706,0.978264,val
29,0.08622264,0.038022,0.988512,0.079328,0.978264,val
30,0.08506333,0.040401,0.987956,0.166701,0.963659,val
31,0.08386569,0.045343,0.986964,0.049619,0.987053,val
32,0.08263103,0.024126,0.993375,0.604036,0.835641,val
33,0.08136068,0.005030,0.998958,0.042153,0.989982,val
