epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,1.822936,0.532973,1.183091,0.722209,val
2,0.02008000,0.138099,0.958164,0.083808,0.973425,val
3,0.04006000,0.080389,0.975869,0.074149,0.977287,val
4,0.06004000,0.069338,0.979524,0.095075,0.975334,val
5,0.08002000,0.066443,0.980067,0.194297,0.952621,val
6,0.10000000,0.056669,0.982945,0.118780,0.973085,val
7,0.09890749,0.050479,0.985411,0.078252,0.979877,val
8,0.09567771,0.051751,0.984777,0.097458,0.978560,val
9,0.09045180,0.049190,0.985481,0.079946,0.982466,val
10,0.08345818,0.049511,0.985722,0.069728,0.980853,val
11,0.07500250,0.045483,0.986626,0.081968,0.979240,val
12,0.06545430,0.045580,0.986841,0.099765,0.978604,val
13,0.05523090,0.039639,0.988456,0.077108,0.980853,val
14,0.04477910,0.037619,0.988734,0.084272,0.979240,val
15,0.03455570,0.037699,0.988734,0.077531,0.979877,val
16,0.02500750,0.036898,0.988744,0.076055,0.980853,val
17,0.01655182,0.035266,0.988814,0.088351,0.979877,val
18,0.00955820,0.011400,0.997953,0.095850,0.977287,val
19,0.00433229,0.030379,0.991102,0.320852,0.860610,val
20,0.00110251,0.003972,0.999893,0.050048,0.990619,val
