epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.668152,0.295630,2.306797,0.416142,val,0.1
2,0.02008000,0.790279,0.802924,0.282988,0.927319,val,0.1
3,0.04006000,0.125251,0.963453,0.110576,0.968246,val,0.1
4,0.06004000,0.149556,0.956575,2.012708,0.675025,val,0.1
5,0.08002000,0.279059,0.923642,0.145440,0.960137,val,0.1
6,0.10000000,0.142069,0.960366,0.097215,0.960818,val,0.1
7,0.09997267,0.083402,0.974092,0.085724,0.964044,val,0.1
8,0.09989069,0.073516,0.976343,0.098360,0.964044,val,0.1
9,0.09975417,0.064998,0.978329,0.080538,0.979536,val,0.1
10,0.09956325,0.064105,0.981065,0.083404,0.974357,val,0.1
11,0.09931813,0.061841,0.981197,0.108837,0.964044,val,0.1
12,0.09901910,0.063071,0.981197,0.066312,0.981489,val,0.1
13,0.09866646,0.054102,0.984553,0.065026,0.982466,val,0.1
14,0.09826062,0.072120,0.978681,0.071516,0.978560,val,0.1
15,0.09780201,0.054569,0.981068,0.083386,0.982466,val,0.1
16,0.09729113,0.065851,0.979740,0.067554,0.976947,val,0.1
17,0.09672855,0.055087,0.982786,0.079061,0.979536,val,0.1
18,0.09611488,0.048042,0.985037,0.065677,0.983443,val,0.1
19,0.09545078,0.043901,0.986229,0.058934,0.980853,val,0.1
20,0.09473699,0.046849,0.986274,0.088308,0.980513,val,0.1
21,0.09397429,0.043503,0.987156,0.063389,0.981489,val,0.1
22,0.09316351,0.039112,0.988612,0.068232,0.980513,val,0.1
23,0.09230553,0.044318,0.986055,0.075187,0.979877,val,0.1
24,0.09140130,0.044960,0.986626,0.062406,0.983102,val,0.1
25,0.09045180,0.044203,0.985745,0.070316,0.984079,val,0.1
26,0.08945808,0.051483,0.984466,0.066800,0.982126,val,0.1
27,0.08842121,0.052814,0.984553,0.079784,0.981489,val,0.1
28,0.08734234,0.043543,0.987421,0.074580,0.982466,val,0.1
29,0.08622264,0.041220,0.987247,0.080862,0.977627,val,0.1
30,0.08506333,0.039169,0.988745,0.064301,0.985055,val,0.1
31,0.08386569,0.037535,0.988877,0.071908,0.982466,val,0.1
32,0.08263103,0.040070,0.988260,0.071381,0.982466,val,0.1
33,0.08136068,0.040663,0.988128,0.062516,0.985055,val,0.1
34,0.08005605,0.038071,0.988745,0.066572,0.984079,val,0.1
