epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,1.828810,0.530128,1.194438,0.719916,val
2,0.02008000,0.144781,0.956921,0.068749,0.976651,val
3,0.04006000,0.078157,0.975538,0.083136,0.980513,val
4,0.06004000,0.068658,0.979595,0.098603,0.971768,val
5,0.08002000,0.062454,0.980891,0.155822,0.968586,val
6,0.10000000,0.064204,0.980452,0.168200,0.946333,val
7,0.09890749,0.052678,0.984777,0.089560,0.980853,val
8,0.09567771,0.048864,0.985420,0.082063,0.975038,val
9,0.09045180,0.050192,0.985384,0.097843,0.975038,val
10,0.08345818,0.049387,0.985635,0.086084,0.978900,val
11,0.07500250,0.048615,0.986027,1.145215,0.709413,val
12,0.06545430,0.044020,0.987126,0.071961,0.983443,val
13,0.05523090,0.039752,0.988466,2.258172,0.655998,val
14,0.04477910,0.040847,0.988100,0.084721,0.979877,val
15,0.03455570,0.037424,0.988714,0.088134,0.980853,val
16,0.02500750,0.037243,0.988744,0.079238,0.978264,val
17,0.01655182,0.036979,0.988714,0.080855,0.979240,val
18,0.00955820,0.036903,0.988734,0.082908,0.978264,val
19,0.00433229,0.036664,0.988734,0.083271,0.978264,val
20,0.00110251,0.036585,0.988734,0.079852,0.979240,val
