epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,1.845580,0.534377,1.231086,0.725479,val,0.1
2,0.02008000,0.110126,0.966739,0.086397,0.973721,val,0.1
3,0.04006000,0.053574,0.983566,0.095306,0.975334,val,0.1
4,0.06004000,0.063643,0.981890,0.094968,0.978560,val,0.1
5,0.08002000,0.045918,0.986009,0.172555,0.967313,val,0.1
6,0.10000000,0.047964,0.985268,0.090360,0.977923,val,0.1
7,0.09997267,0.043591,0.987054,0.086140,0.974061,val,0.1
8,0.09989069,0.042618,0.987421,0.074731,0.979877,val,0.1
9,0.09975417,0.047475,0.986265,0.074995,0.977627,val,0.1
10,0.09956325,0.041601,0.987619,0.061231,0.980853,val,0.1
11,0.09931813,0.046475,0.986518,0.077779,0.977923,val,0.1
12,0.09901910,0.041504,0.987748,0.125793,0.978560,val,0.1
13,0.09866646,0.045977,0.986545,0.072363,0.979877,val,0.1
14,0.09826062,0.051086,0.985402,0.113523,0.977287,val,0.1
15,0.09780201,0.041475,0.987574,0.146499,0.967950,val,0.1
16,0.09729113,0.045340,0.986858,0.089837,0.981830,val,0.1
17,0.09672855,0.045675,0.986453,0.105499,0.978264,val,0.1
18,0.09611488,0.042993,0.987515,0.074769,0.980853,val,0.1
19,0.09545078,0.043402,0.987349,0.084856,0.976947,val,0.1
20,0.09473699,0.043264,0.987307,0.077100,0.980217,val,0.1
21,0.09397429,0.043697,0.986875,0.181268,0.956483,val,0.1
22,0.09316351,0.041414,0.988048,0.308887,0.849616,val,0.1
23,0.09230553,0.005013,0.999092,0.043209,0.990619,val,0.1
24,0.09140130,0.021709,0.994400,0.130406,0.974061,val,0.1
25,0.09045180,0.046682,0.986337,0.087241,0.978264,val,0.1
26,0.08945808,0.043199,0.987158,0.140132,0.964296,val,0.1
27,0.08842121,0.042897,0.987366,0.091357,0.979240,val,0.1
28,0.08734234,0.045152,0.986905,0.099368,0.977287,val,0.1
29,0.08622264,0.044432,0.986949,0.088072,0.978264,val,0.1
30,0.08506333,0.045190,0.986962,0.083653,0.975334,val,0.1
31,0.08386569,0.041356,0.987750,0.101912,0.975674,val,0.1
32,0.08263103,0.041345,0.987617,0.087395,0.978012,val,0.1
33,0.08136068,0.018901,0.994613,0.047538,0.990619,val,0.1
34,0.08005605,0.004396,0.999301,0.046035,0.985440,val,0.1
35,0.07871856,0.004805,0.999137,0.042911,0.989642,val,0.1
36,0.07734967,0.001842,0.999985,0.046949,0.991595,val,0.1
37,0.07595088,0.011781,0.997470,0.062238,0.986757,val,0.1
38,0.07452372,0.003021,0.999673,0.044857,0.989642,val,0.1
39,0.07306975,0.001648,0.999985,0.046429,0.989642,val,0.1
40,0.07159056,0.015300,0.996250,0.065936,0.983191,val,0.1
41,0.07008776,0.003070,0.999449,0.064541,0.988029,val,0.1
42,0.06856301,0.001595,1.000000,0.058791,0.985440,val,0.1
43,0.06701796,0.012797,0.997143,0.058528,0.988029,val,0.1
44,0.06545430,0.001487,1.000000,0.052894,0.989642,val,0.1
45,0.06387376,0.001682,1.000000,0.046727,0.990619,val,0.1
46,0.06227805,0.024552,0.994003,0.135323,0.960478,val,0.1
47,0.06066892,0.041005,0.987929,0.109150,0.972448,val,0.1
48,0.05904812,0.043465,0.987173,0.094550,0.976651,val,0.1
49,0.05741744,0.010827,0.997054,0.050505,0.988029,val,0.1
50,0.05577865,0.001660,1.000000,0.048631,0.988029,val,0.1
51,0.05413355,0.001774,1.000000,0.046166,0.989642,val,0.1
52,0.05248394,0.035252,0.990176,0.095036,0.977923,val,0.1
53,0.05083161,0.036947,0.989182,1.227426,0.705519,val,0.1
54,0.04917839,0.040111,0.988033,0.096670,0.984463,val,0.1
55,0.04752606,0.006234,0.998839,0.053031,0.986416,val,0.1
56,0.04587645,0.003796,0.999420,0.051460,0.986076,val,0.1
57,0.04423135,0.006024,0.998929,0.062426,0.988029,val,0.1
58,0.04259256,0.001680,0.999955,0.053356,0.986076,val,0.1
59,0.04096188,0.001641,1.000000,0.053199,0.988029,val,0.1
60,0.03934108,0.002132,0.999955,0.049739,0.988029,val,0.1
61,0.03773195,0.002940,0.999668,4.169486,0.335723,val,0.1
62,0.03613624,0.055375,0.984479,0.093344,0.977287,val,0.1
63,0.03455570,0.038016,0.988542,0.080255,0.977287,val,0.1
64,0.03299204,0.038009,0.988839,0.104880,0.977287,val,0.1
65,0.03144699,0.037434,0.988750,0.091869,0.978900,val,0.1
66,0.02992224,0.037285,0.988750,0.088150,0.978900,val,0.1
67,0.02841944,0.037035,0.988750,0.102537,0.978900,val,0.1
68,0.02694025,0.037439,0.988750,0.096615,0.978900,val,0.1
69,0.02548628,0.037267,0.988733,0.087554,0.977287,val,0.1
70,0.02405912,0.037427,0.988705,0.094273,0.978264,val,0.1
71,0.02266033,0.031573,0.991042,0.065072,0.982850,val,0.1
72,0.02129144,0.004197,0.999256,3.987849,0.857044,val,0.1
73,0.01995395,0.012774,0.996399,0.696144,0.856408,val,0.1
74,0.01864932,0.001780,0.999940,0.069863,0.985100,val,0.1
75,0.01737897,0.001547,0.999970,0.061353,0.985100,val,0.1
76,0.01614431,0.001498,1.000000,0.064029,0.985100,val,0.1
77,0.01494667,0.001611,0.999970,0.060728,0.986076,val,0.1
78,0.01378736,0.001602,1.000000,0.062556,0.985100,val,0.1
79,0.01266766,0.001598,1.000000,0.059953,0.986712,val,0.1
80,0.01158879,0.001691,1.000000,0.056520,0.985100,val,0.1
81,0.01055192,0.001614,1.000000,0.057167,0.986712,val,0.1
82,0.00955820,0.001733,0.999985,0.055564,0.985100,val,0.1
83,0.00860870,0.001692,1.000000,0.057170,0.984463,val,0.1
84,0.00770447,0.001674,1.000000,0.057062,0.986076,val,0.1
85,0.00684649,0.001682,1.000000,0.054857,0.983487,val,0.1
86,0.00603571,0.001665,1.000000,0.054177,0.986076,val,0.1
87,0.00527301,0.001669,1.000000,0.057501,0.983487,val,0.1
88,0.00455922,0.001666,1.000000,0.053940,0.985100,val,0.1
89,0.00389512,0.001652,1.000000,0.054941,0.987053,val,0.1
90,0.00328145,0.001626,1.000000,0.056598,0.986076,val,0.1
91,0.00271887,0.001642,1.000000,0.053094,0.986076,val,0.1
92,0.00220799,0.001651,1.000000,0.053008,0.986076,val,0.1
93,0.00174938,0.001625,1.000000,0.052931,0.985100,val,0.1
94,0.00134354,0.001639,1.000000,0.055525,0.987053,val,0.1
95,0.00099090,0.001666,1.000000,0.051956,0.986076,val,0.1
96,0.00069187,0.001712,1.000000,0.054170,0.986076,val,0.1
97,0.00044675,0.001645,1.000000,0.052438,0.987053,val,0.1
98,0.00025583,0.001640,1.000000,0.054891,0.986712,val,0.1
99,0.00011931,0.001618,1.000000,0.056160,0.985100,val,0.1
100,0.00003733,0.001657,1.000000,0.054117,0.984463,val,0.1
