epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.164790,0.443554,1.658823,0.624937,val
2,0.02008000,0.378340,0.900641,0.208461,0.944853,val
3,0.04006000,0.260485,0.935853,7.134625,0.146144,val
4,0.06004000,0.437913,0.920540,0.127017,0.956571,val
5,0.08002000,0.130796,0.965367,21.838244,0.256105,val
6,0.10000000,0.283785,0.935764,0.122179,0.959797,val
7,0.09987821,0.094520,0.972222,0.110301,0.965020,val
8,0.09951345,0.094762,0.970753,0.117927,0.966249,val
9,0.09890749,0.087420,0.974136,0.940641,0.674641,val
10,0.09806328,0.125415,0.962429,0.095762,0.971472,val
11,0.09698493,0.092138,0.973024,0.077815,0.974061,val
12,0.09567771,0.073926,0.978766,0.072671,0.973425,val
13,0.09414796,0.067444,0.979701,0.075603,0.977287,val
14,0.09240316,0.066342,0.980369,0.248406,0.928264,val
15,0.09045180,0.075217,0.977965,0.094857,0.973721,val
16,0.08830339,0.066488,0.980280,1.234731,0.674257,val
17,0.08596839,0.086717,0.974671,0.127253,0.964680,val
18,0.08345818,0.079223,0.976629,0.101555,0.967950,val
19,0.08078500,0.065896,0.981036,0.095037,0.982466,val
20,0.07796185,0.066119,0.979745,0.138446,0.949011,val
21,0.07500250,0.069024,0.979879,0.277657,0.921636,val
22,0.07192137,0.074413,0.977831,0.072403,0.976014,val
23,0.06873346,0.058571,0.981971,0.074118,0.978560,val
24,0.06545430,0.059087,0.982772,0.081714,0.971472,val
25,0.06209989,0.052754,0.984642,0.073395,0.978900,val
26,0.05868654,0.050812,0.985176,0.073839,0.978900,val
27,0.05523090,0.053087,0.985443,0.074534,0.980513,val
28,0.05174980,0.056788,0.984776,0.071657,0.984079,val
29,0.04826020,0.051156,0.983618,0.686398,0.858783,val
30,0.04477910,0.066698,0.981348,0.083183,0.975674,val
31,0.04132346,0.052692,0.986111,0.072161,0.981489,val
32,0.03791011,0.049321,0.985621,0.104593,0.971428,val
33,0.03455570,0.059837,0.982416,0.089776,0.981193,val
34,0.03127654,0.062856,0.981392,0.362966,0.899219,val
35,0.02808863,0.069752,0.980458,0.083764,0.981149,val
36,0.02500750,0.056529,0.983307,0.061969,0.980853,val
37,0.02204815,0.042800,0.987580,0.071647,0.980853,val
38,0.01922500,0.041085,0.987981,0.062334,0.980853,val
39,0.01655182,0.040664,0.988649,0.379519,0.841545,val
40,0.01404161,0.050174,0.985710,0.067651,0.980853,val
41,0.01170661,0.040192,0.987981,0.063537,0.981489,val
42,0.00955820,0.038916,0.988649,0.063863,0.981489,val
43,0.00760684,0.038896,0.988381,0.063281,0.981489,val
44,0.00586204,0.038614,0.988782,0.066403,0.982126,val
45,0.00433229,0.039549,0.988782,0.065338,0.981489,val
46,0.00302507,0.037712,0.988782,0.064806,0.983102,val
47,0.00194672,0.037546,0.988649,0.066268,0.981489,val
48,0.00110251,0.037962,0.988782,0.066265,0.983102,val
49,0.00049655,0.042029,0.986067,0.066267,0.981489,val
50,0.00013179,0.039257,0.987358,0.065740,0.981489,val
