epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,2.269017,0.432158,0.334292,1.608272,0.678900,0.551758,val
2,0.02008000,0.308547,0.916578,0.910734,0.226848,0.927791,0.931490,val
3,0.04006000,0.154274,0.955395,0.949948,0.242512,0.932365,0.918706,val
4,0.06004000,0.211581,0.938123,0.936759,5.143618,0.478043,0.461735,val
5,0.08002000,0.263210,0.940171,0.935875,0.091090,0.975970,0.970223,val
6,0.10000000,0.120418,0.963275,0.959013,0.166371,0.955595,0.950025,val
7,0.09997267,0.106712,0.966257,0.962933,0.113594,0.963407,0.959038,val
8,0.09989069,0.105465,0.966569,0.963622,1.179108,0.775819,0.673790,val
9,0.09975417,0.149388,0.958778,0.955411,30.425916,0.325403,0.345547,val
10,0.09956325,0.162568,0.956864,0.952341,0.078264,0.968202,0.963855,val
11,0.09931813,0.101866,0.969818,0.968174,0.219965,0.915215,0.896139,val
12,0.09901910,0.108394,0.969151,0.963733,0.065876,0.982762,0.976340,val
13,0.09866646,0.070532,0.978632,0.973253,0.063786,0.978900,0.974086,val
14,0.09826062,0.064580,0.978900,0.973501,0.075758,0.973085,0.969513,val
15,0.09780201,0.057504,0.980101,0.975658,0.064891,0.979877,0.975387,val
16,0.09729113,0.057766,0.980369,0.974983,0.065667,0.982126,0.976333,val
17,0.09672855,0.070046,0.979523,0.976732,0.074889,0.979877,0.975236,val
18,0.09611488,0.107930,0.967949,0.962576,0.061601,0.982466,0.977564,val
19,0.09545078,0.072622,0.977831,0.972456,0.058117,0.986032,0.980807,val
20,0.09473699,0.071660,0.977564,0.972162,0.058420,0.978264,0.974098,val
21,0.09397429,0.062292,0.979078,0.974980,0.077147,0.977967,0.974542,val
22,0.09316351,0.062079,0.979745,0.975718,0.066853,0.981489,0.976543,val
23,0.09230553,0.059209,0.982238,0.976906,0.080388,0.981193,0.977290,val
24,0.09140130,0.051786,0.983841,0.978478,0.069983,0.985055,0.979766,val
25,0.09045180,0.049291,0.984241,0.978897,0.078423,0.981149,0.975091,val
26,0.08945808,0.055250,0.981927,0.979172,0.096733,0.974061,0.970453,val
27,0.08842121,0.054530,0.982238,0.976890,0.068130,0.984079,0.978693,val
28,0.08734234,0.047641,0.985710,0.980366,0.077073,0.983443,0.978578,val
29,0.08622264,0.045950,0.986245,0.980907,0.064872,0.979536,0.973953,val
30,0.08506333,0.045388,0.986645,0.981306,0.062781,0.983443,0.978692,val
31,0.08386569,0.044351,0.987046,0.981710,0.071396,0.979877,0.975387,val
32,0.08263103,0.050782,0.984642,0.979296,0.077773,0.981489,0.976325,val
33,0.08136068,0.047378,0.985710,0.980359,0.072084,0.976651,0.972812,val
34,0.08005605,0.043645,0.986779,0.981452,0.061149,0.985055,0.979701,val
35,0.07871856,0.043848,0.986289,0.982248,0.110525,0.958228,0.960191,val
36,0.07734967,0.058355,0.982728,0.979973,0.157537,0.960641,0.956327,val
37,0.07595088,0.068784,0.978054,0.975274,0.169737,0.951052,0.948052,val
38,0.07452372,0.059794,0.980680,0.976596,0.065643,0.981489,0.976483,val
39,0.07306975,0.047625,0.985176,0.979829,0.068662,0.984079,0.978621,val
40,0.07159056,0.040884,0.987714,0.982380,0.063234,0.982466,0.977478,val
41,0.07008776,0.044644,0.985844,0.980501,0.080713,0.978264,0.974070,val
42,0.06856301,0.042647,0.987847,0.982513,0.066090,0.984079,0.978666,val
43,0.06701796,0.048150,0.985132,0.982382,0.065097,0.983102,0.977543,val
44,0.06545430,0.045773,0.984998,0.982250,0.119480,0.983102,0.977543,val
