epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00005000,2.900156,0.340233,0.286814,2.976800,0.391602,0.327419,val
2,0.01004000,0.936211,0.736868,0.705344,2.684260,0.826096,0.793545,val
3,0.02003000,0.387928,0.887375,0.883275,0.962768,0.915556,0.903154,val
4,0.03002000,0.234158,0.929176,0.925896,10.643771,0.835654,0.783358,val
5,0.04001000,0.215329,0.939592,0.937009,1.013883,0.785553,0.765410,val
6,0.05000000,0.252019,0.926549,0.921951,0.097532,0.964724,0.961926,val
7,0.04998633,0.102540,0.969017,0.963633,0.066880,0.980513,0.975324,val
8,0.04994535,0.076368,0.977163,0.971782,0.109758,0.970791,0.966099,val
9,0.04987710,0.075304,0.976140,0.972029,0.075088,0.976607,0.970683,val
10,0.04978165,0.096568,0.974671,0.970630,2.331170,0.789107,0.757597,val
11,0.04965910,0.139903,0.960515,0.956501,1.446433,0.786694,0.784704,val
12,0.04950960,0.094091,0.970486,0.965533,0.111111,0.975674,0.972310,val
13,0.04933330,0.080380,0.977742,0.973946,0.063428,0.985692,0.979751,val
14,0.04913040,0.079808,0.974893,0.969485,0.051981,0.985055,0.979782,val
15,0.04890111,0.069353,0.979567,0.974257,0.059280,0.983102,0.977591,val
16,0.04864570,0.055062,0.982906,0.977700,0.056527,0.981149,0.975116,val
17,0.04836444,0.054288,0.984152,0.980241,0.064382,0.983102,0.977585,val
18,0.04805763,0.061448,0.980814,0.976738,0.081248,0.973337,0.965462,val
19,0.04772562,0.071313,0.979167,0.973827,0.061022,0.983102,0.977679,val
20,0.04736876,0.050531,0.983752,0.979835,0.077209,0.982126,0.976164,val
21,0.04698745,0.065028,0.979790,0.977009,0.118262,0.970451,0.965452,val
22,0.04658210,0.087178,0.975383,0.972544,0.089729,0.971384,0.960102,val
23,0.04615315,0.065395,0.980101,0.975011,0.059823,0.980513,0.975177,val
24,0.04570108,0.065989,0.980413,0.976420,0.051027,0.984715,0.978662,val
25,0.04522638,0.057884,0.981437,0.976106,0.057038,0.983102,0.977672,val
26,0.04472957,0.048354,0.985844,0.980507,0.061283,0.984079,0.978687,val
27,0.04421119,0.051488,0.983752,0.979702,0.074543,0.976607,0.971432,val
28,0.04367180,0.054971,0.982817,0.978757,0.058140,0.983102,0.977512,val
29,0.04311201,0.063580,0.981481,0.977485,0.076296,0.981830,0.977657,val
30,0.04253241,0.061412,0.980814,0.976750,0.085990,0.971768,0.966807,val
31,0.04193365,0.069464,0.981348,0.977273,1.874296,0.819380,0.781269,val
32,0.04131638,0.061896,0.981437,0.976111,0.055431,0.984079,0.978572,val
33,0.04068127,0.061229,0.982594,0.979840,0.147055,0.965524,0.960855,val
34,0.04002902,0.073883,0.979345,0.975296,0.048116,0.985692,0.979696,val
35,0.03936034,0.084746,0.979033,0.977564,0.207083,0.956395,0.954106,val
36,0.03867597,0.064338,0.982817,0.978747,0.087094,0.980809,0.974422,val
37,0.03797664,0.065522,0.982683,0.978625,0.072594,0.977287,0.973093,val
38,0.03726314,0.053663,0.984019,0.979965,0.065183,0.983443,0.978749,val
39,0.03653622,0.049074,0.985443,0.980104,0.054223,0.983102,0.977448,val
40,0.03579670,0.043474,0.987714,0.982382,0.054953,0.985692,0.979727,val
41,0.03504538,0.045729,0.986289,0.982251,0.058015,0.986668,0.980801,val
42,0.03428308,0.045143,0.986245,0.980904,0.061513,0.984715,0.978628,val
43,0.03351063,0.043524,0.987447,0.982111,0.072650,0.982466,0.977613,val
44,0.03272888,0.039644,0.988114,0.982784,0.058748,0.982466,0.977623,val
45,0.03193869,0.038506,0.988381,0.983052,0.057108,0.984079,0.978687,val
46,0.03114091,0.039297,0.988381,0.983052,0.053470,0.984079,0.978687,val
47,0.03033642,0.039424,0.987981,0.982650,0.046398,0.984079,0.978607,val
48,0.02952611,0.044378,0.984598,0.981846,0.052818,0.984715,0.978628,val
49,0.02871085,0.045920,0.986111,0.980772,0.054111,0.985055,0.979723,val
50,0.02789154,0.040171,0.987981,0.982650,0.053057,0.985692,0.979734,val
51,0.02706907,0.042381,0.986823,0.982783,0.051635,0.984715,0.978628,val
52,0.02624435,0.056070,0.984286,0.980235,0.058547,0.985055,0.979724,val
53,0.02541827,0.063132,0.981259,0.978499,0.060732,0.981830,0.977580,val
54,0.02459173,0.058690,0.982372,0.980912,0.244500,0.940134,0.941483,val
55,0.02376565,0.047266,0.985978,0.980641,0.075939,0.985055,0.979733,val
56,0.02294093,0.041836,0.987847,0.982516,0.053966,0.986668,0.980857,val
57,0.02211846,0.041466,0.987714,0.982382,0.048319,0.988281,0.981907,val
58,0.02129915,0.038579,0.988649,0.983320,0.052470,0.986032,0.980867,val
59,0.02048389,0.040747,0.987491,0.983454,0.061483,0.985055,0.979789,val
60,0.01967358,0.039432,0.987847,0.982517,0.054156,0.985055,0.979780,val
61,0.01886909,0.037663,0.988782,0.983454,0.063825,0.985055,0.979789,val
62,0.01807131,0.037653,0.988515,0.983186,0.067449,0.985055,0.979789,val
63,0.01728112,0.036529,0.988782,0.983454,0.053101,0.986668,0.980857,val
64,0.01649937,0.036442,0.988782,0.983454,0.064702,0.985055,0.979789,val
65,0.01572692,0.037476,0.988649,0.983321,0.057072,0.986668,0.980857,val
66,0.01496462,0.038280,0.988782,0.983454,0.062368,0.985055,0.979789,val
67,0.01421330,0.043157,0.985532,0.982784,0.067468,0.984079,0.978660,val
68,0.01347378,0.047289,0.985933,0.983186,0.070867,0.984079,0.978660,val
69,0.01274686,0.039908,0.987714,0.982388,0.060663,0.985692,0.979727,val
70,0.01203336,0.041826,0.986957,0.982918,0.059328,0.986668,0.980801,val
71,0.01133403,0.059451,0.985265,0.982517,0.061372,0.982466,0.977623,val
72,0.01064966,0.045384,0.985889,0.981845,0.055031,0.982466,0.977623,val
73,0.00998098,0.057086,0.985666,0.982918,0.061052,0.985055,0.979789,val
74,0.00932873,0.041536,0.988515,0.983186,0.057404,0.984079,0.978660,val
75,0.00869362,0.044722,0.986823,0.982784,0.060245,0.985692,0.979727,val
76,0.00807635,0.039307,0.987847,0.982516,0.056700,0.985692,0.979727,val
77,0.00747759,0.036342,0.988649,0.983320,0.055474,0.985692,0.979727,val
78,0.00689799,0.040829,0.987224,0.983186,0.057201,0.984079,0.978660,val
79,0.00633820,0.042386,0.985666,0.982918,0.055263,0.984079,0.978660,val
80,0.00579881,0.040095,0.987090,0.983052,0.055883,0.985692,0.979727,val
81,0.00528043,0.037037,0.988649,0.983320,0.061106,0.985055,0.979789,val
82,0.00478362,0.037048,0.988782,0.983454,0.060918,0.984079,0.978660,val
83,0.00430892,0.037408,0.988782,0.983454,0.056960,0.986668,0.980857,val
84,0.00385685,0.037405,0.988649,0.983320,0.059900,0.985055,0.979789,val
85,0.00342790,0.037625,0.988782,0.983454,0.050080,0.987305,0.980777,val
86,0.00302255,0.037017,0.988381,0.983052,0.060123,0.984079,0.978660,val
87,0.00264124,0.035860,0.988782,0.983454,0.059667,0.984079,0.978660,val
88,0.00228438,0.035968,0.988782,0.983454,0.057463,0.985692,0.979727,val
89,0.00195237,0.057861,0.984375,0.982918,0.057374,0.984079,0.978660,val
90,0.00164556,0.036443,0.988782,0.983454,0.060202,0.984079,0.978660,val
91,0.00136430,0.039593,0.987358,0.983320,0.061760,0.984079,0.978660,val
92,0.00110889,0.036557,0.988381,0.983052,0.057627,0.985055,0.979789,val
93,0.00087960,0.036346,0.988782,0.983454,0.062758,0.985055,0.979789,val
94,0.00067670,0.039023,0.986957,0.982918,0.059803,0.984079,0.978660,val
95,0.00050040,0.036254,0.988649,0.983320,0.060739,0.985055,0.979789,val
96,0.00035090,0.036279,0.988649,0.983320,0.058069,0.984079,0.978660,val
97,0.00022835,0.037026,0.988782,0.983454,0.062555,0.985055,0.979789,val
98,0.00013290,0.037359,0.988649,0.983320,0.066892,0.985055,0.979789,val
99,0.00006465,0.036245,0.988649,0.983320,0.060813,0.985055,0.979789,val
100,0.00002367,0.044542,0.985933,0.983187,0.058711,0.985055,0.979789,val
