epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,2.213605,0.429532,0.321514,1.999671,0.551133,0.416011,test
2,0.02008000,0.361556,0.902778,0.897975,6.286898,0.416532,0.366427,test
3,0.04006000,0.146762,0.954728,0.950039,3.023867,0.481554,0.403153,test
4,0.06004000,0.189774,0.949920,0.945449,1.023516,0.584780,0.562475,test
5,0.08002000,0.088057,0.975205,0.971752,60.094269,0.064283,0.013847,test
6,0.10000000,0.350531,0.928552,0.924703,6.815157,0.202102,0.177870,test
7,0.09997267,0.097457,0.972222,0.966811,3.013525,0.379800,0.319339,test
8,0.09989069,0.069838,0.978410,0.974333,4.018112,0.401507,0.281887,test
9,0.09975417,0.088205,0.976362,0.970929,4.968985,0.308821,0.261959,test
10,0.09956325,0.067602,0.978811,0.974740,5.125311,0.368712,0.296683,test
11,0.09931813,0.072138,0.979434,0.974107,2.359821,0.527922,0.411359,test
12,0.09901910,0.058275,0.984241,0.978900,1.999248,0.462131,0.432128,test
13,0.09866646,0.057826,0.983574,0.978215,1.205789,0.587777,0.518863,test
14,0.09826062,0.051689,0.985710,0.980370,1.824924,0.522606,0.408240,test
15,0.09780201,0.049782,0.986512,0.981174,2.244403,0.562670,0.430692,test
16,0.09729113,0.071134,0.981615,0.977531,4.246020,0.488798,0.362103,test
17,0.09672855,0.088370,0.977163,0.971767,1.317549,0.625863,0.580068,test
18,0.09611488,0.067761,0.982105,0.976759,1.967868,0.561756,0.439206,test
19,0.09545078,0.062244,0.983040,0.977689,0.978015,0.642464,0.580676,test
20,0.09473699,0.053264,0.985844,0.980504,2.553036,0.450500,0.342258,test
21,0.09397429,0.069995,0.981036,0.975697,0.550311,0.856926,0.837224,test
22,0.09316351,0.052149,0.986378,0.981043,1.264981,0.563771,0.432331,test
23,0.09230553,0.049915,0.986378,0.981040,5.490791,0.209434,0.141908,test
24,0.09140130,0.060520,0.982639,0.977285,0.529341,0.869781,0.865508,test
25,0.09045180,0.060922,0.982639,0.977291,1.594487,0.529219,0.423222,test
26,0.08945808,0.054167,0.984509,0.979172,0.964454,0.688575,0.614091,test
27,0.08842121,0.046612,0.986779,0.981445,1.012539,0.723767,0.681365,test
28,0.08734234,0.064756,0.980547,0.976496,1.399113,0.547423,0.442814,test
29,0.08622264,0.076426,0.980769,0.975403,1.550546,0.559333,0.432889,test
30,0.08506333,0.055941,0.984152,0.980095,1.734904,0.406457,0.386674,test
31,0.08386569,0.056989,0.984375,0.979497,1.450038,0.633231,0.550189,test
32,0.08263103,0.062133,0.980057,0.977772,4.897420,0.148799,0.141696,test
33,0.08136068,0.084898,0.976407,0.972319,1.474803,0.621388,0.551046,test
34,0.08005605,0.070304,0.982149,0.978117,9.672155,0.419534,0.297882,test
35,0.07871856,0.085097,0.977342,0.973245,3.271358,0.315977,0.261239,test
36,0.07734967,0.069894,0.980903,0.975561,1.866387,0.545377,0.472717,test
37,0.07595088,0.051235,0.985844,0.980505,1.402700,0.568690,0.472148,test
38,0.07452372,0.043035,0.987580,0.982248,1.111301,0.603154,0.503967,test
39,0.07306975,0.049113,0.986245,0.980909,0.828431,0.725818,0.695687,test
40,0.07159056,0.043858,0.987847,0.982516,0.789371,0.658213,0.597745,test
41,0.07008776,0.040759,0.988515,0.983186,1.017322,0.643477,0.615310,test
42,0.06856301,0.048791,0.986912,0.981582,1.101164,0.593192,0.483291,test
43,0.06701796,0.051942,0.986912,0.981582,1.321073,0.608791,0.508874,test
44,0.06545430,0.047488,0.987447,0.982113,0.581522,0.834465,0.813870,test
45,0.06387376,0.049868,0.986245,0.980905,4.887997,0.387235,0.291391,test
46,0.06227805,0.060870,0.984108,0.978760,3.203263,0.290055,0.276140,test
47,0.06066892,0.052102,0.985577,0.980243,1.231598,0.602673,0.493992,test
48,0.05904812,0.045142,0.988114,0.982784,1.916523,0.591053,0.489448,test
49,0.05741744,0.052106,0.984865,0.982114,8.159058,0.090391,0.040702,test
50,0.05577865,0.070241,0.981481,0.977425,3.167156,0.457135,0.363432,test
51,0.05413355,0.060247,0.985176,0.979836,1.740389,0.571558,0.490371,test
52,0.05248394,0.058187,0.983707,0.978359,0.674957,0.773102,0.758155,test
53,0.05083161,0.047691,0.986156,0.982115,2.974938,0.564500,0.455783,test
54,0.04917839,0.053076,0.984286,0.980994,0.487834,0.909944,0.901438,test
55,0.04752606,0.044362,0.988381,0.983053,0.475625,0.898572,0.886684,test
56,0.04587645,0.039578,0.988782,0.983454,0.461435,0.880932,0.866351,test
57,0.04423135,0.039984,0.988649,0.983320,0.524637,0.849398,0.832546,test
58,0.04259256,0.038955,0.988782,0.983454,0.699974,0.797578,0.778434,test
59,0.04096188,0.039277,0.988782,0.983454,0.584491,0.836232,0.819657,test
60,0.03934108,0.038670,0.988782,0.983454,0.758281,0.814055,0.794278,test
61,0.03773195,0.045791,0.987046,0.981711,3.786217,0.345181,0.245872,test
62,0.03613624,0.053592,0.987313,0.981982,1.599931,0.568024,0.487408,test
63,0.03455570,0.054259,0.984909,0.979572,1.540525,0.563895,0.476432,test
64,0.03299204,0.042888,0.988515,0.983187,1.121548,0.672640,0.617594,test
65,0.03144699,0.039633,0.988649,0.983321,1.166306,0.607148,0.534895,test
66,0.02992224,0.041065,0.987224,0.983186,0.854591,0.723075,0.644122,test
67,0.02841944,0.052647,0.986512,0.981173,0.901141,0.745536,0.719513,test
68,0.02694025,0.042979,0.988515,0.983186,4.531748,0.517971,0.474220,test
69,0.02548628,0.050499,0.987046,0.981714,1.835280,0.543671,0.441737,test
70,0.02405912,0.041321,0.988515,0.983186,1.100555,0.637075,0.550860,test
71,0.02266033,0.038421,0.988782,0.983454,0.637246,0.819692,0.799730,test
72,0.02129144,0.038698,0.988782,0.983454,0.781416,0.779307,0.771612,test
73,0.01995395,0.038578,0.988782,0.983454,0.626428,0.792695,0.771917,test
74,0.01864932,0.042405,0.988515,0.983187,1.119124,0.682343,0.623568,test
75,0.01737897,0.039579,0.988782,0.983454,0.612207,0.819754,0.800725,test
76,0.01614431,0.039630,0.988782,0.983454,0.506472,0.847791,0.834836,test
77,0.01494667,0.040707,0.988381,0.983052,0.480374,0.902478,0.887638,test
78,0.01378736,0.038439,0.988782,0.983454,0.426100,0.894257,0.882790,test
79,0.01266766,0.039791,0.988782,0.983454,0.503287,0.884838,0.869624,test
80,0.01158879,0.039993,0.988515,0.983187,0.886959,0.626049,0.569045,test
81,0.01055192,0.037971,0.988782,0.983454,0.566627,0.866283,0.855198,test
82,0.00955820,0.038121,0.988782,0.983454,0.583194,0.836640,0.825512,test
83,0.00860870,0.038665,0.988782,0.983454,0.534284,0.859101,0.851599,test
84,0.00770447,0.040010,0.988649,0.983320,0.864746,0.594169,0.557783,test
85,0.00684649,0.039495,0.988782,0.983454,0.473952,0.889375,0.875493,test
86,0.00603571,0.043954,0.987358,0.983320,0.497712,0.865999,0.847910,test
87,0.00527301,0.045388,0.987981,0.982650,0.430067,0.898510,0.885483,test
88,0.00455922,0.042618,0.987358,0.983320,0.531968,0.871450,0.857555,test
89,0.00389512,0.040955,0.988515,0.983186,0.519308,0.866567,0.853492,test
90,0.00328145,0.038383,0.988782,0.983454,0.529662,0.863638,0.851665,test
91,0.00271887,0.046151,0.985933,0.983185,0.489227,0.867544,0.855810,test
92,0.00220799,0.042347,0.987491,0.983454,0.530091,0.851573,0.842588,test
93,0.00174938,0.037925,0.988782,0.983454,0.538415,0.850312,0.841890,test
94,0.00134354,0.038601,0.988782,0.983454,0.505227,0.858755,0.846390,test
95,0.00099090,0.037579,0.988649,0.983320,0.542775,0.863984,0.853185,test
96,0.00069187,0.037614,0.988782,0.983454,0.583376,0.838247,0.829966,test
97,0.00044675,0.040710,0.987358,0.983320,0.472690,0.879609,0.866715,test
98,0.00025583,0.037395,0.988782,0.983454,0.536541,0.853588,0.842397,test
99,0.00011931,0.037377,0.988782,0.983454,0.428858,0.894604,0.881323,test
100,0.00003733,0.036863,0.988782,0.983454,0.502735,0.869843,0.857478,test
