epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,2.130242,0.472934,0.355492,2.040272,0.445312,0.338250,test
2,0.02008000,0.432689,0.886752,0.881655,1.159606,0.755642,0.760679,test
3,0.04006000,0.164248,0.955039,0.953196,3.718984,0.453265,0.371527,test
4,0.06004000,0.302496,0.937099,0.931699,0.434048,0.849460,0.820952,test
5,0.08002000,0.120071,0.963675,0.962708,7.977358,0.303225,0.269571,test
6,0.10000000,0.169152,0.956731,0.951373,6.082341,0.609757,0.491893,test
7,0.09997267,0.071978,0.979701,0.974344,2.504984,0.622799,0.505252,test
8,0.09989069,0.053246,0.984509,0.979167,1.754973,0.627051,0.512136,test
9,0.09975417,0.057056,0.982728,0.979972,4.477188,0.406493,0.329591,test
10,0.09956325,0.107411,0.971822,0.966810,0.696502,0.732174,0.692017,test
11,0.09931813,0.062029,0.982105,0.977357,1.550707,0.510773,0.401511,test
12,0.09901910,0.060110,0.983440,0.978117,0.699998,0.731259,0.689986,test
13,0.09866646,0.049173,0.986378,0.981040,0.920561,0.603547,0.568252,test
14,0.09826062,0.051599,0.985710,0.980384,0.502077,0.798167,0.797503,test
15,0.09780201,0.056866,0.984642,0.979282,1.161559,0.714591,0.708597,test
16,0.09729113,0.062253,0.982238,0.976881,2.020612,0.581437,0.455031,test
17,0.09672855,0.062110,0.983707,0.978347,0.508484,0.887793,0.865442,test
18,0.09611488,0.047976,0.985354,0.981311,4.138158,0.374163,0.284175,test
19,0.09545078,0.071534,0.981170,0.975813,0.821456,0.696036,0.683287,test
20,0.09473699,0.054755,0.984553,0.980500,0.811946,0.671028,0.668817,test
21,0.09397429,0.074396,0.979701,0.974333,0.428512,0.885877,0.873223,test
22,0.09316351,0.056730,0.985043,0.979713,0.580044,0.729931,0.722723,test
23,0.09230553,0.049169,0.986645,0.981309,1.045106,0.812025,0.808219,test
24,0.09140130,0.052010,0.985978,0.980631,1.109371,0.746977,0.732488,test
25,0.09045180,0.062193,0.981348,0.977307,24.614340,0.050177,0.047196,test
26,0.08945808,0.073366,0.978321,0.975568,4.831887,0.410854,0.397046,test
27,0.08842121,0.089414,0.976362,0.971050,0.686773,0.815120,0.783200,test
28,0.08734234,0.047162,0.986912,0.981572,0.545027,0.771515,0.746202,test
29,0.08622264,0.073102,0.979567,0.974188,0.677127,0.796276,0.788601,test
30,0.08506333,0.067950,0.980191,0.977406,7.170529,0.216678,0.166609,test
31,0.08386569,0.078773,0.977431,0.972875,1.284242,0.779044,0.764398,test
32,0.08263103,0.053457,0.986245,0.980914,0.604450,0.802765,0.788338,test
33,0.08136068,0.059843,0.983084,0.979038,0.954661,0.715727,0.715228,test
34,0.08005605,0.072986,0.977787,0.975041,9.760064,0.394387,0.304459,test
35,0.07871856,0.094788,0.974270,0.970195,1.402802,0.768436,0.773961,test
36,0.07734967,0.065062,0.982105,0.976761,0.426748,0.885840,0.864346,test
37,0.07595088,0.042450,0.988114,0.982792,0.774026,0.703218,0.695009,test
38,0.07452372,0.041401,0.987847,0.982516,0.399659,0.887101,0.867308,test
39,0.07306975,0.047564,0.986378,0.981046,0.450376,0.802827,0.796878,test
40,0.07159056,0.043400,0.988114,0.982784,0.278254,0.914791,0.895357,test
41,0.07008776,0.054489,0.984909,0.979559,1.690336,0.433005,0.371092,test
42,0.06856301,0.057764,0.984776,0.979441,0.742766,0.707284,0.696962,test
43,0.06701796,0.048040,0.987313,0.981979,0.548516,0.746187,0.740388,test
44,0.06545430,0.048076,0.985755,0.981709,1.067048,0.770988,0.739657,test
45,0.06387376,0.063493,0.982550,0.978497,44.766114,0.069796,0.036855,test
46,0.06227805,0.089306,0.974493,0.969091,1.180273,0.520823,0.428162,test
47,0.06066892,0.054575,0.984375,0.979029,0.825036,0.708731,0.700993,test
48,0.05904812,0.047146,0.986912,0.981576,0.367699,0.913184,0.896182,test
49,0.05741744,0.049638,0.985532,0.982784,0.603306,0.780651,0.778997,test
50,0.05577865,0.063357,0.982683,0.978617,1.622980,0.501168,0.476529,test
51,0.05413355,0.064927,0.982906,0.977557,0.527523,0.891700,0.879075,test
52,0.05248394,0.048661,0.986245,0.980909,0.568176,0.811270,0.808742,test
53,0.05083161,0.046307,0.985399,0.982650,3.880512,0.504630,0.397995,test
54,0.04917839,0.061727,0.982372,0.977792,0.945450,0.704479,0.708618,test
55,0.04752606,0.045815,0.986912,0.981574,0.425862,0.813508,0.811621,test
56,0.04587645,0.039888,0.988782,0.983454,0.414967,0.816153,0.813762,test
57,0.04423135,0.042582,0.987447,0.982114,0.396940,0.910947,0.892304,test
58,0.04259256,0.039890,0.988782,0.983454,0.458674,0.807364,0.803886,test
59,0.04096188,0.041291,0.988381,0.983053,0.321938,0.919674,0.902971,test
60,0.03934108,0.039666,0.988782,0.983454,0.358205,0.921973,0.904748,test
61,0.03773195,0.046751,0.986912,0.981572,1.379537,0.523468,0.495694,test
62,0.03613624,0.050279,0.985755,0.981712,1.351848,0.627397,0.528868,test
63,0.03455570,0.049766,0.987447,0.982116,0.620274,0.813223,0.815877,test
64,0.03299204,0.047079,0.987179,0.981850,0.570999,0.808971,0.806697,test
