epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,2.164670,0.444890,0.333556,1.710614,0.593461,0.457382,test
2,0.02008000,0.342983,0.912794,0.907168,0.130320,0.948971,0.937999,test
3,0.04006000,0.191752,0.948495,0.945657,13.085247,0.333974,0.320255,test
4,0.06004000,0.348109,0.919382,0.916885,0.368733,0.894159,0.881278,test
5,0.08002000,0.198937,0.944133,0.943434,1.079407,0.866815,0.830538,test
6,0.10000000,0.160383,0.956330,0.950731,0.098146,0.963903,0.960256,test
7,0.09997267,0.085991,0.974225,0.968815,0.088417,0.969825,0.964888,test
8,0.09989069,0.086730,0.973024,0.967521,0.082454,0.973447,0.968855,test
9,0.09975417,0.077250,0.974715,0.971902,1.370028,0.497437,0.510238,test
10,0.09956325,0.132767,0.957977,0.954229,0.120444,0.957191,0.945432,test
11,0.09931813,0.098439,0.971154,0.965948,0.122523,0.956499,0.951806,test
12,0.09901910,0.084833,0.975205,0.971094,0.088965,0.972248,0.965020,test
13,0.09866646,0.074463,0.977965,0.972576,0.072772,0.975462,0.970087,test
14,0.09826062,0.077485,0.978232,0.972808,0.071687,0.978738,0.973185,test
15,0.09780201,0.066816,0.980101,0.974751,0.079076,0.975746,0.970598,test
16,0.09729113,0.066789,0.979879,0.975795,1.113545,0.692605,0.605661,test
17,0.09672855,0.084466,0.975338,0.971247,4.885084,0.620128,0.507651,test
18,0.09611488,0.135690,0.960337,0.954727,0.083479,0.980061,0.974127,test
19,0.09545078,0.072296,0.978365,0.972925,0.090913,0.975808,0.970223,test
20,0.09473699,0.081278,0.976140,0.972113,3.016622,0.529157,0.422342,test
21,0.09397429,0.090967,0.972890,0.967470,0.124133,0.956597,0.956633,test
22,0.09316351,0.074980,0.977163,0.971775,0.072641,0.975116,0.970122,test
23,0.09230553,0.069692,0.978766,0.973389,0.112361,0.962012,0.956935,test
24,0.09140130,0.072400,0.978766,0.973398,0.074150,0.976785,0.971201,test
25,0.09045180,0.061463,0.979879,0.975800,0.101942,0.966042,0.956947,test
26,0.08945808,0.079330,0.976629,0.971262,0.073549,0.972816,0.968061,test
27,0.08842121,0.064831,0.980235,0.974881,0.175969,0.941220,0.932075,test
28,0.08734234,0.072669,0.978900,0.973530,0.086470,0.971840,0.967024,test
29,0.08622264,0.066426,0.981571,0.976199,0.169584,0.952593,0.946347,test
30,0.08506333,0.070689,0.978410,0.974292,0.090306,0.974423,0.968854,test
31,0.08386569,0.064534,0.981170,0.976688,0.092447,0.970863,0.965709,test
32,0.08263103,0.065339,0.980012,0.975954,6.236696,0.516648,0.454106,test
33,0.08136068,0.097777,0.972267,0.968146,7.985952,0.526522,0.403409,test
34,0.08005605,0.107178,0.969907,0.967086,2.266108,0.611338,0.568907,test
35,0.07871856,0.100294,0.971065,0.967083,0.296894,0.855154,0.869033,test
36,0.07734967,0.077703,0.977030,0.971684,0.082347,0.978454,0.972062,test
37,0.07595088,0.062533,0.980502,0.975140,0.070889,0.978107,0.972255,test
38,0.07452372,0.056343,0.983173,0.977806,0.072587,0.970517,0.965931,test
39,0.07306975,0.057065,0.983173,0.977824,0.074406,0.977415,0.972064,test
40,0.07159056,0.055691,0.984375,0.979028,0.080917,0.976092,0.970941,test
41,0.07008776,0.060972,0.981704,0.976339,0.135268,0.959775,0.953993,test
42,0.06856301,0.060189,0.982238,0.976869,0.075781,0.974770,0.969737,test
43,0.06701796,0.052506,0.985978,0.980637,0.141487,0.959207,0.947050,test
44,0.06545430,0.053946,0.985043,0.979710,0.092408,0.977069,0.971806,test
45,0.06387376,0.060045,0.983040,0.977683,1.368048,0.707884,0.670011,test
46,0.06227805,0.058171,0.982906,0.977561,0.075755,0.978738,0.973095,test
47,0.06066892,0.057503,0.982906,0.977559,0.074638,0.975116,0.970132,test
48,0.05904812,0.061039,0.982505,0.977141,0.066819,0.983683,0.977449,test
49,0.05741744,0.057275,0.981793,0.979026,0.103692,0.975462,0.970283,test
50,0.05577865,0.060843,0.982817,0.978758,21.526920,0.238385,0.228573,test
51,0.05413355,0.118700,0.967103,0.964321,4.810555,0.512768,0.447996,test
52,0.05248394,0.083330,0.975027,0.969638,0.068694,0.975116,0.970207,test
53,0.05083161,0.061636,0.980591,0.977811,0.153804,0.958860,0.951316,test
54,0.04917839,0.064101,0.981838,0.977315,0.064842,0.978392,0.973278,test
55,0.04752606,0.053589,0.984509,0.979165,0.060796,0.983336,0.977434,test
56,0.04587645,0.046737,0.986378,0.981043,0.064257,0.979084,0.973269,test
57,0.04423135,0.043678,0.987313,0.981979,0.060017,0.980061,0.974316,test
58,0.04259256,0.048286,0.985978,0.980639,0.063220,0.980691,0.975300,test
59,0.04096188,0.051311,0.985176,0.979827,0.094908,0.978045,0.972863,test
60,0.03934108,0.047023,0.985443,0.980107,0.062413,0.979714,0.974225,test
61,0.03773195,0.044143,0.987313,0.981980,0.067720,0.980691,0.975275,test
62,0.03613624,0.053296,0.984553,0.980506,0.114763,0.961160,0.957807,test
63,0.03455570,0.053336,0.985043,0.979704,0.081106,0.977415,0.972096,test
64,0.03299204,0.042006,0.988649,0.983320,0.065414,0.981037,0.975333,test
65,0.03144699,0.041194,0.987981,0.982650,0.067914,0.980061,0.974251,test
66,0.02992224,0.040513,0.988782,0.983454,0.061205,0.982014,0.976367,test
67,0.02841944,0.041537,0.988782,0.983454,0.057176,0.981037,0.975333,test
68,0.02694025,0.041336,0.988381,0.983052,0.055167,0.983683,0.977482,test
69,0.02548628,0.047571,0.987313,0.981980,0.080923,0.979714,0.974166,test
70,0.02405912,0.043775,0.987714,0.982381,0.053896,0.982990,0.977416,test
71,0.02266033,0.041821,0.987981,0.982650,0.065637,0.976723,0.971650,test
72,0.02129144,0.043563,0.987580,0.982245,0.055927,0.981037,0.975381,test
73,0.01995395,0.039982,0.988114,0.982784,0.059527,0.983336,0.977408,test
74,0.01864932,0.040260,0.988515,0.983186,0.056053,0.984659,0.978479,test
75,0.01737897,0.043593,0.986823,0.982784,0.064119,0.981383,0.975333,test
76,0.01614431,0.044363,0.987847,0.982516,0.063253,0.983336,0.977408,test
77,0.01494667,0.042616,0.986556,0.982515,0.077762,0.979714,0.974294,test
78,0.01378736,0.045783,0.987447,0.982116,0.061987,0.982360,0.976370,test
79,0.01266766,0.041788,0.987090,0.983052,0.059473,0.979714,0.974248,test
80,0.01158879,0.039268,0.988649,0.983321,0.060406,0.980061,0.974340,test
81,0.01055192,0.039988,0.987358,0.983320,0.056006,0.982014,0.976378,test
82,0.00955820,0.039975,0.988649,0.983320,0.055524,0.982014,0.976378,test
83,0.00860870,0.039909,0.988782,0.983454,0.058203,0.982014,0.976367,test
84,0.00770447,0.042252,0.988649,0.983321,0.060779,0.979714,0.974249,test
85,0.00684649,0.040729,0.988782,0.983454,0.055414,0.983683,0.977427,test
86,0.00603571,0.040131,0.988782,0.983454,0.057646,0.981037,0.975321,test
87,0.00527301,0.041488,0.988649,0.983320,0.055896,0.982360,0.976389,test
88,0.00455922,0.045715,0.986823,0.982791,0.056527,0.983336,0.977406,test
89,0.00389512,0.040153,0.988782,0.983454,0.056975,0.982360,0.976357,test
90,0.00328145,0.039784,0.987358,0.983320,0.055548,0.983336,0.977408,test
