epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,2.495952,0.299190,0.166306,2.594602,0.309570,0.256351,test
2,0.02008000,0.490288,0.869658,0.862337,14.682534,0.081861,0.059034,test
3,0.04006000,0.213191,0.938524,0.937079,19.486353,0.062278,0.032112,test
4,0.06004000,0.389659,0.917735,0.913646,21.627241,0.125114,0.117426,test
5,0.08002000,0.134065,0.959847,0.956947,15.449173,0.129774,0.117214,test
6,0.10000000,0.286908,0.934696,0.931126,11.868818,0.151233,0.127561,test
7,0.09997267,0.092022,0.972489,0.967137,17.759987,0.087756,0.085459,test
8,0.09989069,0.081236,0.974760,0.969348,19.239609,0.128586,0.089401,test
9,0.09975417,0.080733,0.975205,0.971063,9.989651,0.275344,0.236396,test
10,0.09956325,0.098125,0.971554,0.966202,11.530280,0.116040,0.086309,test
11,0.09931813,0.080031,0.974003,0.970130,10.085049,0.207553,0.176243,test
12,0.09901910,0.085143,0.974626,0.969171,10.377775,0.073268,0.056927,test
13,0.09866646,0.074776,0.977831,0.972433,6.638700,0.319258,0.261660,test
14,0.09826062,0.061909,0.982238,0.976903,7.297232,0.182349,0.152537,test
15,0.09780201,0.076685,0.977431,0.972010,9.854187,0.179197,0.141756,test
16,0.09729113,0.079311,0.976229,0.970840,10.409860,0.122654,0.074221,test
17,0.09672855,0.088031,0.972178,0.969337,17.005423,0.122938,0.094006,test
18,0.09611488,0.113296,0.965100,0.962062,9.243024,0.099475,0.061490,test
19,0.09545078,0.090494,0.973958,0.968746,10.240041,0.116263,0.089124,test
20,0.09473699,0.072116,0.978410,0.974387,16.921109,0.041796,0.024221,test
21,0.09397429,0.082972,0.974270,0.970177,4.385206,0.253111,0.187102,test
22,0.09316351,0.077651,0.977297,0.972217,9.067341,0.149900,0.118217,test
23,0.09230553,0.059957,0.982238,0.976899,10.050975,0.195328,0.174576,test
24,0.09140130,0.070284,0.978766,0.973381,12.065870,0.176871,0.158169,test
25,0.09045180,0.066197,0.980369,0.975146,11.297006,0.123951,0.104860,test
26,0.08945808,0.072312,0.979300,0.973886,10.807997,0.149874,0.114584,test
27,0.08842121,0.074857,0.977876,0.973789,9.377874,0.248047,0.171085,test
28,0.08734234,0.104757,0.968928,0.964716,7.412634,0.224785,0.175333,test
29,0.08622264,0.111012,0.967548,0.962140,11.532518,0.078807,0.064015,test
30,0.08506333,0.068962,0.980146,0.976061,6.317432,0.158823,0.136622,test
31,0.08386569,0.074540,0.977564,0.972845,10.771098,0.099031,0.073513,test
