epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000050,3.039007,0.212295,0.191881,3.305957,0.037109,0.005676,test
2,0.00005045,1.675547,0.639601,0.571534,2.503536,0.322100,0.230383,test
3,0.00010040,1.045698,0.874332,0.861583,2.207383,0.452071,0.350747,test
4,0.00015035,0.842244,0.944444,0.936678,2.170274,0.472517,0.371692,test
5,0.00020030,0.782898,0.956597,0.951117,2.174304,0.478562,0.370296,test
6,0.00025025,0.747626,0.966747,0.960569,2.189749,0.476201,0.377631,test
7,0.00030020,0.737608,0.969418,0.963473,2.192410,0.505498,0.400214,test
8,0.00035015,0.728551,0.970753,0.964834,2.291095,0.501369,0.387843,test
9,0.00040010,0.723435,0.972222,0.966381,1.999811,0.513780,0.405745,test
10,0.00045005,0.717968,0.973558,0.967798,2.140496,0.509688,0.415884,test
11,0.00050000,0.715603,0.974493,0.968880,1.995912,0.509528,0.391222,test
12,0.00049985,0.721022,0.973558,0.967828,1.781620,0.541186,0.451388,test
13,0.00049939,0.725539,0.969551,0.963811,1.883791,0.524399,0.422181,test
14,0.00049863,0.720095,0.972756,0.967055,1.994979,0.496610,0.363232,test
15,0.00049757,0.723903,0.973691,0.967911,1.789714,0.537626,0.436941,test
16,0.00049621,0.731779,0.972222,0.966695,1.709572,0.536117,0.453404,test
17,0.00049455,0.727743,0.971554,0.965724,1.905829,0.496140,0.426779,test
18,0.00049259,0.732518,0.972089,0.966307,1.889803,0.527328,0.439075,test
19,0.00049033,0.726883,0.974893,0.969256,1.651307,0.598235,0.535679,test
20,0.00048779,0.768169,0.966079,0.960245,1.874364,0.511011,0.422988,test
21,0.00048495,0.746352,0.971287,0.965570,1.562393,0.659004,0.634057,test
22,0.00048183,0.765715,0.968216,0.962346,1.843476,0.600570,0.578805,test
23,0.00047843,0.772698,0.965545,0.959491,1.870497,0.488044,0.369997,test
24,0.00047475,0.781748,0.966079,0.960112,1.794464,0.528589,0.469180,test
25,0.00047080,0.825794,0.954861,0.948436,1.787091,0.644170,0.618782,test
26,0.00046657,0.814160,0.956864,0.950605,1.377058,0.820705,0.784352,test
27,0.00046209,0.798889,0.966480,0.960323,1.901685,0.515449,0.431894,test
28,0.00045734,0.808727,0.964343,0.958026,1.655137,0.672588,0.639483,test
29,0.00045235,0.954620,0.916266,0.908291,1.523590,0.641240,0.556141,test
30,0.00044711,0.888588,0.945913,0.938615,1.583621,0.719525,0.651902,test
31,0.00044163,0.862382,0.952724,0.945808,1.473227,0.767785,0.716350,test
32,0.00043591,0.930675,0.929087,0.921209,1.849322,0.526610,0.458442,test
33,0.00042998,0.897753,0.945513,0.937972,1.586128,0.732406,0.659916,test
34,0.00042382,0.876240,0.955796,0.948810,1.591121,0.759120,0.700222,test
