epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000050,3.076311,0.169694,0.179139,3.214419,0.038086,0.008051,test
2,0.00005045,1.629581,0.650953,0.583005,2.994796,0.273453,0.154456,test
3,0.00010040,1.014537,0.885951,0.873121,2.611652,0.383360,0.272574,test
4,0.00015035,0.816311,0.948451,0.941655,2.486383,0.402261,0.299805,test
5,0.00020030,0.769920,0.954193,0.948978,2.477837,0.405253,0.303799,test
6,0.00025025,0.745539,0.962206,0.956348,2.397175,0.413535,0.313639,test
7,0.00030020,0.734503,0.964209,0.958636,2.245013,0.441634,0.354459,test
8,0.00035015,0.725381,0.969952,0.964408,2.387711,0.435836,0.343164,test
9,0.00040010,0.722731,0.969952,0.964378,2.275568,0.455367,0.374875,test
10,0.00045005,0.717828,0.972623,0.967129,2.051621,0.477828,0.395407,test
11,0.00050000,0.712515,0.972489,0.966957,2.192540,0.457098,0.368837,test
12,0.00049985,0.718396,0.970085,0.964597,2.357329,0.446801,0.365667,test
13,0.00049939,0.716484,0.970264,0.965970,2.013234,0.476444,0.398011,test
14,0.00049863,0.731050,0.967548,0.961925,2.183029,0.450805,0.367592,test
15,0.00049757,0.718186,0.971554,0.966093,1.913830,0.492131,0.421953,test
16,0.00049621,0.721738,0.971154,0.965582,1.940623,0.482019,0.408498,test
17,0.00049455,0.724907,0.971421,0.965862,2.270796,0.429507,0.342230,test
18,0.00049259,0.742314,0.965278,0.959538,1.833870,0.458457,0.383487,test
19,0.00049033,0.747123,0.966346,0.960600,2.004167,0.464663,0.388925,test
20,0.00048779,0.737206,0.969818,0.964146,1.642242,0.487532,0.431743,test
21,0.00048495,0.745999,0.970085,0.964368,1.864685,0.492255,0.410504,test
22,0.00048183,0.762692,0.964254,0.959764,1.801753,0.426453,0.346954,test
23,0.00047843,0.768290,0.964744,0.958977,2.059218,0.440063,0.362028,test
24,0.00047475,0.772238,0.965411,0.959681,1.638110,0.576120,0.498091,test
25,0.00047080,0.800517,0.959980,0.955130,1.400709,0.788887,0.729502,test
26,0.00046657,0.823449,0.954728,0.948503,1.393324,0.751493,0.709228,test
27,0.00046209,0.809333,0.960069,0.953906,2.690255,0.475286,0.347935,test
28,0.00045734,0.844280,0.948362,0.943393,1.963127,0.550730,0.443916,test
29,0.00045235,0.838071,0.954594,0.948399,1.555835,0.695359,0.660206,test
30,0.00044711,0.824497,0.958600,0.952287,1.869915,0.499008,0.396325,test
31,0.00044163,0.915373,0.934161,0.930722,2.300384,0.348907,0.265977,test
32,0.00043591,1.087533,0.871928,0.861763,1.871810,0.479637,0.376740,test
33,0.00042998,0.871004,0.951790,0.945059,2.091457,0.538293,0.431738,test
34,0.00042382,0.908908,0.941907,0.933752,1.830914,0.610398,0.540447,test
35,0.00041745,0.886362,0.952457,0.945612,1.570954,0.746300,0.708537,test
36,0.00041088,0.929860,0.943109,0.935705,1.740861,0.601485,0.534167,test
37,0.00040411,0.913757,0.945246,0.937783,1.882547,0.549221,0.472022,test
38,0.00039715,0.975120,0.927662,0.920623,2.296127,0.469587,0.344378,test
39,0.00039002,0.970122,0.931223,0.922654,1.812376,0.572937,0.558575,test
40,0.00038271,0.961476,0.934428,0.926154,1.972013,0.469582,0.419531,test
41,0.00037525,1.079509,0.891204,0.881673,2.238156,0.293206,0.199170,test
42,0.00036763,0.974551,0.932158,0.923244,1.683825,0.680649,0.638148,test
43,0.00035987,0.969570,0.933894,0.925303,1.759275,0.628359,0.582508,test
44,0.00035198,1.009554,0.919872,0.910161,2.066786,0.560309,0.456445,test
45,0.00034396,1.042392,0.905582,0.894190,1.867184,0.563967,0.496775,test
46,0.00033583,1.054616,0.902021,0.891678,1.938416,0.445204,0.388420,test
47,0.00032760,1.019740,0.912304,0.901282,1.730026,0.705223,0.648532,test
48,0.00031927,0.994060,0.925347,0.913839,1.780090,0.556093,0.483455,test
49,0.00031086,1.007207,0.913729,0.901060,1.985355,0.383458,0.325827,test
50,0.00030237,1.445085,0.745459,0.720970,2.086006,0.329561,0.252897,test
51,0.00029383,1.012313,0.914530,0.901874,2.015365,0.504743,0.394266,test
52,0.00028522,1.021242,0.907719,0.893282,1.914180,0.462787,0.368279,test
53,0.00027658,1.056242,0.889022,0.871681,2.061446,0.358006,0.284051,test
54,0.00026790,1.009691,0.907897,0.894590,1.822975,0.504046,0.470373,test
55,0.00025921,1.043841,0.890002,0.875294,2.368788,0.322441,0.225875,test
56,0.00025050,1.001787,0.909500,0.896410,1.781887,0.488457,0.445766,test
57,0.00024179,1.014682,0.900686,0.886180,2.611761,0.354632,0.239926,test
58,0.00023310,1.042491,0.886485,0.869843,1.702177,0.587338,0.558174,test
59,0.00022442,0.969034,0.918002,0.904671,1.590669,0.678184,0.653811,test
60,0.00021578,0.981043,0.913194,0.899281,1.850205,0.576125,0.530222,test
61,0.00020717,0.968086,0.913595,0.898755,1.713379,0.583778,0.574877,test
62,0.00019863,0.961928,0.914797,0.900023,2.348728,0.377723,0.271820,test
63,0.00019014,0.962194,0.913729,0.899044,1.964031,0.348870,0.273702,test
64,0.00018173,0.951593,0.915465,0.901243,2.106095,0.383546,0.295616,test
65,0.00017340,0.942231,0.919783,0.907055,1.737905,0.560056,0.538171,test
66,0.00016517,0.949606,0.917780,0.905498,1.868785,0.551179,0.469525,test
67,0.00015704,1.017643,0.888355,0.871998,1.660620,0.538039,0.491391,test
68,0.00014902,0.931842,0.919471,0.906435,1.760055,0.588661,0.558635,test
69,0.00014113,0.936678,0.919204,0.905784,1.706246,0.606745,0.556726,test
70,0.00013337,0.918850,0.924546,0.911699,1.978934,0.471855,0.433119,test
71,0.00012575,0.919313,0.925214,0.913004,1.778276,0.581132,0.566963,test
72,0.00011829,0.920717,0.924012,0.911024,1.588746,0.664548,0.641586,test
73,0.00011098,0.909196,0.922498,0.912279,2.061703,0.421482,0.384014,test
