epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000050,3.102978,0.060452,0.030176,2.847921,0.189453,0.169162,test
2,0.00005045,1.509110,0.692842,0.646869,1.110422,0.836578,0.803763,test
3,0.00010040,0.913768,0.922810,0.913968,0.815072,0.958044,0.952204,test
4,0.00015035,0.773677,0.960604,0.954614,0.754752,0.962989,0.957899,test
5,0.00020030,0.737198,0.966480,0.961578,0.727899,0.972816,0.967837,test
6,0.00025025,0.717053,0.971688,0.966140,0.725723,0.967241,0.961186,test
7,0.00030020,0.708472,0.972222,0.966536,0.712376,0.970517,0.965421,test
8,0.00035015,0.701875,0.975427,0.969815,0.712705,0.967179,0.960360,test
9,0.00040010,0.698098,0.977698,0.972179,0.706302,0.968502,0.963071,test
10,0.00045005,0.697962,0.975962,0.970407,0.711595,0.969825,0.963839,test
11,0.00050000,0.696010,0.977965,0.972381,0.718819,0.968502,0.963063,test
12,0.00049985,0.715305,0.970887,0.965290,0.706575,0.969194,0.964091,test
13,0.00049939,0.697473,0.976362,0.970743,0.721607,0.965918,0.961120,test
14,0.00049863,0.699704,0.976229,0.970735,0.717582,0.971147,0.966053,test
15,0.00049757,0.708900,0.975027,0.969381,0.712081,0.966549,0.961798,test
16,0.00049621,0.701635,0.977431,0.971909,0.721136,0.968848,0.962789,test
17,0.00049455,0.720190,0.970130,0.965754,1.307750,0.711640,0.666292,test
18,0.00049259,0.754301,0.958333,0.952585,0.718189,0.969825,0.964422,test
19,0.00049033,0.712618,0.974359,0.968679,0.733421,0.968218,0.963431,test
20,0.00048779,0.733972,0.969418,0.963725,0.721612,0.972470,0.968040,test
21,0.00048495,0.722289,0.974893,0.969285,0.719300,0.975116,0.970343,test
22,0.00048183,0.734192,0.972667,0.968380,0.790735,0.962074,0.956433,test
23,0.00047843,0.781293,0.963542,0.957669,0.765345,0.965918,0.961952,test
24,0.00047475,0.740492,0.975160,0.969609,0.763943,0.970801,0.966399,test
25,0.00047080,0.746462,0.975427,0.969839,0.789043,0.960689,0.956642,test
26,0.00046657,0.765494,0.971688,0.966030,0.814964,0.959429,0.954867,test
27,0.00046209,0.838290,0.952858,0.946883,0.788867,0.969825,0.966105,test
28,0.00045734,0.790507,0.969418,0.963743,1.004556,0.904741,0.890352,test
29,0.00045235,0.802589,0.967815,0.962139,0.835802,0.964942,0.961079,test
30,0.00044711,0.836223,0.956998,0.951094,0.944855,0.940688,0.930806,test
31,0.00044163,0.817721,0.967415,0.961554,0.811815,0.964880,0.959972,test
32,0.00043591,0.867084,0.955796,0.949560,0.864328,0.960974,0.957428,test
33,0.00042998,0.835059,0.965545,0.959680,0.839800,0.963619,0.960176,test
34,0.00042382,0.837566,0.967949,0.962130,0.862355,0.956375,0.951273,test
35,0.00041745,1.358262,0.757256,0.742595,1.406765,0.819295,0.781897,test
36,0.00041088,1.108582,0.885283,0.865294,1.066717,0.938611,0.936833,test
37,0.00040411,0.996115,0.923878,0.911633,1.204241,0.804858,0.771773,test
38,0.00039715,0.947314,0.942174,0.933459,0.990535,0.938451,0.932436,test
39,0.00039002,0.946554,0.942708,0.934649,1.089332,0.911391,0.897067,test
40,0.00038271,0.943664,0.946715,0.938647,0.938634,0.953099,0.949410,test
41,0.00037525,1.005010,0.925525,0.919267,1.419680,0.765708,0.727648,test
42,0.00036763,0.956430,0.938212,0.931406,1.054574,0.934074,0.927439,test
43,0.00035987,0.997523,0.930556,0.921979,1.069883,0.905124,0.892564,test
44,0.00035198,0.972206,0.941640,0.933778,1.067775,0.924185,0.919757,test
45,0.00034396,0.941063,0.948851,0.941013,1.082314,0.895616,0.881762,test
46,0.00033583,0.947958,0.950855,0.943359,0.994485,0.927114,0.920752,test
47,0.00032760,1.049104,0.906829,0.897528,1.024418,0.932405,0.928613,test
48,0.00031927,0.942696,0.948451,0.940722,0.971004,0.949539,0.945116,test
49,0.00031086,1.004073,0.926950,0.917680,1.041962,0.909314,0.898847,test
50,0.00030237,0.947645,0.944712,0.936578,0.953066,0.936312,0.930945,test
51,0.00029383,1.001171,0.919204,0.909950,0.972604,0.937066,0.930909,test
52,0.00028522,0.944506,0.944578,0.935988,0.972593,0.925507,0.921622,test
53,0.00027658,0.928286,0.947650,0.939813,0.953509,0.931083,0.926408,test
54,0.00026790,1.126004,0.881811,0.876662,2.837410,0.289062,0.146134,test
55,0.00025921,2.289992,0.403356,0.286915,1.593341,0.665923,0.609461,test
56,0.00025050,1.067761,0.887954,0.876292,1.183677,0.844329,0.824956,test
57,0.00024179,0.961014,0.935764,0.926814,1.159699,0.832140,0.810854,test
58,0.00023310,0.934366,0.943376,0.935880,0.936850,0.941256,0.937834,test
59,0.00022442,0.912792,0.946181,0.938740,1.005953,0.918387,0.911445,test
60,0.00021578,0.976853,0.914263,0.905022,1.066551,0.873155,0.849245,test
61,0.00020717,0.934531,0.935363,0.926583,0.981187,0.930008,0.919693,test
62,0.00019863,0.907194,0.943777,0.936101,0.997513,0.906607,0.899221,test
63,0.00019014,0.906316,0.943243,0.935185,0.944672,0.929600,0.925363,test
64,0.00018173,0.890116,0.949920,0.942503,0.968447,0.905470,0.887554,test
65,0.00017340,0.904799,0.941106,0.933176,0.961202,0.924815,0.920183,test
66,0.00016517,0.900731,0.941907,0.933651,0.955558,0.946201,0.940406,test
67,0.00015704,0.878427,0.949519,0.942130,0.918948,0.937919,0.934161,test
68,0.00014902,0.871966,0.953259,0.946611,0.892461,0.938611,0.936644,test
69,0.00014113,0.862277,0.953125,0.945622,0.870823,0.955398,0.950893,test
70,0.00013337,0.857345,0.954460,0.947844,0.870748,0.954014,0.950751,test
71,0.00012575,0.865782,0.953793,0.946996,0.849895,0.950738,0.946406,test
72,0.00011829,0.873324,0.948718,0.941518,0.860170,0.959651,0.955657,test
73,0.00011098,0.842888,0.956731,0.950057,0.887679,0.948847,0.945913,test
74,0.00010385,0.863516,0.953259,0.946748,0.868465,0.947116,0.943674,test
75,0.00009689,0.839347,0.956464,0.950060,0.854388,0.947178,0.944204,test
76,0.00009012,0.835769,0.959669,0.953024,0.947398,0.927745,0.922872,test
77,0.00008355,0.832578,0.959802,0.953642,0.834449,0.953730,0.949421,test
78,0.00007718,0.829517,0.960782,0.955961,1.959437,0.520652,0.476080,test
79,0.00007102,0.880148,0.941373,0.935383,0.889291,0.949885,0.945442,test
80,0.00006509,0.835903,0.957265,0.950564,0.844143,0.943556,0.939694,test
81,0.00005937,0.815937,0.962607,0.956254,0.832293,0.959305,0.956244,test
82,0.00005389,0.817324,0.963542,0.957615,0.846201,0.959997,0.956398,test
83,0.00004865,0.812946,0.964877,0.958768,0.832129,0.951084,0.946253,test
84,0.00004366,0.811338,0.964387,0.959561,0.871144,0.957760,0.953700,test
85,0.00003891,0.809492,0.965812,0.960127,0.851186,0.955398,0.952495,test
86,0.00003443,0.809527,0.965946,0.960096,0.823328,0.960343,0.956462,test
87,0.00003020,0.799346,0.968216,0.962457,0.817752,0.961320,0.956965,test
88,0.00002625,0.799412,0.968082,0.962216,0.843032,0.949539,0.945851,test
89,0.00002257,0.797343,0.969284,0.963278,0.813492,0.959997,0.956551,test
90,0.00001917,0.795578,0.967014,0.960989,0.808720,0.958674,0.954687,test
91,0.00001605,0.794507,0.968349,0.962472,0.814905,0.959997,0.956185,test
92,0.00001321,0.793033,0.968616,0.962637,0.809999,0.959651,0.955442,test
93,0.00001067,0.790897,0.967949,0.962001,0.808143,0.961320,0.957559,test
94,0.00000841,0.790958,0.969418,0.963499,0.808214,0.961320,0.957013,test
95,0.00000645,0.790202,0.968082,0.962029,0.807348,0.958674,0.954687,test
96,0.00000479,0.789818,0.970219,0.964470,0.806714,0.958674,0.954697,test
97,0.00000343,0.788227,0.969551,0.963752,0.806393,0.958674,0.954687,test
98,0.00000237,0.787976,0.970085,0.964217,0.806251,0.962643,0.958710,test
99,0.00000161,0.787816,0.969685,0.963911,0.805595,0.959651,0.956328,test
100,0.00000115,0.787494,0.969818,0.964032,0.805252,0.958674,0.954697,test
