epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000050,3.176448,0.137776,0.133817,3.404615,0.037109,0.006850,test
2,0.00005045,2.139392,0.450321,0.345126,2.963069,0.031152,0.019353,test
3,0.00010040,1.444143,0.711850,0.672888,2.891486,0.154328,0.104208,test
4,0.00015035,1.131962,0.833868,0.815365,2.972534,0.070969,0.065633,test
5,0.00020030,0.949087,0.906384,0.895297,3.020091,0.061389,0.046821,test
6,0.00025025,0.885523,0.921074,0.912055,2.940214,0.076322,0.071286,test
7,0.00030020,0.845893,0.932826,0.924316,2.938015,0.070178,0.061447,test
8,0.00035015,0.802142,0.945112,0.937451,2.993681,0.068571,0.059847,test
9,0.00040010,0.789953,0.950454,0.943459,2.867660,0.087250,0.074538,test
10,0.00045005,0.783405,0.949519,0.942679,2.854859,0.087312,0.070599,test
11,0.00050000,0.802884,0.941907,0.934276,2.698169,0.100984,0.089834,test
12,0.00049985,0.755970,0.958868,0.951819,2.856382,0.091849,0.078788,test
13,0.00049939,0.757374,0.958511,0.953242,2.799366,0.078683,0.067533,test
14,0.00049863,0.765326,0.956197,0.949291,2.865576,0.082935,0.073759,test
15,0.00049757,0.778560,0.949653,0.942857,2.724479,0.090242,0.074768,test
16,0.00049621,0.780905,0.949252,0.941937,2.720050,0.081329,0.070184,test
17,0.00049455,0.752334,0.960203,0.953352,3.012712,0.065802,0.058074,test
18,0.00049259,0.766364,0.959001,0.952519,2.793120,0.072700,0.068344,test
19,0.00049033,0.765050,0.959313,0.953900,3.096543,0.083850,0.078812,test
20,0.00048779,0.871358,0.932292,0.924487,2.895198,0.067533,0.059241,test
21,0.00048495,0.773277,0.958066,0.951210,2.908585,0.063725,0.063197,test
22,0.00048183,0.787333,0.957666,0.950645,2.938104,0.071315,0.071295,test
23,0.00047843,0.791577,0.955929,0.948454,2.928614,0.074715,0.064970,test
24,0.00047475,0.819440,0.947917,0.940313,3.021819,0.052476,0.047376,test
25,0.00047080,0.822196,0.948718,0.941155,2.944759,0.054429,0.049574,test
26,0.00046657,0.806092,0.958600,0.951670,3.052311,0.072477,0.061846,test
27,0.00046209,0.894887,0.930021,0.922102,2.941830,0.060351,0.051730,test
28,0.00045734,0.881830,0.936165,0.927093,3.034008,0.046839,0.042758,test
29,0.00045235,0.836407,0.952457,0.944984,2.960961,0.052006,0.045845,test
30,0.00044711,0.871423,0.942708,0.934625,3.041632,0.046777,0.040959,test
31,0.00044163,0.871715,0.943510,0.934743,3.058650,0.039533,0.032130,test
32,0.00043591,0.919745,0.931490,0.922934,3.048446,0.058744,0.049844,test
33,0.00042998,1.000907,0.907452,0.897465,2.965774,0.029705,0.024026,test
34,0.00042382,0.902570,0.942308,0.933893,3.009637,0.036887,0.029429,test
35,0.00041745,0.940997,0.934295,0.924805,2.965325,0.033265,0.025280,test
36,0.00041088,0.943066,0.934295,0.924984,2.928105,0.034872,0.025685,test
37,0.00040411,0.955164,0.934829,0.925549,2.915477,0.037518,0.031049,test
38,0.00039715,1.034619,0.904380,0.893344,2.908562,0.033327,0.026759,test
39,0.00039002,1.121913,0.873264,0.861155,2.603744,0.343750,0.327524,test
40,0.00038271,0.969092,0.930823,0.920305,2.722363,0.297123,0.321298,test
41,0.00037525,1.009361,0.921608,0.910459,2.765073,0.180034,0.230030,test
42,0.00036763,1.022596,0.915109,0.904624,2.659763,0.307741,0.325611,test
43,0.00035987,0.988434,0.928686,0.916542,2.814850,0.039125,0.036225,test
44,0.00035198,1.055404,0.903579,0.890651,2.743540,0.152690,0.203579,test
45,0.00034396,1.022868,0.913595,0.900711,2.730706,0.310547,0.309730,test
46,0.00033583,1.050107,0.903089,0.891853,2.625511,0.353516,0.255268,test
47,0.00032760,1.030827,0.913373,0.901325,2.735909,0.148784,0.200033,test
48,0.00031927,1.055452,0.904514,0.888837,2.705590,0.306987,0.317139,test
49,0.00031086,0.999232,0.923210,0.909246,2.745220,0.320659,0.335025,test
50,0.00030237,1.049315,0.903713,0.888713,2.841531,0.070659,0.100421,test
51,0.00029383,1.016779,0.914708,0.902770,2.683183,0.309917,0.317511,test
52,0.00028522,0.993627,0.925481,0.912054,2.750291,0.305034,0.325991,test
53,0.00027658,0.994985,0.923878,0.909994,2.598939,0.304688,0.309224,test
54,0.00026790,1.054691,0.900418,0.886211,2.764107,0.043315,0.050978,test
55,0.00025921,1.078864,0.886930,0.871522,2.548691,0.310547,0.284694,test
56,0.00025050,0.978697,0.924412,0.910321,2.682628,0.312846,0.334087,test
57,0.00024179,0.993398,0.919204,0.904848,2.722867,0.311523,0.313498,test
58,0.00023310,1.048425,0.896100,0.881966,2.544652,0.356507,0.357803,test
59,0.00022442,0.980562,0.921118,0.908864,2.867518,0.071289,0.056635,test
60,0.00021578,1.035651,0.897169,0.882301,2.422197,0.348979,0.269596,test
61,0.00020717,0.973739,0.917067,0.903836,2.635090,0.325542,0.341955,test
62,0.00019863,0.959191,0.926282,0.913710,2.577453,0.306987,0.302065,test
63,0.00019014,0.991286,0.913729,0.900184,2.572096,0.350302,0.351221,test
64,0.00018173,0.962411,0.918269,0.904618,2.669671,0.335307,0.349241,test
65,0.00017340,0.931598,0.929621,0.917143,2.964224,0.061523,0.046148,test
66,0.00016517,0.917495,0.933494,0.921141,2.585811,0.186611,0.227357,test
67,0.00015704,0.962166,0.919516,0.908881,2.551192,0.331055,0.255904,test
68,0.00014902,0.978642,0.909722,0.896590,2.721748,0.114258,0.162820,test
69,0.00014113,0.942462,0.927083,0.915067,2.617590,0.206463,0.253250,test
70,0.00013337,0.902459,0.937366,0.926008,2.774832,0.137065,0.191406,test
71,0.00012575,0.905560,0.936832,0.924987,2.952817,0.026367,0.014051,test
72,0.00011829,0.893671,0.936966,0.925665,3.118440,0.068359,0.048486,test
73,0.00011098,0.895281,0.938702,0.928681,2.952509,0.027406,0.020262,test
74,0.00010385,0.894528,0.939236,0.928573,2.744149,0.143963,0.172706,test
75,0.00009689,0.879240,0.940839,0.930806,2.812675,0.039062,0.047965,test
76,0.00009012,0.895924,0.937099,0.926696,3.025166,0.024414,0.016258,test
77,0.00008355,0.882377,0.941907,0.932287,2.772770,0.071005,0.101714,test
78,0.00007718,0.866881,0.943688,0.935072,3.029414,0.150391,0.172475,test
79,0.00007102,0.888454,0.937767,0.928548,3.147825,0.028320,0.014602,test
80,0.00006509,0.865241,0.946715,0.937676,2.913111,0.065146,0.051043,test
81,0.00005937,0.854424,0.946848,0.937581,2.844744,0.026083,0.019290,test
82,0.00005389,0.852992,0.948451,0.939909,2.866692,0.024760,0.018902,test
83,0.00004865,0.846963,0.949386,0.940785,3.179844,0.034180,0.025996,test
84,0.00004366,0.841189,0.950499,0.943622,2.914018,0.030051,0.023713,test
85,0.00003891,0.846741,0.947783,0.939284,2.918175,0.025737,0.015807,test
86,0.00003443,0.838094,0.951656,0.943185,2.927663,0.025106,0.018211,test
87,0.00003020,0.833355,0.952324,0.944093,2.943327,0.025106,0.018123,test
88,0.00002625,0.832497,0.951656,0.943553,2.861693,0.028729,0.022933,test
89,0.00002257,0.830772,0.952457,0.944128,2.960245,0.026083,0.019329,test
90,0.00001917,0.827124,0.956197,0.948791,3.088181,0.023784,0.016181,test
91,0.00001605,0.823492,0.956464,0.948671,3.011609,0.025106,0.018216,test
92,0.00001321,0.822762,0.956197,0.948552,3.052795,0.022807,0.014756,test
93,0.00001067,0.820500,0.957532,0.950000,3.007215,0.026083,0.019329,test
94,0.00000841,0.817883,0.956464,0.949094,2.972277,0.026083,0.019418,test
95,0.00000645,0.816991,0.957666,0.950337,3.027915,0.025106,0.018214,test
96,0.00000479,0.816971,0.956330,0.948488,3.008074,0.025106,0.018214,test
97,0.00000343,0.815099,0.957265,0.949838,3.049736,0.025106,0.018212,test
98,0.00000237,0.814509,0.957131,0.949600,3.024356,0.025106,0.018132,test
99,0.00000161,0.813903,0.957666,0.950353,3.036619,0.025106,0.018211,test
100,0.00000115,0.813676,0.957265,0.950016,3.036922,0.025106,0.018211,test
