epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,2.657329,0.320911,2.303173,0.429966,val
2,0.00010090,1.151389,0.837119,0.859335,0.934239,val
3,0.00020080,0.793714,0.957399,0.752243,0.955685,val
4,0.00030070,0.717190,0.977679,0.682338,0.989216,val
5,0.00040060,0.680865,0.986012,0.691792,0.981404,val
6,0.00050050,0.674486,0.989435,0.697912,0.981159,val
7,0.00060040,0.676945,0.989881,0.689365,0.983885,val
8,0.00070030,0.667592,0.990923,0.659508,0.987792,val
9,0.00080020,0.654024,0.990923,0.708846,0.975950,val
10,0.00090010,0.651736,0.992220,0.771294,0.942541,val
11,0.00100000,0.695408,0.982994,0.685623,0.985187,val
12,0.00099846,0.658262,0.990774,0.680473,0.982338,val
13,0.00099385,0.642139,0.995238,0.670217,0.982338,val
14,0.00098620,0.634605,0.997024,0.672030,0.985187,val
15,0.00097555,0.634662,0.997024,0.668200,0.981036,val
16,0.00096198,0.627021,0.999554,0.682969,0.979857,val
17,0.00094556,0.626125,0.999554,0.668879,0.982583,val
18,0.00092639,0.659853,0.987054,0.701657,0.974648,val
19,0.00090460,0.669049,0.986012,0.673274,0.981281,val
20,0.00088032,0.632463,0.997768,0.649490,0.987914,val
21,0.00085370,0.626176,0.999851,0.661028,0.983885,val
22,0.00082490,0.623735,0.999851,0.652969,0.989094,val
23,0.00079410,0.622993,1.000000,0.661647,0.985187,val
24,0.00076149,0.622415,1.000000,0.661653,0.986490,val
25,0.00072727,0.622442,1.000000,0.658704,0.986490,val
26,0.00069165,0.622068,1.000000,0.663163,0.985187,val
27,0.00065485,0.622058,1.000000,0.658734,0.986490,val
28,0.00061711,0.621980,1.000000,0.659331,0.987792,val
29,0.00057864,0.621802,1.000000,0.658233,0.987792,val
30,0.00053969,0.621812,1.000000,0.659042,0.987792,val
31,0.00050050,0.621745,1.000000,0.659031,0.987792,val
32,0.00046131,0.621732,1.000000,0.659732,0.986490,val
33,0.00042236,0.621610,1.000000,0.658693,0.987792,val
34,0.00038389,0.621714,1.000000,0.656259,0.987792,val
35,0.00034615,0.621850,1.000000,0.659651,0.987792,val
36,0.00030935,0.621684,1.000000,0.655361,0.987792,val
37,0.00027373,0.621645,1.000000,0.658289,0.987792,val
38,0.00023951,0.621548,1.000000,0.662988,0.986490,val
39,0.00020690,0.621631,1.000000,0.669494,0.985187,val
40,0.00017610,0.621570,1.000000,0.664285,0.985187,val
41,0.00014730,0.621626,1.000000,0.664537,0.985187,val
42,0.00012068,0.621552,1.000000,0.665475,0.985187,val
43,0.00009640,0.621602,1.000000,0.664544,0.986490,val
44,0.00007461,0.621516,1.000000,0.666718,0.985187,val
45,0.00005544,0.621477,1.000000,0.665609,0.985187,val
46,0.00003902,0.621454,1.000000,0.666836,0.985187,val
47,0.00002545,0.621463,1.000000,0.666046,0.985187,val
48,0.00001480,0.621461,1.000000,0.666501,0.985187,val
49,0.00000715,0.621466,1.000000,0.666506,0.985187,val
50,0.00000254,0.621507,1.000000,0.666342,0.985187,val
