epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,3.212030,0.029440,3.223152,0.017539,val
2,0.00200800,1.973163,0.507196,3.228620,0.157808,val
3,0.00400600,0.972669,0.704405,3.081449,0.569912,val
4,0.00600400,0.413110,0.879274,16.183276,0.318710,val
5,0.00800200,0.236809,0.931845,167.403305,0.020266,val
6,0.01000000,0.181662,0.950000,19.447854,0.217993,val
7,0.00998783,0.089734,0.974065,0.114440,0.970375,val
8,0.00995139,0.071551,0.977530,0.467418,0.938513,val
9,0.00989085,0.061868,0.981845,0.078476,0.978310,val
10,0.00980650,0.050739,0.985119,0.057681,0.979734,val
11,0.00969876,0.035514,0.988988,0.035419,0.993245,val
12,0.00956816,0.024172,0.993452,0.160082,0.978187,val
13,0.00941532,0.012721,0.996726,0.019235,0.994669,val
14,0.00924100,0.011793,0.997768,0.035884,0.990396,val
15,0.00904604,0.009186,0.997280,0.227870,0.975461,val
16,0.00883139,0.008178,0.998065,0.053119,0.986734,val
17,0.00859810,0.003188,0.999702,0.030453,0.991820,val
18,0.00834731,0.001543,0.999851,0.042058,0.991820,val
19,0.00808023,0.001743,0.999851,0.026246,0.991820,val
20,0.00779817,0.001665,0.999851,0.026579,0.993122,val
21,0.00750250,0.001550,0.999702,0.015054,0.994547,val
22,0.00719466,0.000796,1.000000,0.022940,0.993122,val
23,0.00687616,0.000898,1.000000,0.021474,0.994424,val
24,0.00654854,0.001031,0.999702,0.022278,0.994547,val
25,0.00621340,0.001982,0.999554,0.025058,0.994424,val
26,0.00587237,0.000686,1.000000,0.023598,0.994424,val
27,0.00552712,0.000473,1.000000,0.021517,0.994424,val
28,0.00517932,0.000467,1.000000,0.021574,0.994424,val
29,0.00483068,0.000311,1.000000,0.022749,0.994424,val
30,0.00448288,0.000632,0.999851,0.025041,0.994424,val
31,0.00413763,0.000318,1.000000,0.024434,0.994424,val
32,0.00379660,0.000657,0.999851,0.023261,0.993245,val
33,0.00346146,0.000311,1.000000,0.022093,0.994424,val
34,0.00313384,0.000312,1.000000,0.023717,0.994424,val
35,0.00281534,0.000454,1.000000,0.023278,0.994424,val
36,0.00250750,0.000502,0.999851,0.023056,0.994424,val
37,0.00221183,0.000418,1.000000,0.023621,0.991820,val
38,0.00192977,0.000319,1.000000,0.024491,0.991820,val
39,0.00166269,0.000342,1.000000,0.022856,0.994424,val
40,0.00141190,0.000343,1.000000,0.023364,0.993122,val
41,0.00117861,0.000474,0.999851,0.026498,0.991820,val
42,0.00096396,0.000277,1.000000,0.027417,0.991820,val
43,0.00076900,0.000256,1.000000,0.027378,0.991820,val
44,0.00059468,0.000252,1.000000,0.027064,0.991820,val
45,0.00044184,0.000251,1.000000,0.027696,0.991820,val
46,0.00031124,0.000203,1.000000,0.026988,0.991820,val
47,0.00020350,0.000397,0.999851,0.027500,0.991820,val
48,0.00011915,0.000313,1.000000,0.027434,0.991820,val
49,0.00005861,0.000248,1.000000,0.026706,0.991820,val
50,0.00002217,0.000364,1.000000,0.027368,0.991820,val
