epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.214433,0.436446,1.774359,0.549156,val
2,0.02008000,0.325493,0.918708,0.075231,0.975706,val
3,0.04006000,0.258211,0.931167,0.140177,0.957109,val
4,0.06004000,0.133827,0.965583,0.144374,0.955440,val
5,0.08002000,0.142822,0.961905,0.103194,0.962318,val
6,0.10000000,0.078078,0.975893,0.080038,0.978310,val
7,0.09987821,0.077408,0.977232,0.131940,0.960771,val
8,0.09951345,0.061200,0.982143,0.078676,0.972857,val
9,0.09890749,0.060000,0.981804,0.074899,0.975583,val
10,0.09806328,0.055459,0.984524,0.062945,0.978310,val
11,0.09698493,0.047273,0.986905,0.109748,0.974281,val
12,0.09567771,0.060508,0.983440,0.069541,0.975583,val
13,0.09414796,0.063759,0.981655,0.073966,0.973101,val
14,0.09240316,0.066125,0.980357,0.094111,0.972979,val
15,0.09045180,0.058695,0.983185,0.152608,0.924513,val
16,0.08830339,0.049273,0.986607,0.090508,0.974526,val
17,0.08596839,0.048295,0.986607,0.069389,0.974404,val
18,0.08345818,0.050193,0.985863,0.073952,0.975583,val
19,0.08078500,0.045317,0.987798,0.067675,0.975706,val
20,0.07796185,0.042438,0.988095,0.070281,0.975583,val
21,0.07500250,0.057183,0.984673,0.068681,0.978555,val
22,0.07192137,0.046991,0.986821,0.067855,0.975706,val
23,0.06873346,0.046770,0.987649,0.053850,0.978310,val
24,0.06545430,0.046541,0.987351,0.063172,0.978310,val
25,0.06209989,0.046772,0.987202,0.121027,0.963252,val
26,0.05868654,0.049878,0.985268,0.073653,0.974159,val
27,0.05523090,0.051509,0.986673,0.058536,0.982461,val
28,0.05174980,0.040444,0.988988,0.056835,0.981036,val
29,0.04826020,0.038495,0.989286,0.052956,0.982461,val
30,0.04477910,0.039612,0.989286,0.050205,0.981036,val
31,0.04132346,0.038885,0.989137,0.055619,0.981036,val
32,0.03791011,0.038516,0.989137,0.049245,0.982461,val
33,0.03455570,0.038420,0.989137,0.050990,0.982461,val
34,0.03127654,0.036979,0.989244,0.052050,0.982461,val
35,0.02808863,0.036865,0.989435,0.049171,0.982461,val
36,0.02500750,0.036276,0.989435,0.060614,0.982461,val
37,0.02204815,0.037326,0.989435,0.047911,0.982461,val
38,0.01922500,0.036362,0.989435,0.049612,0.982461,val
39,0.01655182,0.036897,0.989393,0.054289,0.982461,val
40,0.01404161,0.035892,0.989435,0.048473,0.982461,val
41,0.01170661,0.036150,0.989435,0.058528,0.982461,val
42,0.00955820,0.036183,0.989435,0.051563,0.981036,val
43,0.00760684,0.036010,0.989435,0.051270,0.981036,val
44,0.00586204,0.035540,0.989435,0.049001,0.982461,val
45,0.00433229,0.035674,0.989435,0.051864,0.982461,val
46,0.00302507,0.035912,0.989435,0.049673,0.982461,val
47,0.00194672,0.035543,0.989435,0.049697,0.982461,val
48,0.00110251,0.035353,0.989435,0.050709,0.982461,val
49,0.00049655,0.035183,0.989435,0.051347,0.981036,val
50,0.00013179,0.035176,0.989435,0.051877,0.981036,val
