epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.075047,0.476470,1.277665,0.718361,val
2,0.01004000,4.670173,0.415274,1.817268,0.638967,val
3,0.02003000,2.047351,0.505006,1.485460,0.601162,val
4,0.03002000,1.878249,0.515423,1.456564,0.595831,val
5,0.04001000,1.601902,0.593845,1.441779,0.664441,val
6,0.05000000,1.319516,0.650923,1.097911,0.731749,val
7,0.04993911,0.976894,0.730083,0.450684,0.852241,val
8,0.04975675,0.605028,0.828619,0.359237,0.884838,val
9,0.04945380,0.486146,0.865821,2.224671,0.525229,val
10,0.04903174,0.453401,0.877083,0.189142,0.939570,val
11,0.04849262,0.326835,0.906845,0.180096,0.939815,val
12,0.04783907,0.269259,0.921131,0.140299,0.950476,val
13,0.04707428,0.209664,0.936970,0.141655,0.961138,val
14,0.04620196,0.156396,0.953786,0.089875,0.966346,val
15,0.04522638,0.153326,0.952976,0.121109,0.962195,val
16,0.04415228,0.130983,0.958887,0.099804,0.965044,val
17,0.04298490,0.113089,0.964583,0.135190,0.955685,val
18,0.04172992,0.148315,0.956548,0.115514,0.962195,val
19,0.04039346,0.114331,0.963500,0.115549,0.963742,val
20,0.03898203,0.099700,0.968113,0.091974,0.967281,val
21,0.03750250,0.087308,0.971387,0.097882,0.971554,val
22,0.03596209,0.079950,0.973810,0.102938,0.965167,val
23,0.03436829,0.085593,0.973363,0.085809,0.966469,val
24,0.03272888,0.080706,0.973214,0.107068,0.973101,val
25,0.03105184,0.075620,0.975065,0.084131,0.967648,val
26,0.02934534,0.065363,0.979315,0.076294,0.968950,val
27,0.02761769,0.072635,0.976637,0.069832,0.972979,val
28,0.02587731,0.062562,0.979018,0.074892,0.968950,val
29,0.02413269,0.060920,0.980720,0.075956,0.970375,val
30,0.02239231,0.062546,0.980804,0.078360,0.968828,val
31,0.02066466,0.056626,0.981845,0.081666,0.972857,val
32,0.01895816,0.053372,0.983036,0.081942,0.974281,val
33,0.01728112,0.051743,0.983185,0.077275,0.974404,val
34,0.01564171,0.052843,0.984185,0.070119,0.975706,val
35,0.01404791,0.053423,0.983143,0.073828,0.977008,val
36,0.01250750,0.047391,0.985631,0.075555,0.972857,val
37,0.01102797,0.046986,0.985268,0.070390,0.972857,val
38,0.00961654,0.044800,0.985821,0.077580,0.974281,val
39,0.00828008,0.044318,0.985970,0.069895,0.972979,val
40,0.00702510,0.042668,0.986756,0.075935,0.972979,val
41,0.00585772,0.041773,0.987351,0.080024,0.972979,val
42,0.00478362,0.042813,0.987310,0.078188,0.974404,val
43,0.00380804,0.041707,0.987946,0.069671,0.974281,val
44,0.00293572,0.040183,0.987946,0.082741,0.974404,val
45,0.00217093,0.039540,0.988054,0.071470,0.971677,val
46,0.00151738,0.040753,0.987649,0.070247,0.972979,val
47,0.00097826,0.038557,0.988244,0.069596,0.974281,val
48,0.00055620,0.039249,0.988351,0.071539,0.972979,val
49,0.00025325,0.039148,0.987946,0.070524,0.972979,val
50,0.00007089,0.040232,0.987649,0.072116,0.974281,val
