epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.546403,0.213668,3.106746,0.071143,val
2,0.01004000,1.804066,0.384085,2.028512,0.352951,val
3,0.02003000,1.606372,0.448252,2.127944,0.350964,val
4,0.03002000,1.489170,0.487590,2.267335,0.376633,val
5,0.04001000,1.396682,0.519477,1.753654,0.470084,val
6,0.05000000,1.332820,0.545155,1.836928,0.491534,val
7,0.04998633,1.252613,0.571724,1.554304,0.525493,val
8,0.04994535,1.191020,0.594003,1.783268,0.485668,val
9,0.04987710,1.139831,0.611536,1.959223,0.475977,val
10,0.04978165,1.102789,0.624216,1.590958,0.538219,val
11,0.04965910,1.072354,0.633807,1.335056,0.598582,val
12,0.04950960,1.047709,0.641757,1.457165,0.575185,val
13,0.04933330,1.023760,0.649616,1.449395,0.586972,val
14,0.04913040,1.005434,0.655948,1.390254,0.587326,val
15,0.04890111,0.985076,0.662467,1.643586,0.559778,val
16,0.04864570,0.966472,0.670319,1.409158,0.613540,val
17,0.04836444,0.955989,0.672296,1.410819,0.617909,val
18,0.04805763,0.940567,0.677737,1.601060,0.555450,val
19,0.04772562,0.928221,0.681454,1.383933,0.625436,val
20,0.04736876,0.913900,0.686683,1.439200,0.590211,val
21,0.04698745,0.902368,0.691405,1.522530,0.586550,val
22,0.04658210,0.892834,0.693644,1.761977,0.553422,val
23,0.04615315,0.880960,0.697525,1.346891,0.636977,val
24,0.04570108,0.869304,0.701626,1.598482,0.604720,val
25,0.04522638,0.866051,0.704028,1.442148,0.629832,val
26,0.04472957,0.855407,0.704216,1.414000,0.656849,val
27,0.04421119,0.840034,0.711111,1.574514,0.577771,val
28,0.04367180,0.837573,0.713015,1.543922,0.584182,val
29,0.04311201,0.828143,0.715482,1.308132,0.640258,val
30,0.04253241,0.818119,0.718342,1.272146,0.665886,val
31,0.04193365,0.811991,0.720114,1.359722,0.654589,val
32,0.04131638,0.800321,0.724592,1.570740,0.628049,val
33,0.04068127,0.796505,0.724967,1.267810,0.646423,val
34,0.04002902,0.786449,0.728317,1.331737,0.633779,val
35,0.03936034,0.780480,0.731193,1.469156,0.629628,val
36,0.03867597,0.769035,0.735000,1.390644,0.640992,val
37,0.03797664,0.763119,0.736806,1.418776,0.657761,val
38,0.03726314,0.755806,0.739126,1.535173,0.630567,val
39,0.03653622,0.748312,0.741136,1.545322,0.639318,val
40,0.03579670,0.741733,0.742247,1.364927,0.660034,val
41,0.03504538,0.731995,0.746961,1.636215,0.603645,val
