epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.589827,0.163526,2.720860,0.168295,val
2,0.02008000,1.954300,0.338796,2.574409,0.291499,val
3,0.04006000,1.750890,0.392786,1.949503,0.346608,val
4,0.06004000,1.675398,0.417348,2.623909,0.239547,val
5,0.08002000,1.639330,0.431709,1.834850,0.381615,val
6,0.10000000,1.628418,0.438132,1.879421,0.385562,val
7,0.09997267,1.595658,0.447907,1.687376,0.443271,val
8,0.09989069,1.576231,0.454698,2.736943,0.304824,val
9,0.09975417,1.559639,0.461739,1.793924,0.405774,val
10,0.09956325,1.539314,0.469808,2.100539,0.355074,val
11,0.09931813,1.523842,0.472866,1.909913,0.380186,val
12,0.09901910,1.515782,0.477393,2.182250,0.329377,val
13,0.09866646,1.503860,0.480347,1.754349,0.436779,val
14,0.09826062,1.493847,0.485551,1.730400,0.449613,val
15,0.09780201,1.482176,0.489417,1.768403,0.419697,val
16,0.09729113,1.466035,0.497119,2.056165,0.361770,val
17,0.09672855,1.455348,0.497707,1.496216,0.535918,val
18,0.09611488,1.453539,0.501294,1.768663,0.447449,val
19,0.09545078,1.443494,0.503572,1.614699,0.465933,val
20,0.09473699,1.432570,0.505101,2.446445,0.368603,val
21,0.09397429,1.425408,0.508702,1.567587,0.491071,val
22,0.09316351,1.421486,0.512347,1.942244,0.399744,val
23,0.09230553,1.407008,0.518844,1.765629,0.445421,val
24,0.09140130,1.399735,0.520505,1.628386,0.481653,val
25,0.09045180,1.390405,0.524386,2.533444,0.211155,val
26,0.08945808,1.383393,0.525606,1.897085,0.446361,val
27,0.08842121,1.376596,0.528149,2.329204,0.402807,val
28,0.08734234,1.369493,0.530765,1.640915,0.475868,val
29,0.08622264,1.354945,0.532926,1.759727,0.457045,val
30,0.08506333,1.355183,0.535278,1.662308,0.462965,val
31,0.08386569,1.346756,0.540466,2.189073,0.331119,val
32,0.08263103,1.335765,0.543553,1.539458,0.490132,val
33,0.08136068,1.327304,0.546522,1.673091,0.486444,val
34,0.08005605,1.327040,0.547963,1.633544,0.452513,val
35,0.07871856,1.312744,0.552490,1.709707,0.480197,val
36,0.07734967,1.300215,0.555371,2.196444,0.401146,val
37,0.07595088,1.295642,0.556371,1.618374,0.468723,val
38,0.07452372,1.282552,0.560957,1.466118,0.540805,val
39,0.07306975,1.277533,0.566513,1.485719,0.547528,val
40,0.07159056,1.264428,0.569350,1.589902,0.480373,val
41,0.07008776,1.254841,0.571510,1.397897,0.546521,val
42,0.06856301,1.243671,0.576890,1.463328,0.549066,val
43,0.06701796,1.234721,0.579639,2.579667,0.347820,val
44,0.06545430,1.229038,0.581697,2.395011,0.297746,val
45,0.06387376,1.215094,0.587591,1.556147,0.523751,val
46,0.06227805,1.206102,0.590678,1.771557,0.457671,val
47,0.06066892,1.188782,0.597366,1.514972,0.546766,val
48,0.05904812,1.183722,0.595911,1.576140,0.493794,val
49,0.05741744,1.170922,0.601643,1.358277,0.551897,val
50,0.05577865,1.158029,0.606259,1.342207,0.600079,val
51,0.05413355,1.149261,0.609640,1.503424,0.541948,val
52,0.05248394,1.133257,0.613109,1.591866,0.480442,val
53,0.05083161,1.121675,0.619003,1.758558,0.504124,val
54,0.04917839,1.104898,0.622295,1.331438,0.592239,val
55,0.04752606,1.094179,0.629660,1.732214,0.507881,val
56,0.04587645,1.076512,0.633055,1.340266,0.598378,val
57,0.04423135,1.068522,0.636700,1.328915,0.601794,val
58,0.04259256,1.057202,0.640243,1.384684,0.591300,val
59,0.04096188,1.028637,0.650062,1.356742,0.592906,val
60,0.03934108,1.020913,0.651884,1.461125,0.570095,val
61,0.03773195,1.010283,0.655397,1.680927,0.482184,val
62,0.03613624,0.994153,0.658955,1.520616,0.556838,val
63,0.03455570,0.974919,0.667774,1.615179,0.539757,val
64,0.03299204,0.965574,0.669641,1.392765,0.574668,val
65,0.03144699,0.942665,0.676505,1.457640,0.559601,val
66,0.02992224,0.925405,0.683414,1.398444,0.572708,val
67,0.02841944,0.911339,0.686824,1.196273,0.654031,val
68,0.02694025,0.888937,0.694247,1.902764,0.452472,val
69,0.02548628,0.879160,0.699289,1.425734,0.574491,val
70,0.02405912,0.859600,0.703816,1.322168,0.622400,val
71,0.02266033,0.837283,0.708975,1.361934,0.613826,val
72,0.02129144,0.818223,0.719206,1.421547,0.587040,val
73,0.01995395,0.799593,0.723630,1.286174,0.643783,val
74,0.01864932,0.780955,0.729965,1.343453,0.611798,val
75,0.01737897,0.759084,0.737462,1.370331,0.614629,val
76,0.01614431,0.738143,0.744547,1.262958,0.675237,val
77,0.01494667,0.719777,0.750044,1.239753,0.668990,val
78,0.01378736,0.705597,0.755777,1.188295,0.680640,val
79,0.01266766,0.680441,0.764420,1.243699,0.658945,val
80,0.01158879,0.660507,0.768609,1.456248,0.643606,val
81,0.01055192,0.639896,0.776164,1.243931,0.679905,val
82,0.00955820,0.615340,0.784160,1.304951,0.684057,val
83,0.00860870,0.600550,0.788394,1.264291,0.676734,val
84,0.00770447,0.585552,0.794655,1.325704,0.673209,val
85,0.00684649,0.555404,0.805724,1.222319,0.660619,val
86,0.00603571,0.535678,0.810913,1.191524,0.715892,val
87,0.00527301,0.521536,0.816248,1.197044,0.707943,val
88,0.00455922,0.496460,0.823142,1.103236,0.717294,val
89,0.00389512,0.473497,0.832182,1.216116,0.705711,val
90,0.00328145,0.457782,0.838385,1.207520,0.701247,val
91,0.00271887,0.438716,0.844191,1.200686,0.714258,val
92,0.00220799,0.425293,0.848498,1.191842,0.728169,val
93,0.00174938,0.406954,0.854598,1.162764,0.716137,val
94,0.00134354,0.393935,0.858449,1.212313,0.712652,val
95,0.00099090,0.382922,0.861595,1.190047,0.731272,val
96,0.00069187,0.373483,0.865137,1.156037,0.727856,val
97,0.00044675,0.364454,0.870238,1.187329,0.723704,val
98,0.00025583,0.358239,0.872839,1.165647,0.727366,val
