epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.493079,0.192180,2.588149,0.200661,val
2,0.02008000,1.834186,0.373293,1.987666,0.345138,val
3,0.04006000,1.636080,0.432730,1.753172,0.414389,val
4,0.06004000,1.561579,0.459520,2.127193,0.340538,val
5,0.08002000,1.540547,0.468407,1.824979,0.403610,val
6,0.10000000,1.544386,0.466422,1.802654,0.373176,val
7,0.09997267,1.516187,0.478323,1.811683,0.400724,val
8,0.09989069,1.494198,0.483109,1.501993,0.484552,val
9,0.09975417,1.475802,0.492445,1.708907,0.451982,val
10,0.09956325,1.464183,0.496913,2.131098,0.346595,val
11,0.09931813,1.451736,0.501830,1.800234,0.414988,val
12,0.09901910,1.435631,0.507204,1.641467,0.440930,val
13,0.09866646,1.418889,0.514482,1.972515,0.375204,val
14,0.09826062,1.416027,0.515372,1.859639,0.413940,val
15,0.09780201,1.406142,0.519186,1.896103,0.440549,val
16,0.09729113,1.396145,0.522976,1.907570,0.402534,val
17,0.09672855,1.389960,0.522559,1.959319,0.399363,val
18,0.09611488,1.384387,0.526161,1.635013,0.479325,val
19,0.09545078,1.377139,0.528930,2.118704,0.391659,val
20,0.09473699,1.368577,0.533251,2.096819,0.394654,val
21,0.09397429,1.361278,0.533668,1.435764,0.527480,val
22,0.09316351,1.357293,0.537833,1.883316,0.439841,val
23,0.09230553,1.349364,0.540267,1.954253,0.374292,val
24,0.09140130,1.339304,0.543494,3.279875,0.377572,val
25,0.09045180,1.335117,0.545486,2.219386,0.359361,val
26,0.08945808,1.331547,0.547537,1.773753,0.483831,val
27,0.08842121,1.318037,0.551196,1.534071,0.500286,val
28,0.08734234,1.311128,0.553589,1.660020,0.456296,val
29,0.08622264,1.306048,0.556007,1.800512,0.489370,val
30,0.08506333,1.299953,0.556341,1.668109,0.506560,val
31,0.08386569,1.292177,0.559894,1.621564,0.511692,val
32,0.08263103,1.282794,0.564762,1.569526,0.492501,val
33,0.08136068,1.280814,0.565106,1.755547,0.462652,val
34,0.08005605,1.269231,0.568201,1.697606,0.468097,val
35,0.07871856,1.260365,0.571689,1.636292,0.501606,val
36,0.07734967,1.249019,0.575119,1.477195,0.535742,val
37,0.07595088,1.241901,0.576843,2.167394,0.364983,val
38,0.07452372,1.235666,0.579897,1.850695,0.439991,val
39,0.07306975,1.228874,0.582887,1.432417,0.568421,val
40,0.07159056,1.219239,0.585721,1.396660,0.557709,val
41,0.07008776,1.208407,0.588702,1.956768,0.440059,val
42,0.06856301,1.199619,0.592901,2.642639,0.390339,val
43,0.06701796,1.189473,0.595955,1.490165,0.533972,val
44,0.06545430,1.179224,0.600219,1.857052,0.476671,val
45,0.06387376,1.165167,0.603519,1.742940,0.491629,val
46,0.06227805,1.157315,0.606475,1.866822,0.464299,val
47,0.06066892,1.143995,0.610388,1.487773,0.551435,val
48,0.05904812,1.136992,0.613443,1.289289,0.617977,val
49,0.05741744,1.127017,0.616081,1.903917,0.436847,val
50,0.05577865,1.109411,0.622803,1.695146,0.526990,val
51,0.05413355,1.102333,0.626985,1.517674,0.527902,val
52,0.05248394,1.084384,0.630309,1.299152,0.595615,val
53,0.05083161,1.077182,0.633119,1.336523,0.615078,val
54,0.04917839,1.060658,0.638183,1.542148,0.535605,val
55,0.04752606,1.047963,0.643623,1.350411,0.601236,val
56,0.04587645,1.031332,0.648605,1.362234,0.581568,val
57,0.04423135,1.016944,0.653130,1.340210,0.612642,val
58,0.04259256,1.007669,0.657320,1.572538,0.559315,val
59,0.04096188,0.990241,0.662294,1.705883,0.538749,val
60,0.03934108,0.973922,0.667089,2.397119,0.319959,val
61,0.03773195,0.960830,0.672904,1.489116,0.561343,val
62,0.03613624,0.947475,0.676906,1.302622,0.637318,val
63,0.03455570,0.931690,0.680623,1.249360,0.645974,val
64,0.03299204,0.919742,0.685654,1.152920,0.660170,val
65,0.03144699,0.899357,0.692736,1.440816,0.585230,val
66,0.02992224,0.883307,0.697424,1.884740,0.485668,val
67,0.02841944,0.864788,0.704865,1.460199,0.578288,val
68,0.02694025,0.846871,0.708614,1.516613,0.571143,val
69,0.02548628,0.833509,0.713237,1.464513,0.609429,val
70,0.02405912,0.811125,0.721380,1.359694,0.630077,val
71,0.02266033,0.796626,0.726942,1.258998,0.659612,val
72,0.02129144,0.776029,0.731467,1.323877,0.649880,val
73,0.01995395,0.757921,0.737830,1.331149,0.629165,val
74,0.01864932,0.736008,0.744634,1.428662,0.603917,val
75,0.01737897,0.718573,0.751805,1.505780,0.618848,val
76,0.01614431,0.699257,0.757392,1.297141,0.631125,val
77,0.01494667,0.686817,0.761680,1.294197,0.667805,val
78,0.01378736,0.657731,0.771653,1.376019,0.661912,val
79,0.01266766,0.639031,0.777803,1.319530,0.652425,val
80,0.01158879,0.620859,0.782402,1.330658,0.638338,val
81,0.01055192,0.603487,0.788331,1.275436,0.678476,val
82,0.00955820,0.577198,0.796540,1.316754,0.676108,val
83,0.00860870,0.559495,0.803581,1.237324,0.706827,val
84,0.00770447,0.540770,0.810385,1.356958,0.675863,val
85,0.00684649,0.516549,0.819369,1.184176,0.707072,val
86,0.00603571,0.495157,0.825323,1.348981,0.665083,val
87,0.00527301,0.476519,0.832413,1.211099,0.705915,val
88,0.00455922,0.455348,0.839078,1.209163,0.721717,val
89,0.00389512,0.434310,0.845661,1.195626,0.720737,val
90,0.00328145,0.414735,0.852612,1.207324,0.715375,val
91,0.00271887,0.395644,0.859400,1.141549,0.733259,val
92,0.00220799,0.377444,0.864366,1.170227,0.723949,val
93,0.00174938,0.361868,0.870075,1.206279,0.745046,val
94,0.00134354,0.345098,0.876299,1.179999,0.739778,val
95,0.00099090,0.332398,0.879598,1.139125,0.746543,val
96,0.00069187,0.319667,0.884818,1.160034,0.745985,val
97,0.00044675,0.310218,0.887897,1.143819,0.744869,val
98,0.00025583,0.300788,0.891344,1.164590,0.746788,val
99,0.00011931,0.294931,0.893492,1.163560,0.748775,val
100,0.00003733,0.294228,0.894080,1.146411,0.749891,val
