epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.10000000,3.881389,0.117148,0.339619,3.537487,0.169416,0.457790,val
2,0.09998904,3.134331,0.249512,0.565052,3.052348,0.273598,0.595152,val
3,0.09995615,2.643236,0.362196,0.697608,2.543833,0.388258,0.717613,val
4,0.09990135,2.327865,0.441234,0.770498,2.378412,0.434386,0.758594,val
5,0.09982466,2.122394,0.498340,0.814742,2.318822,0.451654,0.768555,val
6,0.09972612,1.985400,0.533129,0.838394,2.147326,0.498185,0.806595,val
7,0.09960577,1.891935,0.563445,0.854302,2.330996,0.459237,0.777953,val
8,0.09946367,1.813303,0.585121,0.869890,2.106992,0.520554,0.807939,val
9,0.09929987,1.759054,0.598692,0.879875,1.959233,0.544589,0.842429,val
10,0.09911445,1.706712,0.615932,0.888317,2.121010,0.510811,0.808858,val
11,0.09890749,1.667618,0.625372,0.894766,2.058272,0.524540,0.825184,val
12,0.09867908,1.634738,0.634482,0.899439,2.102498,0.512845,0.825161,val
13,0.09842932,1.590552,0.648810,0.905259,2.047033,0.530480,0.829308,val
14,0.09815831,1.569341,0.653831,0.908975,2.151607,0.509881,0.809570,val
15,0.09786619,1.545674,0.661678,0.913478,2.107983,0.518761,0.811167,val
16,0.09755307,1.877407,0.566877,0.855952,2.051050,0.536730,0.825701,val
17,0.09721910,1.771113,0.596034,0.875777,2.168474,0.511455,0.790602,val
18,0.09686441,1.728922,0.608115,0.882494,1.996611,0.550862,0.831560,val
19,0.09648918,1.698267,0.618943,0.887478,2.243626,0.491958,0.790705,val
20,0.09609355,1.672973,0.624975,0.891059,2.015690,0.547369,0.829791,val
21,0.09567771,1.652960,0.632928,0.893510,2.019227,0.547243,0.835673,val
22,0.09524183,1.634552,0.638341,0.897399,1.934551,0.574265,0.846013,val
23,0.09478611,1.615933,0.639177,0.900075,1.845359,0.583364,0.862305,val
24,0.09431075,1.601137,0.644455,0.903421,1.954487,0.557491,0.837638,val
25,0.09381595,1.582604,0.651229,0.906672,2.054548,0.547495,0.828527,val
26,0.09330194,1.565877,0.656287,0.910368,1.913648,0.578699,0.841119,val
27,0.09276894,1.551869,0.660524,0.911318,1.959699,0.566142,0.836558,val
28,0.09221717,1.543552,0.663402,0.911868,1.845243,0.585777,0.860938,val
29,0.09164690,1.532222,0.665668,0.913769,2.012925,0.544876,0.835386,val
30,0.09105835,1.527190,0.667530,0.915135,1.858740,0.593279,0.858398,val
31,0.09045180,1.516827,0.673355,0.917066,1.780464,0.614189,0.867279,val
32,0.08982751,1.498124,0.674874,0.921115,1.860007,0.579561,0.862730,val
33,0.08918575,1.494547,0.676344,0.920543,1.864560,0.583226,0.860570,val
34,0.08852681,1.471181,0.684528,0.923360,1.855087,0.579871,0.863810,val
35,0.08785097,1.467789,0.685998,0.924881,1.934797,0.561788,0.850023,val
36,0.08715853,1.455438,0.688933,0.925801,1.905644,0.582100,0.842325,val
37,0.08644979,1.452657,0.690363,0.927357,1.778626,0.606583,0.871898,val
38,0.08572506,1.448153,0.689502,0.927813,1.829698,0.591464,0.867452,val
39,0.08498467,1.432670,0.696528,0.930245,1.867942,0.586121,0.858318,val
40,0.08422893,1.414630,0.698459,0.932213,1.912508,0.586179,0.860053,val
41,0.08345818,1.405987,0.702030,0.931986,1.825964,0.595117,0.861811,val
42,0.08267276,1.408117,0.704659,0.932832,1.835680,0.590912,0.866452,val
43,0.08187301,1.389508,0.708449,0.935944,1.809685,0.604148,0.869233,val
44,0.08105928,1.387758,0.710326,0.935322,1.909526,0.576792,0.853585,val
45,0.08023193,1.369276,0.712425,0.938417,1.757245,0.619485,0.875414,val
46,0.07939132,1.365226,0.715778,0.939157,1.880418,0.582847,0.853849,val
47,0.07853782,1.347717,0.719695,0.941897,1.842314,0.593222,0.860616,val
48,0.07767181,1.354317,0.720143,0.939744,1.838883,0.597185,0.869531,val
49,0.07679366,1.336754,0.724735,0.942336,1.735527,0.619600,0.887983,val
