epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00003000,4.689875,0.009632,0.051787,4.653551,0.007594,0.053573,val
2,0.00602400,3.993193,0.100751,0.290520,3.671611,0.154010,0.411696,val
3,0.01201800,3.444359,0.195534,0.473828,3.255096,0.239936,0.537684,val
4,0.01801200,3.015375,0.283442,0.598473,2.986460,0.302665,0.623989,val
5,0.02400600,2.681443,0.358623,0.687613,2.823366,0.353240,0.668635,val
6,0.03000000,2.418868,0.423372,0.748979,2.608541,0.379504,0.718899,val
7,0.02999648,2.167921,0.490789,0.802364,2.391170,0.447024,0.763706,val
8,0.02998592,1.989396,0.536981,0.838078,2.170790,0.496921,0.805480,val
9,0.02996834,1.855044,0.573684,0.861873,2.057716,0.520979,0.822059,val
10,0.02994372,1.742581,0.608364,0.882960,2.027715,0.533869,0.832675,val
11,0.02991210,1.654404,0.631619,0.895902,1.971519,0.546415,0.842567,val
12,0.02987348,1.570254,0.657710,0.911389,1.990779,0.553045,0.844164,val
13,0.02982788,1.501173,0.677905,0.920058,2.020313,0.543394,0.833433,val
14,0.02977532,1.443357,0.694087,0.928462,1.852335,0.581250,0.865499,val
15,0.02971582,1.385355,0.714020,0.936679,1.804677,0.597162,0.869164,val
16,0.02964943,1.335909,0.728249,0.944218,1.732293,0.619164,0.883077,val
17,0.02957615,1.283591,0.742866,0.950033,1.797464,0.599288,0.873610,val
18,0.02949604,1.244629,0.754940,0.955608,1.726081,0.625735,0.875264,val
19,0.02940913,1.200321,0.769371,0.960701,1.827587,0.593819,0.868796,val
20,0.02931545,1.161327,0.783235,0.964299,1.812628,0.600620,0.869704,val
21,0.02921506,1.126620,0.793016,0.969857,1.713684,0.628803,0.880296,val
22,0.02910800,1.092260,0.804012,0.972254,1.731953,0.630744,0.874805,val
23,0.02899431,1.061013,0.814606,0.974891,1.817321,0.603079,0.867188,val
24,0.02887406,1.037320,0.821333,0.977288,1.685936,0.633674,0.890705,val
25,0.02874730,1.013138,0.827908,0.980834,1.683933,0.649667,0.885064,val
26,0.02861409,0.984538,0.840823,0.982121,1.744281,0.630986,0.882881,val
27,0.02847449,0.951749,0.849015,0.985588,1.842277,0.598506,0.865522,val
28,0.02832857,0.935232,0.854418,0.986799,1.735718,0.635375,0.872564,val
29,0.02817640,0.918217,0.860808,0.987536,1.746444,0.630009,0.876976,val
30,0.02801804,0.901846,0.864564,0.989102,1.709555,0.645807,0.882181,val
31,0.02785357,0.885720,0.872951,0.989818,1.721702,0.637339,0.878619,val
32,0.02768308,0.867394,0.877377,0.991366,1.754767,0.633398,0.877413,val
33,0.02750663,0.851344,0.883942,0.992390,1.795215,0.626953,0.877367,val
34,0.02732431,0.829834,0.890820,0.993097,1.676187,0.652723,0.888500,val
35,0.02713621,0.820048,0.892901,0.994123,1.733598,0.645830,0.881859,val
36,0.02694242,0.818448,0.894664,0.993983,1.694460,0.647564,0.890855,val
37,0.02674302,0.792574,0.902452,0.995095,1.747067,0.637649,0.877344,val
38,0.02653811,0.779188,0.908940,0.995322,1.684616,0.652619,0.890682,val
39,0.02632779,0.778652,0.909429,0.995832,1.683732,0.658892,0.881032,val
40,0.02611215,0.753283,0.916662,0.997164,1.668035,0.665051,0.892188,val
41,0.02589130,0.752183,0.916691,0.997541,1.730473,0.636891,0.883054,val
42,0.02566534,0.751049,0.917219,0.996782,1.684917,0.662075,0.885179,val
43,0.02543438,0.740862,0.919707,0.997137,1.683149,0.665269,0.886087,val
44,0.02519852,0.719474,0.928773,0.997825,1.696357,0.651896,0.884088,val
