check_type,severity,status,dataset_folder,model_folder,seed,run_name,condition,related_run,details
malimg_short_run,expected_possible,expected_possible,malimg,densenet121,42,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,densenet121,42,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,densenet121,42,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,densenet121,42,densenet121_seed42_random_M8_area0.1,random M8,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,resnet18,42,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,resnet18,42,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,resnet18,42,resnet18_seed42_random_M4_area0.1,random M4,,MalImg observed_metric_rows=20
malimg_short_run,expected_possible,expected_possible,malimg,resnet18,42,resnet18_seed42_random_M8_area0.1,random M8,,MalImg observed_metric_rows=20
duplicate_metrics_hash,critical,fail,cifar100,densenet121,42,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,,"metrics_hash=4ba861f4e72b3f1a80e3bb4f91d7df5c667df4cc6d6d0cd698f552cd037a7a19; duplicate among: runs/cifar100/densenet121/densenet121_seed42_cam_high_M4_area0.1, runs/cifar100/densenet121/densenet121_seed42_cam_low_M4_area0.1"
