dataset_folder,model_folder,run_name,condition,best_eval_accuracy,final_eval_accuracy,best_epoch,improvement_over_none
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.621818,0.620037,95,0.004791
cifar100,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.618267,0.616314,96,0.00124
cifar100,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.621818,0.620037,95,0.004791
cifar100,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.618267,0.616314,96,0.00124
cifar100,densenet121,densenet121_seed42_none,none,0.617027,0.617027,100,0
cifar100,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.623426,0.618153,99,0.006399
cifar100,densenet121,densenet121_seed42_random_M8_area0.1,random M8,0.613913,0.612328,99,-0.003114
cifar100,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.786753,0.785581,99,0.014798
cifar100,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.784858,0.784858,100,0.012903
cifar100,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.786753,0.785581,99,0.014798
cifar100,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.784858,0.784858,100,0.012903
cifar100,resnet18,resnet18_seed42_none,none,0.771955,0.771392,90,0
cifar100,resnet18,resnet18_seed42_random_M4_area0.1,random M4,0.782939,0.782939,100,0.010984
cifar100,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.782629,0.78148,97,0.010674
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.995457,0.994481,66,0.011038
malimg,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.992868,0.991255,13,0.008449
malimg,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.992232,0.992232,17,0.007813
malimg,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.992868,0.991255,13,0.008449
malimg,densenet121,densenet121_seed42_none,none,0.984419,0.982126,23,0
malimg,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.992868,0.990278,23,0.008449
malimg,densenet121,densenet121_seed42_random_M8_area0.1,random M8,0.992868,0.991255,14,0.008449
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.990619,0.990619,20,0.00654
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.988029,0.988029,18,0.00395
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.990619,0.990619,20,0.00654
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.988029,0.988029,18,0.00395
malimg,resnet18,resnet18_seed42_none,none,0.984079,0.981489,54,0
malimg,resnet18,resnet18_seed42_random_M4_area0.1,random M4,0.983443,0.97924,12,-0.000636
malimg,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.987053,0.987053,20,0.002974
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.742011,0.736988,93,0.053354
rawmaltf,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.750204,0.743195,98,0.061547
rawmaltf,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.742011,0.736988,93,0.053354
rawmaltf,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.750204,0.743195,98,0.061547
rawmaltf,densenet121,densenet121_seed42_none,none,0.688657,0.675999,98,0
rawmaltf,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.740268,0.735668,88,0.051611
rawmaltf,densenet121,densenet121_seed42_random_M8_area0.1,random M8,0.73922,0.737546,90,0.050563
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.731272,0.725378,95,0.054715
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.749891,0.749891,100,0.073334
rawmaltf,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.731272,0.725378,95,0.054715
rawmaltf,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.749891,0.749891,100,0.073334
rawmaltf,resnet18,resnet18_seed42_none,none,0.676557,0.656958,91,0
rawmaltf,resnet18,resnet18_seed42_random_M4_area0.1,random M4,0.734579,0.731789,98,0.058022
rawmaltf,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.743304,0.736988,95,0.066747
