dataset_folder,dataset_display,config_model,seed,condition_key,condition_label,run_name,best_epoch,best_eval_accuracy
cifar100,CIFAR100,resnet18,42,cam_high_M4,cam_high M4,resnet18_seed42_cam_high_M4_area0.1,85.0,0.581468
cifar100,CIFAR100,resnet18,42,cam_high_M8,cam_high M8,resnet18_seed42_cam_high_M8_area0.1,88.0,0.579435
cifar100,CIFAR100,resnet18,42,cam_low_M4,cam_low M4,resnet18_seed42_cam_low_M4_area0.1,87.0,0.634984
cifar100,CIFAR100,resnet18,42,cam_low_M8,cam_low M8,resnet18_seed42_cam_low_M8_area0.1,81.0,0.626413
cifar100,CIFAR100,resnet18,42,none,none,resnet18_seed42_none,99.0,0.620531
cifar100,CIFAR100,resnet18,42,random_M4,random M4,resnet18_seed42_random_M4_area0.1,82.0,0.619968
cifar100,CIFAR100,resnet18,42,random_M8,random M8,resnet18_seed42_random_M8_area0.1,83.0,0.623656
drive_zip,RawMal-TF (drive_zip),resnet18,42,cam_high_M4,cam_high M4,resnet18_seed42_cam_high_M4_area0.1,88.0,0.696606
drive_zip,RawMal-TF (drive_zip),resnet18,42,cam_high_M8,cam_high M8,resnet18_seed42_cam_high_M8_area0.1,62.0,0.694618
drive_zip,RawMal-TF (drive_zip),resnet18,42,cam_low_M4,cam_low M4,resnet18_seed42_cam_low_M4_area0.1,65.0,0.700934
drive_zip,RawMal-TF (drive_zip),resnet18,42,cam_low_M8,cam_low M8,resnet18_seed42_cam_low_M8_area0.1,72.0,0.702744
drive_zip,RawMal-TF (drive_zip),resnet18,42,none,none,resnet18_seed42_none,59.0,0.726386
drive_zip,RawMal-TF (drive_zip),resnet18,42,random_M4,random M4,resnet18_seed42_random_M4_area0.1,90.0,0.702989
drive_zip,RawMal-TF (drive_zip),resnet18,42,random_M8,random M8,resnet18_seed42_random_M8_area0.1,87.0,0.705044
malimg,MalImg,resnet18,42,cam_high_M4,cam_high M4,resnet18_seed42_cam_high_M4_area0.1,34.0,0.990619
malimg,MalImg,resnet18,42,cam_high_M8,cam_high M8,resnet18_seed42_cam_high_M8_area0.1,64.0,0.993208
malimg,MalImg,resnet18,42,cam_low_M4,cam_low M4,resnet18_seed42_cam_low_M4_area0.1,21.0,0.993548
malimg,MalImg,resnet18,42,cam_low_M8,cam_low M8,resnet18_seed42_cam_low_M8_area0.1,48.0,0.993845
malimg,MalImg,resnet18,42,none,none,resnet18_seed42_none,97.0,0.993208
malimg,MalImg,resnet18,42,random_M4,random M4,resnet18_seed42_random_M4_area0.1,43.0,0.991595
malimg,MalImg,resnet18,42,random_M8,random M8,resnet18_seed42_random_M8_area0.1,36.0,0.991595
